YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M
2011,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,88857,22029
2011,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,92826,10096
2011,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,79904,23612
2011,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,100909,52469
2011,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,101250,20465
2011,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,121479,10425
2011,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,113333,19490
2011,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,86536,15225
2011,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,106304,22631
2011,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,94048,7909
2011,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,136801,19544
2011,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,92826,10096
2011,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,90500,9118
2011,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,100694,39063
2011,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,101250,20465
2011,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,54271,14027
2011,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,52969,9986
2011,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,37070,7770
2011,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,70580,15442
2011,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,101783,18881
2011,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,74033,7782
2011,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,59901,10016
2011,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,77633,12407
2011,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,60609,6474
2011,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,46422,5231
2011,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,39076,6599
2011,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,58333,27549
2011,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,34800,7069
2011,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,50134,10162
2011,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,56483,9179
2011,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,41618,11255
2011,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,46640,3071
2011,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,57788,18839
2011,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,37619,5520
2011,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,66375,15886
2011,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,80137,15177
2011,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,51944,4521
2011,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,77288,5744
2011,06037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,39063,5138
2011,06037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,103514,17167
2011,06037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,85532,6938
