YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013A_001E,B19013A_001M
2013,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,100978,18808
2013,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,96280,13429
2013,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,69125,20242
2013,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,76000,29612
2013,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,100161,11206
2013,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,112813,14162
2013,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,106650,8393
2013,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,69545,22109
2013,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,87128,30218
2013,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,103980,16482
2013,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,153022,14355
2013,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,96280,13429
2013,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,85208,13280
2013,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,114519,6955
2013,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,100161,11206
2013,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,82963,11503
2013,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,49226,32441
2013,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,38750,14576
2013,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,79474,23637
2013,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,97727,20540
2013,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,71750,18381
2013,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,66500,23309
2013,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,58512,13147
2013,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,46875,14593
2013,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,47313,15669
