YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013B_001E,B19013B_001M
2010,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,,
2010,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2010,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,,
2010,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2010,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2010,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2010,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,138125.0,166672.0
2010,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,40188.0,32910.0
2010,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2010,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,122083.0,12475.0
2010,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,58000.0,43622.0
2010,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,,
2010,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,,
2010,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,,
2010,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2010,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,31652.0,87634.0
2010,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,118533.0,52580.0
2010,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,69318.0,35859.0
2010,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,62885.0,86921.0
2010,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,2499.0,
2010,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,80083.0,126584.0
2010,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,37016.0,25004.0
2010,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,,
2010,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,73393.0,67473.0
2010,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,49615.0,209994.0
2010,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,44125.0,27131.0
2010,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,53646.0,10726.0
2010,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,91731.0,29155.0
2010,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,77813.0,14458.0
2010,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,85024.0,30320.0
2010,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,78321.0,12719.0
2010,6037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,49223.0,16293.0
2010,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,54242.0,8544.0
2010,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,68393.0,11935.0
2010,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,108333.0,71879.0
