YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013D_001E,B19013D_001M
2013,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,162885,217106
2013,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2013,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,,
2013,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2013,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2013,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,210417,66672
2013,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,172159,32494
2013,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,104792,27894
2013,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,69327,88396
2013,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,130379,74638
2013,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,79886,107734
2013,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,,
2013,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,70000,53298
2013,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,29350,43117
2013,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2013,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,49196,15117
2013,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,42014,9701
2013,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,37365,7960
2013,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,71000,4166
2013,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,86500,26770
2013,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,72114,23043
2013,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,60179,21268
2013,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,84022,32876
2013,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,56181,13397
2013,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,48368,12160
2013,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,32034,10292
2013,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,44167,16777
2013,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,47222,15260
2013,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,55500,17862
2013,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,52443,19088
2013,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,43950,15570
2013,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,45625,5764
2013,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,53125,14791
2013,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,41184,14188
2013,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,71400,7251
2013,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,87500,22795
2013,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,53490,17093
2013,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,60417,38494
2013,06037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,26653,3742
2013,06037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,136250,169175
2013,06037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,84063,19808
2013,06037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,154375,30716
2013,06037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,13021,92146
2013,06037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,82208,14605
2013,06037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,57222,29442
2013,06037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,126000,55791
2013,06037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,136667,124671
2013,06037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,104219,83376
2013,06037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,171196,113026
2013,06037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,110972,45660
2013,06037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,163309,58036
