YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013D_001E,B19013D_001M
2019,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,179205,35124
2019,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2019,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,158704,86039
2019,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2019,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2019,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,158686,48407
2019,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,201111,77689
2019,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,,
2019,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,172969,74645
2019,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,83917,48186
2019,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,212788,131807
2019,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,,
2019,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,,
2019,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,136979,11786
2019,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2019,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,49500,18599
2019,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,60227,18025
2019,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,36902,9290
2019,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,59750,19604
2019,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,111310,48491
2019,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,80921,21804
2019,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,44761,12017
2019,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,82125,30377
2019,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,52500,15368
2019,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,53452,12348
2019,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,32225,10421
2019,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,60114,15339
2019,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,60227,17323
2019,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,52557,16318
2019,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,62266,28084
2019,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,65043,18976
2019,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,63722,10993
2019,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,63214,30211
2019,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,53594,7353
2019,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,92250,18231
2019,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,85513,41708
2019,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,55625,22988
2019,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,89583,25946
2019,06037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,,
2019,06037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,97589,51447
2019,06037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,82368,81567
2019,06037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,166477,34420
2019,06037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,112500,87093
2019,06037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,85972,43077
2019,06037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,133650,50060
2019,06037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,,
2019,06037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,162000,73286
2019,06037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,140444,93678
2019,06037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,156853,27702
2019,06037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,123977,27601
2019,06037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,149696,40877
2019,06037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,99821,14569
2019,06037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,100625,36145
2019,06037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,75921,12164
2019,06037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,83872,11079
2019,06037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,98734,11575
2019,06037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,129063,35122
2019,06037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,93669,30291
2019,06037430902,Census Tract 4309.02,Arcadia,Los Angeles County,California,Arcadia,98047,18347
2019,06037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,116458,83436
2019,06037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,103816,43791
2019,06037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,67222,31997
2019,06037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,123375,21942
2019,06037431700,Census Tract 4317,Arcadia,Los Angeles County,California,Arcadia,104792,17761
2019,06037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,74646,11292
2019,06037431900,Census Tract 4319,Arcadia,Los Angeles County,California,Arcadia,61836,13930
2019,06037432500,Census Tract 4325,Arcadia,Los Angeles County,California,Arcadia,52308,14801
2019,06037463101,Census Tract 4631.01,Arcadia,Los Angeles County,California,Arcadia,96103,24282
2019,06037480011,Census Tract 4800.11,Arcadia,Los Angeles County,California,Arcadia,86989,21771
2019,06037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,109028,28987
2019,06037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,112955,20850
2019,06037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,124152,27843
2019,06037554521,Census Tract 5545.21,Artesia,Los Angeles County,California,Artesia,88194,28396
2019,06037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,,
2019,06037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,86813,18493
2019,06037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,70592,20151
2019,06037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,,
2019,06037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,
2019,06037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,,
2019,06037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,84444,34641
2019,06037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,121023,92226
2019,06037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,73710,25998
2019,06037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,70833,30450
2019,06037400501,Census Tract 4005.01,Azusa,Los Angeles County,California,Azusa,102143,88511
2019,06037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,86058,65218
2019,06037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,74375,20307
