YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013F_001E,B19013F_001M
2013,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,22450,142671
2013,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,86591,1714
2013,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,49730,22586
2013,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2013,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2013,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2013,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,,
2013,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,25725,9462
2013,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2013,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,,
2013,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,102917,140398
2013,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,86591,1714
2013,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,,
2013,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,66801,80184
2013,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2013,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,52337,73774
2013,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,78893,4709
2013,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,44732,16237
2013,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,24973,20579
2013,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,103854,95996
2013,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,87926,25807
2013,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,41600,72748
2013,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,156115,66951
2013,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,57202,10301
2013,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,16847,14448
2013,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,76786,34592
2013,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,81979,85986
2013,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,44564,10061
2013,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,50380,3248
2013,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,68125,78348
2013,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,40682,19223
2013,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,65975,13674
2013,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,37656,22232
2013,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,36944,27969
2013,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,39148,58533
2013,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,70375,31736
