YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013I_001E,B19013I_001M
2013,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,90952,100663
2013,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,87981,3671
2013,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,52917,16276
2013,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2013,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,143750,93475
2013,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,122987,73369
2013,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,93438,122617
2013,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,34333,73365
2013,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2013,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,89094,13682
2013,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,102628,19784
2013,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,87981,3671
2013,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,89259,11111
2013,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,75250,69441
2013,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,143750,93475
2013,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,62237,34305
2013,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,67969,9156
2013,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,43714,6344
2013,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,85049,86478
2013,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,80408,17150
2013,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,68229,24607
2013,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,62778,30910
2013,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,58750,12681
2013,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,51897,14362
2013,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,45688,17359
2013,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,54250,23071
