YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,128090.0,23742.0,132659.0,24709.0,,,,,213989.0,285221.0,,,29493.0,187433.0,,,132016.0,35003.0,119487.0,132245.0
2013,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,125165.0,15059.0,126487.0,17642.0,,,,,,,,,113758.0,2252.0,,,126447.0,18526.0,115584.0,4823.0
2013,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,86556.0,14781.0,90812.0,26593.0,,,,,,,,,65332.0,29672.0,,,99249.0,30355.0,69519.0,21382.0
2013,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,99844.0,38902.0,99844.0,38902.0,,,,,,,,,,,,,91633.0,37632.0,,
2013,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,133864.0,17701.0,131586.0,14722.0,,,,,,,,,,,241171.0,230892.0,131480.0,13265.0,188850.0,122802.0
2011,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,120981.0,29993.0,126857.0,59857.0,,,,,150246.0,170739.0,,,119765.0,147568.0,,,97387.0,54146.0,121419.0,73935.0
2011,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,126384.0,13746.0,128198.0,15810.0,,,,,,,,,90598.0,24690.0,,,127531.0,15344.0,104573.0,38330.0
2011,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,108791.0,32148.0,106696.0,30280.0,,,,,231923.0,8786.0,,,191039.0,224180.0,,,107546.0,28415.0,84913.0,169486.0
2011,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,137390.0,71438.0,105054.0,96556.0,,,,,,,,,,,,,103507.0,77522.0,,
2011,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,137854.0,27864.0,144662.0,30205.0,,,,,340381.0,,,,256136.0,378606.0,53802.0,43284.0,145229.0,29862.0,156696.0,128640.0
2022,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,132449.0,28393.0,132573.0,55880.0,,,,,,,,,113757.0,68932.0,,,178893.0,105115.0,82721.0,73158.0
2022,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,133778.0,23990.0,148624.0,18873.0,,,,,107718.0,10446.0,,,,,260314.0,,156983.0,30553.0,105345.0,49128.0
2022,6037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,119194.0,19373.0,118182.0,34833.0,,,,,149101.0,110842.0,,,132705.0,57091.0,,,116598.0,32796.0,130699.0,61239.0
2022,6037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,115560.0,28349.0,123648.0,24953.0,,,,,,,,,122998.0,61019.0,17090.0,727.0,122998.0,26809.0,94809.0,74224.0
