YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,174291.0,25727.0,172016.0,20633.0,,,,,271467.0,46596.0,,,,,112986.0,75488.0,171600.0,18488.0,67330.0,70022.0,$174291,$25727,$172016,$20633,,,,,$271467,$46596,,,,,$112986,$75488,$171600,$18488,$67330,$70022
2010,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,154883.0,41906.0,153612.0,37664.0,199759.0,241044.0,,,202393.0,86260.0,,,,,108587.0,39784.0,153571.0,43417.0,152066.0,147736.0,$154883,$41906,$153612,$37664,$199759,$241044,,,$202393,$86260,,,,,$108587,$39784,$153571,$43417,$152066,$147736
2010,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,122619.0,20669.0,135922.0,35752.0,58121.0,47595.0,,,85869.0,82724.0,,,93244.0,54102.0,,,124674.0,34685.0,180873.0,102245.0,$122619,$20669,$135922,$35752,$58121,$47595,,,$85869,$82724,,,$93244,$54102,,,$124674,$34685,$180873,$102245
2010,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,143357.0,29410.0,132853.0,24636.0,,,,,231015.0,6557.0,,,,,,,131814.0,21767.0,,,$143357,$29410,$132853,$24636,,,,,$231015,$6557,,,,,,,$131814,$21767,,
2010,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,132160.0,9779.0,129617.0,10300.0,176559.0,18042.0,,,164508.0,21554.0,,,,,214062.0,61315.0,130099.0,10832.0,106030.0,157694.0,$132160,$9779,$129617,$10300,$176559,$18042,,,$164508,$21554,,,,,$214062,$61315,$130099,$10832,$106030,$157694
2010,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,193793.0,31507.0,206439.0,35995.0,83881.0,63087.0,,,229055.0,189248.0,,,,,,,208011.0,31143.0,137805.0,19570.0,$193793,$31507,$206439,$35995,$83881,$63087,,,$229055,$189248,,,,,,,$208011,$31143,$137805,$19570
2011,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,170255.0,14611.0,164679.0,11771.0,,,,,275048.0,43935.0,,,,,193401.0,86521.0,163853.0,14120.0,169211.0,96918.0,$170255,$14611,$164679,$11771,,,,,$275048,$43935,,,,,$193401,$86521,$163853,$14120,$169211,$96918
2011,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,158838.0,27316.0,160396.0,26812.0,44323.0,200332.0,,,201980.0,84280.0,,,,,104530.0,104734.0,164897.0,29677.0,111537.0,49296.0,$158838,$27316,$160396,$26812,$44323,$200332,,,$201980,$84280,,,,,$104530,$104734,$164897,$29677,$111537,$49296
2011,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,121282.0,21338.0,122283.0,36102.0,,,,,128678.0,66686.0,,,72485.0,84792.0,184074.0,360032.0,119929.0,31907.0,116677.0,70034.0,$121282,$21338,$122283,$36102,,,,,$128678,$66686,,,$72485,$84792,$184074,$360032,$119929,$31907,$116677,$70034
2011,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,148987.0,31718.0,132320.0,42552.0,,,,,228508.0,8884.0,,,,,,,130877.0,41198.0,,,$148987,$31718,$132320,$42552,,,,,$228508,$8884,,,,,,,$130877,$41198,,
