YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,129957.0,20275.0,137282.0,19876.0,,,,,,,,,91196.0,53617.0,,,131873.0,20467.0,117445.0,46717.0,$129957,$20275,$137282,$19876,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$91196,$53617,Not available,Not available,$131873,$20467,$117445,$46717
2010,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,118286.0,14204.0,117956.0,15256.0,,,,,106541.0,88877.0,,,,,138347.0,13150.0,118296.0,21718.0,116212.0,47792.0,$118286,$14204,$117956,$15256,Not available,Not available,Not available,Not available,$106541,$88877,Not available,Not available,Not available,Not available,$138347,$13150,$118296,$21718,$116212,$47792
2010,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,149275.0,33022.0,159507.0,24176.0,,,,,221102.0,153616.0,,,85481.0,11765.0,,,160805.0,23895.0,87237.0,53228.0,$149275,$33022,$159507,$24176,Not available,Not available,Not available,Not available,$221102,$153616,Not available,Not available,$85481,$11765,Not available,Not available,$160805,$23895,$87237,$53228
2010,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,156551.0,56442.0,168969.0,57411.0,,,,,,,,,253108.0,491964.0,55495.0,37696.0,160202.0,59352.0,197292.0,80097.0,$156551,$56442,$168969,$57411,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$253108,$491964,$55495,$37696,$160202,$59352,$197292,$80097
2011,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,126384.0,13746.0,128198.0,15810.0,,,,,,,,,90598.0,24690.0,,,127531.0,15344.0,104573.0,38330.0,$126384,$13746,$128198,$15810,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$90598,$24690,Not available,Not available,$127531,$15344,$104573,$38330
2011,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,123218.0,12414.0,122877.0,17078.0,,,,,74671.0,94530.0,,,,,140028.0,17328.0,129771.0,29383.0,119133.0,12710.0,$123218,$12414,$122877,$17078,Not available,Not available,Not available,Not available,$74671,$94530,Not available,Not available,Not available,Not available,$140028,$17328,$129771,$29383,$119133,$12710
2011,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,137097.0,53185.0,148967.0,29139.0,99926.0,81177.0,,,262731.0,250834.0,,,85606.0,6654.0,,,154742.0,36255.0,87137.0,32561.0,$137097,$53185,$148967,$29139,$99926,$81177,Not available,Not available,$262731,$250834,Not available,Not available,$85606,$6654,Not available,Not available,$154742,$36255,$87137,$32561
2011,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,137854.0,27864.0,144662.0,30205.0,,,,,,,,,256136.0,378606.0,53802.0,43284.0,145229.0,29862.0,156696.0,128640.0,$137854,$27864,$144662,$30205,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$256136,$378606,$53802,$43284,$145229,$29862,$156696,$128640
2012,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,128627.0,15864.0,129877.0,18160.0,,,,,208380.0,79402.0,,,112038.0,29483.0,,,129574.0,18576.0,112594.0,8725.0,$128627,$15864,$129877,$18160,Not available,Not available,Not available,Not available,$208380,$79402,Not available,Not available,$112038,$29483,Not available,Not available,$129574,$18576,$112594,$8725
2012,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,118490.0,13754.0,118798.0,15047.0,,,,,107405.0,63158.0,,,,,126567.0,28312.0,118582.0,24604.0,118836.0,14123.0,$118490,$13754,$118798,$15047,Not available,Not available,Not available,Not available,$107405,$63158,Not available,Not available,Not available,Not available,$126567,$28312,$118582,$24604,$118836,$14123
2012,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,140254.0,38258.0,148584.0,12868.0,56377.0,219860.0,,,72159.0,354311.0,,,89026.0,83108.0,52890.0,17133.0,150533.0,11415.0,89913.0,69885.0,$140254,$38258,$148584,$12868,$56377,$219860,Not available,Not available,$72159,$354311,Not available,Not available,$89026,$83108,$52890,$17133,$150533,$11415,$89913,$69885
