YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,86686.0,20021.0,108992.0,15112.0,41129.0,38839.0,,,64631.0,19860.0,,,68757.0,96920.0,87754.0,48414.0,112580.0,15338.0,81763.0,45068.0
2013,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,64971.0,15425.0,64670.0,42619.0,128199.0,150059.0,,,55195.0,12745.0,,,103645.0,6186.0,37497.0,24634.0,62872.0,62450.0,89294.0,12029.0
2013,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,53888.0,10544.0,50907.0,19149.0,328436.0,,,,49088.0,10457.0,,,58766.0,21331.0,,,43891.0,122330.0,57429.0,8334.0
2013,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,94083.0,14916.0,104408.0,31053.0,,,,,93276.0,5473.0,,,32808.0,27035.0,,,106331.0,21214.0,111732.0,113610.0
2013,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,123467.0,16818.0,128388.0,26984.0,328436.0,,,,113639.0,35169.0,,,136437.0,126114.0,74895.0,51052.0,153785.0,48096.0,105635.0,22531.0
2013,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,98530.0,13362.0,94261.0,24148.0,185894.0,173470.0,,,94739.0,30273.0,,,115512.0,33904.0,97939.0,67559.0,101199.0,26553.0,89635.0,32327.0
2013,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,83365.0,25010.0,87364.0,30622.0,,,,,79060.0,27941.0,,,54652.0,95572.0,,,110026.0,129639.0,82474.0,40608.0
2013,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,91669.0,23123.0,76870.0,17272.0,,,,,110383.0,43191.0,,,205095.0,87956.0,80401.0,27550.0,118410.0,56135.0,77182.0,16660.0
2013,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,73931.0,10620.0,61582.0,19171.0,289769.0,180156.0,,,73807.0,17600.0,,,75149.0,13533.0,90100.0,18438.0,69176.0,36228.0,68179.0,18868.0
2013,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,60255.0,12894.0,62157.0,20585.0,,,,,63543.0,15975.0,,,22133.0,18981.0,,,26891.0,16001.0,60022.0,22805.0
2013,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,47504.0,9733.0,43573.0,14224.0,,,,,42084.0,13521.0,,,100877.0,45445.0,,,45595.0,22571.0,71270.0,30309.0
2013,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,79280.0,24744.0,75212.0,71816.0,,,,,58024.0,22041.0,,,107699.0,112963.0,,,100173.0,79222.0,106878.0,61467.0
2013,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,57841.0,10263.0,51952.0,22858.0,,,,,62037.0,20048.0,,,58546.0,13218.0,83094.0,86820.0,52686.0,26633.0,57629.0,12729.0
2013,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,68424.0,9740.0,80564.0,20978.0,,,,,72913.0,23466.0,,,66186.0,4267.0,88677.0,101848.0,102951.0,61482.0,68661.0,10518.0
2013,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,79466.0,19359.0,78415.0,20359.0,,,,,68896.0,25077.0,,,89499.0,102929.0,131758.0,81730.0,75704.0,32632.0,91243.0,48089.0
2013,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,58668.0,25912.0,109205.0,39453.0,,,,,57739.0,20455.0,,,53446.0,25254.0,111258.0,98215.0,142253.0,55435.0,55236.0,33083.0
2013,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,64195.0,12789.0,75376.0,67455.0,114014.0,29390.0,,,59939.0,7572.0,,,86674.0,17964.0,,,72420.0,72529.0,87536.0,12548.0
2013,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,72000.0,14036.0,105405.0,17690.0,,,,,69792.0,19432.0,,,49470.0,29207.0,,,103868.0,22365.0,51865.0,64223.0
2013,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,56476.0,16947.0,70100.0,22847.0,,,,,54105.0,18639.0,,,48535.0,36744.0,,,83203.0,119967.0,68033.0,32841.0
2013,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,95678.0,11439.0,104864.0,28563.0,,,,,93801.0,9526.0,,,51430.0,76897.0,,,76088.0,14714.0,131374.0,90405.0
2013,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,90295.0,14935.0,75892.0,19730.0,,,,,114952.0,29947.0,,,92454.0,41693.0,100008.0,125428.0,73514.0,31662.0,85291.0,18157.0
2013,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,76854.0,22013.0,100173.0,49466.0,,,,,70272.0,22456.0,,,71571.0,54666.0,115923.0,100033.0,57960.0,96619.0,89170.0,28594.0
2011,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,73891.0,19098.0,97637.0,15362.0,43305.0,132646.0,,,60649.0,14256.0,,,119680.0,110851.0,73069.0,17769.0,98488.0,18681.0,85946.0,38392.0
2011,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,72118.0,13596.0,75613.0,21670.0,,,,,66491.0,9772.0,,,102738.0,49069.0,20333.0,43743.0,63253.0,47050.0,93604.0,27820.0
2011,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,50472.0,10579.0,85156.0,72219.0,327996.0,143229.0,,,42918.0,10766.0,,,53498.0,26172.0,,,95633.0,86236.0,54285.0,30318.0
2011,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,96096.0,21025.0,87171.0,22367.0,,,120436.0,13016.0,112279.0,27849.0,,,48726.0,21760.0,12521.0,258953.0,106764.0,24277.0,66226.0,32024.0
2011,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,138580.0,25707.0,175451.0,79898.0,340381.0,,,,140887.0,124329.0,,,114240.0,75766.0,136735.0,90116.0,188400.0,47189.0,90733.0,27135.0
2011,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,100797.0,10595.0,101682.0,9444.0,164857.0,53038.0,,,92115.0,18247.0,,,141138.0,8198.0,76829.0,135341.0,106780.0,16031.0,109149.0,32117.0
2011,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,81556.0,13637.0,91562.0,49058.0,,,70912.0,67067.0,82620.0,31909.0,,,56627.0,37695.0,,,76869.0,112132.0,80576.0,26182.0
