YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,143073.0,16921.0,152383.0,23892.0,128877.0,40961.0,,,179459.0,160294.0,,,79958.0,106763.0,80257.0,87563.0,150938.0,27611.0,149934.0,26619.0,$143073,$16921,$152383,$23892,$128877,$40961,Not available,Not available,$179459,$160294,Not available,Not available,$79958,$106763,$80257,$87563,$150938,$27611,$149934,$26619
2010,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,122179.0,6104.0,139397.0,30970.0,109323.0,20313.0,,,107089.0,30987.0,10099.0,143589.0,101199.0,52057.0,60764.0,30116.0,141372.0,31045.0,119615.0,33783.0,$122179,$6104,$139397,$30970,$109323,$20313,Not available,Not available,$107089,$30987,$10099,$143589,$101199,$52057,$60764,$30116,$141372,$31045,$119615,$33783
2010,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,131651.0,8078.0,186740.0,52996.0,119454.0,42598.0,,,171667.0,308900.0,,,,,137274.0,79996.0,189229.0,58868.0,125274.0,73575.0,$131651,$8078,$186740,$52996,$119454,$42598,Not available,Not available,$171667,$308900,Not available,Not available,Not available,Not available,$137274,$79996,$189229,$58868,$125274,$73575
2010,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,96358.0,13885.0,94752.0,21008.0,110036.0,17869.0,,,3511.0,,,,61968.0,10146.0,161568.0,235808.0,120252.0,36576.0,79906.0,26396.0,$96358,$13885,$94752,$21008,$110036,$17869,Not available,Not available,$3511,Not available,Not available,Not available,$61968,$10146,$161568,$235808,$120252,$36576,$79906,$26396
2010,6037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,71908.0,14110.0,69415.0,26780.0,69155.0,22891.0,,,114470.0,48376.0,,,71364.0,34268.0,71818.0,7670.0,127261.0,7528.0,66049.0,10028.0,$71908,$14110,$69415,$26780,$69155,$22891,Not available,Not available,$114470,$48376,Not available,Not available,$71364,$34268,$71818,$7670,$127261,$7528,$66049,$10028
2010,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,76899.0,13133.0,81349.0,54055.0,76207.0,12004.0,,,34733.0,135598.0,,,80316.0,76315.0,16859.0,56226.0,52427.0,115090.0,62288.0,51567.0,$76899,$13133,$81349,$54055,$76207,$12004,Not available,Not available,$34733,$135598,Not available,Not available,$80316,$76315,$16859,$56226,$52427,$115090,$62288,$51567
2010,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,96255.0,15348.0,126835.0,50569.0,96088.0,16768.0,,,109323.0,63127.0,,,86806.0,40535.0,52324.0,34266.0,165471.0,47028.0,67521.0,14054.0,$96255,$15348,$126835,$50569,$96088,$16768,Not available,Not available,$109323,$63127,Not available,Not available,$86806,$40535,$52324,$34266,$165471,$47028,$67521,$14054
2010,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,169647.0,36408.0,174363.0,37141.0,152201.0,100986.0,,,120925.0,154393.0,,,,,24426.0,421842.0,178172.0,40691.0,156475.0,98842.0,$169647,$36408,$174363,$37141,$152201,$100986,Not available,Not available,$120925,$154393,Not available,Not available,Not available,Not available,$24426,$421842,$178172,$40691,$156475,$98842
2010,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,102649.0,23529.0,100493.0,21616.0,120689.0,127550.0,,,149827.0,40273.0,,,42984.0,196408.0,44607.0,2187.0,92758.0,23193.0,51089.0,135023.0,$102649,$23529,$100493,$21616,$120689,$127550,Not available,Not available,$149827,$40273,Not available,Not available,$42984,$196408,$44607,$2187,$92758,$23193,$51089,$135023
2010,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,120018.0,19232.0,124183.0,12999.0,68218.0,2117.0,,,140804.0,48159.0,,,105261.0,56737.0,,,125939.0,9898.0,107127.0,22756.0,$120018,$19232,$124183,$12999,$68218,$2117,Not available,Not available,$140804,$48159,Not available,Not available,$105261,$56737,Not available,Not available,$125939,$9898,$107127,$22756
2011,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,140936.0,23373.0,148186.0,23903.0,115265.0,57266.0,,,180222.0,317720.0,,,79912.0,86634.0,79073.0,80252.0,146363.0,26995.0,128007.0,89520.0,$140936,$23373,$148186,$23903,$115265,$57266,Not available,Not available,$180222,$317720,Not available,Not available,$79912,$86634,$79073,$80252,$146363,$26995,$128007,$89520
2011,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,116454.0,9446.0,127642.0,9825.0,102965.0,19347.0,,,107293.0,17923.0,9616.0,134141.0,120410.0,41389.0,62630.0,33228.0,125627.0,16508.0,121311.0,12918.0,$116454,$9446,$127642,$9825,$102965,$19347,Not available,Not available,$107293,$17923,$9616,$134141,$120410,$41389,$62630,$33228,$125627,$16508,$121311,$12918
2011,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,137151.0,15950.0,177111.0,80263.0,120835.0,56955.0,,,250179.0,275339.0,,,,,142109.0,94918.0,184939.0,41379.0,111568.0,75887.0,$137151,$15950,$177111,$80263,$120835,$56955,Not available,Not available,$250179,$275339,Not available,Not available,Not available,Not available,$142109,$94918,$184939,$41379,$111568,$75887
2011,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,96544.0,26516.0,97990.0,34825.0,105644.0,56543.0,,,3402.0,,,,89633.0,87267.0,235268.0,279943.0,120903.0,14681.0,80330.0,35431.0,$96544,$26516,$97990,$34825,$105644,$56543,Not available,Not available,$3402,Not available,Not available,Not available,$89633,$87267,$235268,$279943,$120903,$14681,$80330,$35431
2011,6037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,73182.0,9845.0,67757.0,19236.0,65169.0,31361.0,,,120893.0,17245.0,,,69851.0,35331.0,72741.0,2421.0,121898.0,12402.0,65364.0,5755.0,$73182,$9845,$67757,$19236,$65169,$31361,Not available,Not available,$120893,$17245,Not available,Not available,$69851,$35331,$72741,$2421,$121898,$12402,$65364,$5755
2011,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,78447.0,11435.0,79687.0,23963.0,74720.0,20933.0,,,82542.0,96596.0,,,74990.0,67203.0,49166.0,69217.0,100980.0,49199.0,62687.0,29967.0,$78447,$11435,$79687,$23963,$74720,$20933,Not available,Not available,$82542,$96596,Not available,Not available,$74990,$67203,$49166,$69217,$100980,$49199,$62687,$29967
2011,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,94327.0,17779.0,109165.0,62144.0,93301.0,15638.0,,,118403.0,74422.0,,,87725.0,80136.0,52532.0,19581.0,161032.0,40999.0,66130.0,20091.0,$94327,$17779,$109165,$62144,$93301,$15638,Not available,Not available,$118403,$74422,Not available,Not available,$87725,$80136,$52532,$19581,$161032,$40999,$66130,$20091
2011,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,158418.0,40840.0,172460.0,39507.0,124548.0,31978.0,,,179457.0,97963.0,,,,,26571.0,321492.0,180083.0,42343.0,145399.0,15358.0,$158418,$40840,$172460,$39507,$124548,$31978,Not available,Not available,$179457,$97963,Not available,Not available,Not available,Not available,$26571,$321492,$180083,$42343,$145399,$15358
2011,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,101418.0,28280.0,91745.0,23504.0,77746.0,223160.0,,,149597.0,60486.0,,,163099.0,408953.0,43949.0,64122.0,90913.0,31791.0,81408.0,37304.0,$101418,$28280,$91745,$23504,$77746,$223160,Not available,Not available,$149597,$60486,Not available,Not available,$163099,$408953,$43949,$64122,$90913,$31791,$81408,$37304
2011,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,121143.0,15226.0,123222.0,7551.0,69103.0,8906.0,,,138705.0,175406.0,,,103010.0,65264.0,,,123926.0,6990.0,119313.0,38598.0,$121143,$15226,$123222,$7551,$69103,$8906,Not available,Not available,$138705,$175406,Not available,Not available,$103010,$65264,Not available,Not available,$123926,$6990,$119313,$38598
2012,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,141003.0,30468.0,148173.0,21186.0,176841.0,120535.0,,,177672.0,130876.0,,,62322.0,151122.0,48447.0,1364.0,153582.0,30103.0,119928.0,74553.0,$141003,$30468,$148173,$21186,$176841,$120535,Not available,Not available,$177672,$130876,Not available,Not available,$62322,$151122,$48447,$1364,$153582,$30103,$119928,$74553
2012,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,116346.0,10736.0,128483.0,17440.0,89764.0,26743.0,,,109018.0,29283.0,9279.0,132341.0,120910.0,33407.0,63139.0,56887.0,131312.0,22578.0,115928.0,19910.0,$116346,$10736,$128483,$17440,$89764,$26743,Not available,Not available,$109018,$29283,$9279,$132341,$120910,$33407,$63139,$56887,$131312,$22578,$115928,$19910
2012,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,132359.0,10212.0,134673.0,54910.0,88505.0,19843.0,,,172765.0,37248.0,,,151367.0,97910.0,141937.0,77132.0,139198.0,79292.0,117526.0,54596.0,$132359,$10212,$134673,$54910,$88505,$19843,Not available,Not available,$172765,$37248,Not available,Not available,$151367,$97910,$141937,$77132,$139198,$79292,$117526,$54596
2012,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,99498.0,17927.0,106836.0,28856.0,95819.0,43006.0,,,3333.0,,,,92104.0,85992.0,,,125861.0,31715.0,96840.0,49967.0,$99498,$17927,$106836,$28856,$95819,$43006,Not available,Not available,$3333,Not available,Not available,Not available,$92104,$85992,Not available,Not available,$125861,$31715,$96840,$49967
2012,6037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,65231.0,4822.0,65641.0,9558.0,49208.0,10294.0,,,112601.0,9821.0,,,60708.0,30099.0,70668.0,42475.0,120979.0,28296.0,64565.0,2450.0,$65231,$4822,$65641,$9558,$49208,$10294,Not available,Not available,$112601,$9821,Not available,Not available,$60708,$30099,$70668,$42475,$120979,$28296,$64565,$2450
2012,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,79036.0,7162.0,78227.0,25082.0,78888.0,21431.0,,,85390.0,87267.0,,,79018.0,71639.0,103912.0,104686.0,97748.0,52725.0,62261.0,27605.0,$79036,$7162,$78227,$25082,$78888,$21431,Not available,Not available,$85390,$87267,Not available,Not available,$79018,$71639,$103912,$104686,$97748,$52725,$62261,$27605
2012,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,85316.0,20558.0,117618.0,73476.0,75461.0,17154.0,,,167704.0,68715.0,,,67539.0,35920.0,70144.0,36279.0,170762.0,38827.0,67334.0,28184.0,$85316,$20558,$117618,$73476,$75461,$17154,Not available,Not available,$167704,$68715,Not available,Not available,$67539,$35920,$70144,$36279,$170762,$38827,$67334,$28184
2012,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,155591.0,32647.0,170246.0,33359.0,123882.0,32066.0,,,240720.0,142661.0,,,,,25262.0,96095.0,172850.0,37906.0,158869.0,51219.0,$155591,$32647,$170246,$33359,$123882,$32066,Not available,Not available,$240720,$142661,Not available,Not available,Not available,Not available,$25262,$96095,$172850,$37906,$158869,$51219
2012,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,92282.0,27695.0,90179.0,20453.0,146730.0,158923.0,,,148422.0,30064.0,,,62139.0,109306.0,81059.0,40625.0,86785.0,26491.0,79351.0,51551.0,$92282,$27695,$90179,$20453,$146730,$158923,Not available,Not available,$148422,$30064,Not available,Not available,$62139,$109306,$81059,$40625,$86785,$26491,$79351,$51551
2012,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,131339.0,13511.0,130862.0,11984.0,69035.0,158730.0,,,225808.0,152611.0,,,163814.0,215441.0,,,130816.0,12851.0,138087.0,38990.0,$131339,$13511,$130862,$11984,$69035,$158730,Not available,Not available,$225808,$152611,Not available,Not available,$163814,$215441,Not available,Not available,$130816,$12851,$138087,$38990
2013,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,132852.0,31519.0,147023.0,35170.0,163670.0,255102.0,,,178997.0,222252.0,,,89170.0,71255.0,47553.0,1002.0,156444.0,40718.0,81424.0,48603.0,$132852,$31519,$147023,$35170,$163670,$255102,Not available,Not available,$178997,$222252,Not available,Not available,$89170,$71255,$47553,$1002,$156444,$40718,$81424,$48603
2013,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,112364.0,14028.0,129388.0,22493.0,85134.0,25314.0,,,110437.0,26023.0,,,138462.0,119362.0,62112.0,107045.0,134360.0,30078.0,90895.0,48731.0,$112364,$14028,$129388,$22493,$85134,$25314,Not available,Not available,$110437,$26023,Not available,Not available,$138462,$119362,$62112,$107045,$134360,$30078,$90895,$48731
2013,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,131751.0,17657.0,156297.0,50608.0,87954.0,26892.0,,,202809.0,40353.0,,,119616.0,22180.0,137778.0,99299.0,185018.0,49834.0,105555.0,37978.0,$131751,$17657,$156297,$50608,$87954,$26892,Not available,Not available,$202809,$40353,Not available,Not available,$119616,$22180,$137778,$99299,$185018,$49834,$105555,$37978
2013,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,98986.0,11479.0,109533.0,28848.0,62277.0,29299.0,,,17106.0,121056.0,,,91141.0,115539.0,,,114952.0,35640.0,98025.0,49114.0,$98986,$11479,$109533,$28848,$62277,$29299,Not available,Not available,$17106,$121056,Not available,Not available,$91141,$115539,Not available,Not available,$114952,$35640,$98025,$49114
