YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,183684.0,17259.0,181642.0,32045.0,60532.0,238265.0,,,203116.0,37339.0,,,35084.0,193928.0,,,188574.0,16208.0,149042.0,50168.0,$183684,$17259,$181642,$32045,$60532,$238265,,,$203116,$37339,,,$35084,$193928,,,$188574,$16208,$149042,$50168
2010,6037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,216112.0,49646.0,206448.0,64309.0,,,,,271166.0,143568.0,,,,,,,180156.0,61096.0,229916.0,56298.0,$216112,$49646,$206448,$64309,,,,,$271166,$143568,,,,,,,$180156,$61096,$229916,$56298
2010,6037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,142732.0,18934.0,147850.0,21411.0,81557.0,114860.0,84529.0,14122.0,155152.0,47857.0,,,41251.0,100467.0,,,151032.0,22487.0,67038.0,39310.0,$142732,$18934,$147850,$21411,$81557,$114860,$84529,$14122,$155152,$47857,,,$41251,$100467,,,$151032,$22487,$67038,$39310
2010,6037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,92881.0,18066.0,134467.0,59780.0,173546.0,420282.0,,,89884.0,53227.0,,,90717.0,67228.0,,,111680.0,60381.0,91210.0,40070.0,$92881,$18066,$134467,$59780,$173546,$420282,,,$89884,$53227,,,$90717,$67228,,,$111680,$60381,$91210,$40070
2010,6037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,77461.0,16391.0,70816.0,20066.0,195240.0,599011.0,,,78233.0,27721.0,,,89485.0,109541.0,,,70379.0,18384.0,87978.0,44831.0,$77461,$16391,$70816,$20066,$195240,$599011,,,$78233,$27721,,,$89485,$109541,,,$70379,$18384,$87978,$44831
2010,6037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,79617.0,11680.0,91436.0,17269.0,,,101688.0,86410.0,74006.0,21761.0,,,83946.0,23949.0,64276.0,48924.0,95241.0,26057.0,83628.0,27367.0,$79617,$11680,$91436,$17269,,,$101688,$86410,$74006,$21761,,,$83946,$23949,$64276,$48924,$95241,$26057,$83628,$27367
2010,6037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,92398.0,13512.0,86817.0,26177.0,,,,,105480.0,16047.0,,,71053.0,43764.0,,,89012.0,14913.0,71182.0,13752.0,$92398,$13512,$86817,$26177,,,,,$105480,$16047,,,$71053,$43764,,,$89012,$14913,$71182,$13752
2010,6037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,124586.0,28356.0,90354.0,40397.0,,,,,169328.0,38170.0,,,92463.0,798.0,,,90215.0,48268.0,92568.0,4032.0,$124586,$28356,$90354,$40397,,,,,$169328,$38170,,,$92463,$798,,,$90215,$48268,$92568,$4032
2010,6037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,127019.0,9374.0,123267.0,30489.0,,,,,128708.0,8488.0,,,,,307503.0,419100.0,109179.0,22788.0,253243.0,43608.0,$127019,$9374,$123267,$30489,,,,,$128708,$8488,,,,,$307503,$419100,$109179,$22788,$253243,$43608
2010,6037430902,Census Tract 4309.02,Arcadia,Los Angeles County,California,Arcadia,98236.0,38558.0,81489.0,68781.0,99186.0,56187.0,,,111178.0,28291.0,,,62850.0,45725.0,25060.0,305408.0,108795.0,72242.0,61706.0,26203.0,$98236,$38558,$81489,$68781,$99186,$56187,,,$111178,$28291,,,$62850,$45725,$25060,$305408,$108795,$72242,$61706,$26203
2010,6037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,110336.0,19320.0,115204.0,31572.0,239711.0,223288.0,,,92649.0,107257.0,,,60773.0,36605.0,,,112658.0,23469.0,95754.0,42752.0,$110336,$19320,$115204,$31572,$239711,$223288,,,$92649,$107257,,,$60773,$36605,,,$112658,$23469,$95754,$42752
2010,6037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,110439.0,12089.0,83761.0,7315.0,,,,,131885.0,21611.0,,,109211.0,43909.0,,,77935.0,17129.0,112535.0,13088.0,$110439,$12089,$83761,$7315,,,,,$131885,$21611,,,$109211,$43909,,,$77935,$17129,$112535,$13088
2010,6037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,102375.0,8596.0,92920.0,30750.0,,,,,106997.0,39347.0,,,94542.0,62789.0,53329.0,376280.0,88581.0,47194.0,94891.0,47704.0,$102375,$8596,$92920,$30750,,,,,$106997,$39347,,,$94542,$62789,$53329,$376280,$88581,$47194,$94891,$47704
2010,6037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,125363.0,9957.0,123193.0,69617.0,,,,,130351.0,16205.0,,,119409.0,17638.0,,,123723.0,61816.0,119409.0,19468.0,$125363,$9957,$123193,$69617,,,,,$130351,$16205,,,$119409,$17638,,,$123723,$61816,$119409,$19468
2010,6037431700,Census Tract 4317,Arcadia,Los Angeles County,California,Arcadia,106288.0,14886.0,85020.0,20931.0,111754.0,37910.0,,,125014.0,23128.0,,,,,,,95962.0,27215.0,64802.0,54113.0,$106288,$14886,$85020,$20931,$111754,$37910,,,$125014,$23128,,,,,,,$95962,$27215,$64802,$54113
2010,6037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,92622.0,16329.0,84614.0,15560.0,,,,,96498.0,33494.0,,,239892.0,56252.0,129678.0,577317.0,86880.0,20283.0,88782.0,77794.0,$92622,$16329,$84614,$15560,,,,,$96498,$33494,,,$239892,$56252,$129678,$577317,$86880,$20283,$88782,$77794
2010,6037431900,Census Tract 4319,Arcadia,Los Angeles County,California,Arcadia,85988.0,20390.0,58594.0,10753.0,,,72172.0,230243.0,99195.0,17867.0,,,142257.0,117864.0,,,59263.0,19952.0,62519.0,59600.0,$85988,$20390,$58594,$10753,,,$72172,$230243,$99195,$17867,,,$142257,$117864,,,$59263,$19952,$62519,$59600
2010,6037432500,Census Tract 4325,Arcadia,Los Angeles County,California,Arcadia,78489.0,9396.0,73649.0,16675.0,92197.0,81476.0,,,80705.0,28282.0,,,105596.0,49218.0,,,72709.0,24221.0,80654.0,21326.0,$78489,$9396,$73649,$16675,$92197,$81476,,,$80705,$28282,,,$105596,$49218,,,$72709,$24221,$80654,$21326
2010,6037463101,Census Tract 4631.01,Arcadia,Los Angeles County,California,Arcadia,94133.0,26271.0,104731.0,24531.0,,,,,112082.0,69505.0,,,46324.0,28893.0,,,118742.0,25397.0,62047.0,19246.0,$94133,$26271,$104731,$24531,,,,,$112082,$69505,,,$46324,$28893,,,$118742,$25397,$62047,$19246
2010,6037480011,Census Tract 4800.11,Arcadia,Los Angeles County,California,Arcadia,79677.0,8602.0,95640.0,22826.0,87930.0,33481.0,,,64545.0,23748.0,,,58384.0,35952.0,,,110516.0,28462.0,59657.0,22250.0,$79677,$8602,$95640,$22826,$87930,$33481,,,$64545,$23748,,,$58384,$35952,,,$110516,$28462,$59657,$22250
