YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,94532.78918,5796.22088,64044.825,9705.91112,107189.36034,82053.57291999999,,,107499.40298,12540.96204,,,61804.89829999999,139671.58184,110682.595,38814.4483,78605.00542,14871.5368,55684.18364,18540.81262,$94532.78918,$5796.22088,$64044.825,$9705.91112,$107189.36034,$82053.57291999999,Not available,Not available,$107499.40298,$12540.96204,Not available,Not available,$61804.89829999999,$139671.58184,$110682.595,$38814.4483,$786050542,$14871.5368,$55684.18364,$18540.81262,1
2013,6037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,115773.3375,32541.3398,102572.87798,24828.37226,82043.063,46943.87142,,,146153.57499999998,42852.88506,,,198703.175,460678.69588,,,103772.3226,27202.30044,75704.2675,93952.1161,$115773.3375,$32541.3398,$102572.87798,$24828.37226,$8204363,$46943.87142,Not available,Not available,$146153.57499999998,$42852.88506,Not available,Not available,$198703.175,$460678.69588,Not available,Not available,$103772.3226,$27202.30044,$75704.2675,$93952.1161,1
2013,6037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,130279.65458,9322.29904,98316.36038,24279.22894,183923.6,82494.98955999999,,,133091.05818,9969.97286,,,159108.36513999998,73363.18282,,,110208.33486,21978.8702,113966.945,49818.33454,$130279.65458,$9322.29904,$98316.36038,$24279.22894,$183923.6,$82494.98955999999,Not available,Not available,$1330915818,$9969.97286,Not available,Not available,$159108.36513999998,$73363.18282,Not available,Not available,$110208.33486,$21978.8702,$113966.945,$49818.33454,1
2013,6037554521,Census Tract 5545.21,Artesia,Los Angeles County,California,Artesia,103730.28292,9196.179999999998,81466.33114,28258.5474,86538.68127999999,8133.364339999999,,,137532.81311999998,41330.2604,,,54341.54136,72940.15853999999,15717.58536,46830.88978,67094.01554,14737.53532,123398.28446,34246.57432,$103730.28292,$9196.179999999998,$81466.33114,$28258.5474,$86538.68127999999,$8133.364339999999,Not available,Not available,$137532.81311999998,$41330.2604,Not available,Not available,$54341.54136,$72940.15853999999,$15717.58536,$46830.88978,$670941554,$14737.53532,$123398.28446,$34246.57432,1
2013,6037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,82607.9712,15997.41198,100172.675,50613.14724,,,,,89813.8351,22933.95918,,,73754.67734,18094.14102,31406.26844,23027.23472,119550.34,126875.75424,76298.07798,18986.17048,$82607.9712,$15997.41198,$100172.675,$50613.14724,Not available,Not available,Not available,Not available,$89813.8351,$22933.95918,Not available,Not available,$73754.67734,$18094.14102,$31406.26844,$23027.23472,$119550.34,$126875.75424,$762987798,$18986.17048,1
2013,6037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,78070.31323999999,6723.72132,88163.77765999999,17592.29234,137510.47954,86517.66144,,,73181.88669999999,7216.37382,,,61308.30458,51861.20024,82656.57957999999,48404.7503,82406.96897999999,38119.47984,86776.46822,12110.05532,$78070.31323999999,$6723.72132,$88163.77765999999,$17592.29234,$137510.47954,$86517.66144,Not available,Not available,$73181.88669999999,$7216.37382,Not available,Not available,$61308.30458,$51861.20024,$82656.57957999999,$48404.7503,$82406.96897999999,$38119.47984,$86776.46822,$121105532,1
2013,6037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,78654.92753999999,12494.98114,65244.26961999999,25092.434,42001.58154,17710.52894,,,105427.635,46099.1366,,,27777.71856,29111.16466,223485.56636,101251.25554,64597.90953999999,22178.55868,55808.98894,53047.50745999999,$78654.92753999999,$12494.98114,$65244.26961999999,$25092.434,$42001.58154,$17710.52894,Not available,Not available,$105427.635,$46099.1366,Not available,Not available,$27777.71856,$29111.16466,$223485.56636,$101251.25554,$64597.90953999999,$22178.55868,$55808.98894,$53047.50745999999,1
2011,6037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,90381.78216,8130.99744,75812.15664,15311.65392,116603.29584,23976.3672,,,95950.39896,11150.8488,92810.73384,90719.43912,79706.10384000001,75037.45176,111304.26,36556.812,78132.18672,23584.24944,74351.24568,20229.46416,$90381.78216,$8130.99744,$75812.15664,$15311.65392,$116603.29584,$23976.3672,Not available,Not available,$95950.39896,$11150.8488,$92810.73384,$90719.43912,$79706.10384000001,$75037.45176,$111304.26,$36556.812,$78132.18672,$23584.24944,$74351.24568,$20229.46416,1
2011,6037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,120215.4084,39636.57024,105139.29744,20432.33064,89390.5956,7986.67632,340381.36152000003,,161124.99984,38702.56752,,,65291.691600000006,118399.14072,,,104429.94552,14796.99936,67611.72168,202639.10616,$120215.4084,$39636.57024,$105139.29744,$20432.33064,$89390.5956,$7986.67632,$340381.36152000003,Not available,$161124.99984,$38702.56752,Not available,Not available,$65291.691600000006,$118399.14072,Not available,Not available,$104429.94552,$14796.99936,$67611.72168,$202639.10616,1
2011,6037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,134279.91,23521.61952,99277.95384,11902.40784,117260.91,64782.48312,,,146533.59,43250.04432,,,162437.50512000002,155053.98216,,,112537.79712,32262.57792,95589.59616,104270.64768,$134279.91,$23521.61952,$99277.95384,$11902.40784,$117260.91,$64782.48312,Not available,Not available,$146533.59,$432504432,Not available,Not available,$162437.50512000002,$155053.98216,Not available,Not available,$112537.79712,$32262.57792,$95589.59616,$104270.64768,1
