YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,86214.0,12921.0,90685.0,7454.0,,,,,,,,,70409.0,48897.0,32757.0,28298.0,94583.0,23169.0,65452.0,7315.0,$86214,$12921,$90685,$7454,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$70409,$48897,$32757,$28298,$94583,$23169,$65452,$7315,1
2013,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,151491.0,194395.0,152415.0,153281.0,,,,,,,,,,,,,151901.0,169807.0,,,$151491,$194395,$152415,$153281,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$151901,$169807,Not available,Not available,1
2011,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,67604.0,26433.0,69895.0,30587.0,,,,,,,,,26825.0,113213.0,41818.0,25541.0,92583.0,32260.0,50696.0,16491.0,$67604,$26433,$69895,$30587,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$26825,$113213,$41818,$25541,$92583,$32260,$50696,$16491,1
2011,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,65240.0,71511.0,66714.0,66886.0,,,,,,,,,,,,,66714.0,66886.0,,,$65240,$71511,$66714,$66886,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$66714,$66886,Not available,Not available,1
2022,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,92510.0,15708.0,92770.0,16007.0,,,,,,,,,,,64259.0,35187.0,103681.0,43569.0,85454.0,25253.0,$92510,$15708,$92770,$16007,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$64259,$35187,$103681,$43569,$85454,$25253,1
2022,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,,,,,,,,,,,,,,,,,,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
2012,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,71076.0,29145.0,83543.0,37592.0,,,,,,,,,85019.0,43195.0,43899.0,28724.0,95465.0,31428.0,64480.0,18124.0,$71076,$29145,$83543,$37592,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$85019,$43195,$43899,$28724,$95465,$31428,$64480,$18124,1
2012,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,56263.0,55738.0,56263.0,55738.0,,,,,,,,,,,,,56263.0,55738.0,,,$56263,$55738,$56263,$55738,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$56263,$55738,Not available,Not available,1
2019,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,88506.0,16633.0,89668.0,16707.0,,,,,,,,,77104.0,29623.0,,,90056.0,24544.0,84438.0,24065.0,$88506,$16633,$89668,$16707,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$77104,$29623,Not available,Not available,$90056,$24544,$84438,$24065,1
2019,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,,,,,,,,,,,,,,,,,,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
