YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,73898.0,27812.0,60925.0,19157.0,,,,,123415.0,2194.0,,,53894.0,34880.0,85243.0,253438.0,135972.0,174044.0,55013.0,16389.0
2013,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,80576.0,21061.0,95363.0,24983.0,,,,,69130.0,18730.0,,,80029.0,45156.0,87633.0,85247.0,34486.0,42648.0,95293.0,20362.0
2013,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,92935.0,9124.0,82302.0,35596.0,,,,,106741.0,24735.0,,,96390.0,90295.0,122547.0,95497.0,87035.0,65464.0,91078.0,11397.0
2013,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,113809.0,15264.0,104713.0,35386.0,,,,,94323.0,42267.0,,,122928.0,45591.0,,,85393.0,60922.0,119386.0,15765.0
2013,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,113721.0,17093.0,111258.0,14931.0,35220.0,131388.0,,,126447.0,46030.0,,,84924.0,33291.0,116744.0,202508.0,110847.0,14819.0,107334.0,23014.0
2011,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,63956.0,15937.0,60053.0,25117.0,,,,,127218.0,253556.0,,,62432.0,16007.0,,,80840.0,50133.0,60908.0,10584.0
2011,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,79989.0,16515.0,86202.0,23707.0,,,,,71190.0,125848.0,,,53468.0,62333.0,83535.0,50763.0,102445.0,76438.0,79642.0,19293.0
2011,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,119634.0,19219.0,109289.0,33088.0,119345.0,183202.0,,,179747.0,47727.0,,,122610.0,48078.0,67767.0,97808.0,110991.0,24051.0,113176.0,32660.0
2011,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,114841.0,17501.0,113055.0,27484.0,,,,,112964.0,57029.0,,,119298.0,37464.0,,,120835.0,57162.0,114271.0,20799.0
2011,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,107809.0,14059.0,116021.0,17566.0,36941.0,136906.0,,,103816.0,43923.0,,,86909.0,7264.0,,,119303.0,16016.0,89192.0,23434.0
2022,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,83530.0,21375.0,70154.0,25232.0,,,,,130482.0,41207.0,,,82866.0,37155.0,82706.0,67434.0,,,81910.0,19261.0
2022,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,105010.0,22941.0,103753.0,41409.0,,,,,133248.0,130558.0,,,79987.0,36996.0,122957.0,17811.0,129831.0,69861.0,102452.0,19903.0
2022,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,113102.0,21163.0,120099.0,56792.0,,,,,,,,,114313.0,33496.0,132955.0,89059.0,140869.0,71653.0,116382.0,36397.0
2022,6037980035,Census Tract 9800.35,Avocado Heights,Los Angeles County,California,AvocadoHeights,69113.0,19745.0,115839.0,42889.0,,,,,,,,,67030.0,53507.0,,,79395.0,54225.0,69894.0,31901.0
