YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037400501,Census Tract 4005.01,Azusa,Los Angeles County,California,Azusa,145216.0,37259.0,133837.0,37495.0,,,,,269896.0,153785.0,,,,,166271.0,82318.0,162666.0,54790.0,109369.0,50688.0,$145216,$37259,$133837,$37495,Not available,Not available,Not available,Not available,$269896,$153785,Not available,Not available,Not available,Not available,$166271,$82318,$162666,$54790,$109369,$50688,1
2013,6037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,68272.0,16704.0,75305.0,19295.0,,,113460.0,103161.0,111818.0,226812.0,,,34296.0,52409.0,29559.0,50913.0,75305.0,11912.0,48354.0,40157.0,$68272,$16704,$75305,$19295,Not available,Not available,$113460,$103161,$111818,$226812,Not available,Not available,$34296,$52409,$29559,$50913,$75305,$11912,$48354,$40157,1
2013,6037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,94516.0,16889.0,89006.0,23367.0,84442.0,33147.0,,,105960.0,34591.0,,,78759.0,39121.0,247147.0,48951.0,84572.0,25944.0,98993.0,23944.0,$94516,$16889,$89006,$23367,$84442,$33147,Not available,Not available,$105960,$34591,Not available,Not available,$78759,$39121,$247147,$48951,$84572,$25944,$98993,$23944,1
2013,6037400604,Census Tract 4006.04,Azusa,Los Angeles County,California,Azusa,83516.0,21385.0,97032.0,9610.0,,,,,159889.0,48536.0,,,46756.0,24463.0,195009.0,307117.0,96745.0,9342.0,48125.0,9651.0,$83516,$21385,$97032,$9610,Not available,Not available,Not available,Not available,$159889,$48536,Not available,Not available,$46756,$24463,$195009,$307117,$96745,$9342,$48125,$9651,1
2013,6037400800,Census Tract 4008,Azusa,Los Angeles County,California,Azusa,106741.0,22042.0,90476.0,41253.0,,,,,155435.0,33293.0,,,79861.0,22423.0,,,95575.0,47249.0,79602.0,22918.0,$106741,$22042,$90476,$41253,Not available,Not available,Not available,Not available,$155435,$33293,Not available,Not available,$79861,$22423,Not available,Not available,$95575,$47249,$79602,$22918,1
2013,6037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,88951.0,17633.0,71649.0,7015.0,54427.0,110999.0,,,45645.0,55262.0,,,111770.0,25785.0,125157.0,82364.0,71054.0,9349.0,94425.0,28616.0,$88951,$17633,$71649,$7015,$54427,$110999,Not available,Not available,$45645,$55262,Not available,Not available,$111770,$25785,$125157,$82364,$71054,$9349,$94425,$28616,1
2013,6037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,74577.0,6290.0,69262.0,11832.0,,,,,112900.0,18844.0,,,84945.0,55587.0,,,38368.0,31391.0,76537.0,7998.0,$74577,$6290,$69262,$11832,Not available,Not available,Not available,Not available,$112900,$18844,Not available,Not available,$84945,$55587,Not available,Not available,$38368,$31391,$76537,$7998,1
2013,6037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,52125.0,7194.0,66770.0,4546.0,,,,,,,,,38864.0,25720.0,25425.0,1490.0,71624.0,46275.0,44206.0,16067.0,$52125,$7194,$66770,$4546,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$38864,$25720,$25425,$1490,$71624,$46275,$44206,$16067,1
2013,6037404202,Census Tract 4042.02,Azusa,Los Angeles County,California,Azusa,65523.0,5298.0,54808.0,13290.0,35034.0,104473.0,,,69957.0,101040.0,,,81405.0,28386.0,89006.0,71483.0,51677.0,8882.0,66852.0,10884.0,$65523,$5298,$54808,$13290,$35034,$104473,Not available,Not available,$69957,$101040,Not available,Not available,$81405,$28386,$89006,$71483,$51677,$8882,$66852,$10884,1
2013,6037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,55013.0,10166.0,62525.0,14985.0,68150.0,19681.0,,,53488.0,53861.0,,,45885.0,9670.0,89499.0,41362.0,57908.0,61118.0,50998.0,8215.0,$55013,$10166,$62525,$14985,$68150,$19681,Not available,Not available,$53488,$53861,Not available,Not available,$45885,$9670,$89499,$41362,$57908,$61118,$50998,$8215,1
2013,6037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,65468.0,10936.0,66180.0,23798.0,,,,,70614.0,91555.0,,,65293.0,11768.0,,,67493.0,22973.0,64209.0,11818.0,$65468,$10936,$66180,$23798,Not available,Not available,Not available,Not available,$70614,$91555,Not available,Not available,$65293,$11768,Not available,Not available,$67493,$22973,$64209,$11818,1
2013,6037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,68092.0,8953.0,67564.0,12611.0,,,,,76436.0,53069.0,,,68008.0,28348.0,120114.0,48360.0,61266.0,33654.0,68803.0,10195.0,$68092,$8953,$67564,$12611,Not available,Not available,Not available,Not available,$76436,$53069,Not available,Not available,$68008,$28348,$120114,$48360,$61266,$33654,$68803,$10195,1
2013,6037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,90435.0,10227.0,77609.0,16334.0,,,,,104607.0,25031.0,,,89706.0,14271.0,,,73002.0,29465.0,89417.0,16805.0,$90435,$10227,$77609,$16334,Not available,Not available,Not available,Not available,$104607,$25031,Not available,Not available,$89706,$14271,Not available,Not available,$73002,$29465,$89417,$16805,1
2013,6037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,67927.0,10481.0,71025.0,8341.0,,,,,,,,,64522.0,17462.0,93604.0,72451.0,72256.0,8334.0,65317.0,12969.0,$67927,$10481,$71025,$8341,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$64522,$17462,$93604,$72451,$72256,$8334,$65317,$12969,1
2013,6037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,83690.0,7621.0,96888.0,16770.0,,,,,150532.0,49172.0,,,80867.0,3396.0,,,97914.0,32139.0,82947.0,3123.0,$83690,$7621,$96888,$16770,Not available,Not available,Not available,Not available,$150532,$49172,Not available,Not available,$80867,$3396,Not available,Not available,$97914,$32139,$82947,$3123,1
2013,6037404504,Census Tract 4045.04,Azusa,Los Angeles County,California,Azusa,51143.0,9649.0,52393.0,13119.0,18964.0,86791.0,,,34859.0,9580.0,,,56060.0,22637.0,55218.0,145086.0,48499.0,35161.0,55096.0,9355.0,$51143,$9649,$52393,$13119,$18964,$86791,Not available,Not available,$34859,$9580,Not available,Not available,$56060,$22637,$55218,$145086,$48499,$35161,$55096,$9355,1
2013,6037930301,Census Tract 9303.01,Azusa,Los Angeles County,California,Azusa,107946.0,18296.0,114788.0,13333.0,,,,,,,,,,,,,116523.0,29706.0,90476.0,8585.0,$107946,$18296,$114788,$13333,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$116523,$29706,$90476,$8585,1
2011,6037400501,Census Tract 4005.01,Azusa,Los Angeles County,California,Azusa,183496.0,49297.0,138799.0,79190.0,,,340381.0,,269258.0,171157.0,,,,,169261.0,63273.0,181484.0,78991.0,111568.0,187440.0,$183496,$49297,$138799,$79190,Not available,Not available,$340381,Not available,$269258,$171157,Not available,Not available,Not available,Not available,$169261,$63273,$181484,$78991,$111568,$187440,1
2011,6037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,68781.0,14703.0,85095.0,33827.0,145126.0,71732.0,113579.0,31955.0,69778.0,59060.0,,,47167.0,34056.0,82825.0,67715.0,93392.0,45227.0,52334.0,13693.0,$68781,$14703,$85095,$33827,$145126,$71732,$113579,$31955,$69778,$59060,Not available,Not available,$47167,$34056,$82825,$67715,$93392,$45227,$52334,$13693,1
2011,6037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,99930.0,6218.0,94311.0,8642.0,103476.0,86019.0,,,89067.0,72565.0,,,105341.0,23500.0,242771.0,264483.0,99304.0,21104.0,102149.0,6041.0,$99930,$6218,$94311,$8642,$103476,$86019,Not available,Not available,$89067,$72565,Not available,Not available,$105341,$23500,$242771,$264483,$99304,$21104,$102149,$6041,1
2011,6037400604,Census Tract 4006.04,Azusa,Los Angeles County,California,Azusa,88237.0,9275.0,106581.0,21093.0,62751.0,46684.0,,,117601.0,119443.0,,,29470.0,30241.0,114956.0,130344.0,101308.0,27324.0,49627.0,26973.0,$88237,$9275,$106581,$21093,$62751,$46684,Not available,Not available,$117601,$119443,Not available,Not available,$29470,$30241,$114956,$130344,$101308,$27324,$49627,$26973,1
2011,6037400800,Census Tract 4008,Azusa,Los Angeles County,California,Azusa,76324.0,15766.0,74182.0,10333.0,,,,,167212.0,35413.0,,,64411.0,15013.0,,,72982.0,16314.0,75408.0,10199.0,$76324,$15766,$74182,$10333,Not available,Not available,Not available,Not available,$167212,$35413,Not available,Not available,$64411,$15013,Not available,Not available,$72982,$16314,$75408,$10199,1
2011,6037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,91260.0,17317.0,84386.0,41645.0,131472.0,167482.0,123192.0,56662.0,55312.0,25712.0,,,98555.0,30133.0,89836.0,102784.0,66529.0,51726.0,99639.0,20613.0,$91260,$17317,$84386,$41645,$131472,$167482,$123192,$56662,$55312,$25712,Not available,Not available,$98555,$30133,$89836,$102784,$66529,$51726,$99639,$20613,1
2011,6037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,96603.0,12696.0,100518.0,23456.0,56547.0,238594.0,138705.0,16187.0,107684.0,64573.0,,,95807.0,19490.0,82421.0,103019.0,101795.0,39865.0,96157.0,14851.0,$96603,$12696,$100518,$23456,$56547,$238594,$138705,$16187,$107684,$64573,Not available,Not available,$95807,$19490,$82421,$103019,$101795,$39865,$96157,$14851,1
2011,6037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,54461.0,10312.0,66942.0,19016.0,140163.0,153799.0,,,60397.0,115865.0,,,51811.0,8255.0,27514.0,20257.0,102114.0,58967.0,47015.0,12819.0,$54461,$10312,$66942,$19016,$140163,$153799,Not available,Not available,$60397,$115865,Not available,Not available,$51811,$8255,$27514,$20257,$102114,$58967,$47015,$12819,1
