YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,61395.0,8656.0,59085.0,20075.0,,,73440.0,83994.0,,,,,63875.0,10799.0,,,96174.0,45084.0,60722.0,9081.0,$61395,$8656,$59085,$20075,,,$73440,$83994,,,,,$63875,$10799,,,$96174,$45084,$60722,$9081
2010,6037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,51487.0,13508.0,37188.0,6345.0,,,,,,,,,61382.0,51054.0,,,53782.0,218251.0,51070.0,14928.0,$51487,$13508,$37188,$6345,,,,,,,,,$61382,$51054,,,$53782,$218251,$51070,$14928
2010,6037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,56449.0,10082.0,54595.0,21958.0,,,,,,,,,56002.0,9778.0,134938.0,110310.0,89872.0,99888.0,56099.0,9684.0,$56449,$10082,$54595,$21958,,,,,,,,,$56002,$9778,$134938,$110310,$89872,$99888,$56099,$9684
2010,6037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,56293.0,11369.0,47828.0,4690.0,,,,,,,,,64076.0,44896.0,,,28190.0,33499.0,62400.0,11334.0,$56293,$11369,$47828,$4690,,,,,,,,,$64076,$44896,,,$28190,$33499,$62400,$11334
2010,6037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,53393.0,57615.0,46884.0,29370.0,,,,,,,,,89249.0,39953.0,,,40675.0,35544.0,54149.0,69912.0,$53393,$57615,$46884,$29370,,,,,,,,,$89249,$39953,,,$40675,$35544,$54149,$69912
2010,6037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,60731.0,13308.0,71443.0,10637.0,10395.0,93803.0,,,,,,,55113.0,6360.0,97548.0,116807.0,69530.0,98287.0,61171.0,13813.0,$60731,$13308,$71443,$10637,$10395,$93803,,,,,,,$55113,$6360,$97548,$116807,$69530,$98287,$61171,$13813
2010,6037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,44798.0,9131.0,45975.0,17770.0,,,,,,,,,42246.0,16313.0,35855.0,72440.0,,,44930.0,10108.0,$44798,$9131,$45975,$17770,,,,,,,,,$42246,$16313,$35855,$72440,,,$44930,$10108
2010,6037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,59683.0,8786.0,76337.0,16435.0,21528.0,109803.0,,,,,,,55275.0,7950.0,,,30520.0,18059.0,59315.0,8398.0,$59683,$8786,$76337,$16435,$21528,$109803,,,,,,,$55275,$7950,,,$30520,$18059,$59315,$8398
2010,6037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,54686.0,7986.0,53862.0,17923.0,,,,,,,,,55646.0,14229.0,,,88581.0,92946.0,54159.0,8893.0,$54686,$7986,$53862,$17923,,,,,,,,,$55646,$14229,,,$88581,$92946,$54159,$8893
2011,6037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,58518.0,5836.0,53402.0,15007.0,,,,,,,,,65835.0,19675.0,57462.0,39160.0,97997.0,18639.0,57642.0,5399.0,$58518,$5836,$53402,$15007,,,,,,,,,$65835,$19675,$57462,$39160,$97997,$18639,$57642,$5399
2011,6037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,52996.0,12943.0,43798.0,6887.0,,,38016.0,75444.0,,,,,58656.0,38304.0,,,54893.0,251454.0,51681.0,13176.0,$52996,$12943,$43798,$6887,,,$38016,$75444,,,,,$58656,$38304,,,$54893,$251454,$51681,$13176
2011,6037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,48739.0,10733.0,47660.0,8094.0,,,,,,,,,52955.0,18535.0,135991.0,92413.0,39243.0,40843.0,49004.0,11816.0,$48739,$10733,$47660,$8094,,,,,,,,,$52955,$18535,$135991,$92413,$39243,$40843,$49004,$11816
2011,6037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,61359.0,11216.0,53433.0,22078.0,,,,,,,,,64771.0,43678.0,,,27569.0,36053.0,65259.0,33481.0,$61359,$11216,$53433,$22078,,,,,,,,,$64771,$43678,,,$27569,$36053,$65259,$33481
2011,6037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,56061.0,27862.0,48043.0,10402.0,,,,,,,,,89989.0,95542.0,,,40794.0,12814.0,58397.0,48522.0,$56061,$27862,$48043,$10402,,,,,,,,,$89989,$95542,,,$40794,$12814,$58397,$48522
2011,6037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,53240.0,7864.0,60938.0,13250.0,49248.0,72736.0,,,,,,,49125.0,15099.0,95898.0,18092.0,71703.0,80084.0,53122.0,7820.0,$53240,$7864,$60938,$13250,$49248,$72736,,,,,,,$49125,$15099,$95898,$18092,$71703,$80084,$53122,$7820
2011,6037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,43390.0,7200.0,43385.0,10793.0,,,,,,,,,42842.0,20892.0,74536.0,2737.0,24527.0,24409.0,44350.0,10811.0,$43390,$7200,$43385,$10793,,,,,,,,,$42842,$20892,$74536,$2737,$24527,$24409,$44350,$10811
2011,6037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,58504.0,7823.0,61926.0,11568.0,74953.0,17661.0,,,,,,,48553.0,14821.0,,,6022.0,305754.0,57652.0,10830.0,$58504,$7823,$61926,$11568,$74953,$17661,,,,,,,$48553,$14821,,,$6022,$305754,$57652,$10830
2011,6037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,52285.0,5989.0,51046.0,3081.0,,,,,,,,,55977.0,20850.0,,,57813.0,9184.0,51621.0,6406.0,$52285,$5989,$51046,$3081,,,,,,,,,$55977,$20850,,,$57813,$9184,$51621,$6406
2012,6037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,58615.0,8780.0,52040.0,13438.0,,,,,,,,,61074.0,16489.0,54741.0,26200.0,93834.0,46872.0,58222.0,9542.0,$58615,$8780,$52040,$13438,,,,,,,,,$61074,$16489,$54741,$26200,$93834,$46872,$58222,$9542
2012,6037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,50827.0,7390.0,44255.0,11142.0,,,37180.0,74235.0,,,,,57558.0,7136.0,,,54398.0,374400.0,49928.0,8550.0,$50827,$7390,$44255,$11142,,,$37180,$74235,,,,,$57558,$7136,,,$54398,$374400,$49928,$8550
2012,6037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,50500.0,10665.0,50561.0,8636.0,,,,,,,,,46332.0,27685.0,57058.0,114590.0,21022.0,20555.0,51970.0,10588.0,$50500,$10665,$50561,$8636,,,,,,,,,$46332,$27685,$57058,$114590,$21022,$20555,$51970,$10588
2012,6037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,67634.0,16001.0,60551.0,22982.0,,,,,,,,,82665.0,30115.0,64408.0,2714.0,49170.0,33089.0,74741.0,21361.0,$67634,$16001,$60551,$22982,,,,,,,,,$82665,$30115,$64408,$2714,$49170,$33089,$74741,$21361
2012,6037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,49336.0,11471.0,43909.0,11475.0,,,,,,,,,90162.0,24513.0,,,38365.0,22558.0,50990.0,13371.0,$49336,$11471,$43909,$11475,,,,,,,,,$90162,$24513,,,$38365,$22558,$50990,$13371
2012,6037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,49071.0,10793.0,54509.0,17646.0,37752.0,78120.0,,,,,,,39625.0,10185.0,84085.0,61579.0,8090.0,38651.0,49642.0,11862.0,$49071,$10793,$54509,$17646,$37752,$78120,,,,,,,$39625,$10185,$84085,$61579,$8090,$38651,$49642,$11862
2012,6037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,41537.0,4403.0,42328.0,6333.0,,,,,,,,,41253.0,13053.0,72302.0,115732.0,35007.0,66931.0,42002.0,4431.0,$41537,$4403,$42328,$6333,,,,,,,,,$41253,$13053,$72302,$115732,$35007,$66931,$42002,$4431
2012,6037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,52668.0,9799.0,55750.0,10896.0,73298.0,48956.0,,,,,,,48879.0,9074.0,,,8389.0,233520.0,51480.0,9692.0,$52668,$9799,$55750,$10896,$73298,$48956,,,,,,,$48879,$9074,,,$8389,$233520,$51480,$9692
