YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,59384.0,14669.0,52002.0,17140.0,,,,,,,,,59666.0,51090.0,109478.0,178751.0,25391.0,25299.0,59277.0,14868.0,$59384,$14669,$52002,$17140,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$59666,$51090,$109478,$178751,$25391,$25299,$59277,$14868,1
2013,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,42268.0,8805.0,46346.0,17282.0,,,,,,,,,43440.0,9292.0,27369.0,26925.0,24110.0,7113.0,43409.0,8408.0,$42268,$8805,$46346,$17282,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$43440,$9292,$27369,$26925,$24110,$7113,$43409,$8408,1
2013,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,52153.0,11098.0,56416.0,15066.0,,,,,,,,,47075.0,10618.0,,,70849.0,51429.0,49549.0,11343.0,$52153,$11098,$56416,$15066,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$47075,$10618,Not available,Not available,$70849,$51429,$49549,$11343,1
2013,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,49695.0,4866.0,43993.0,6628.0,,,,,,,,,55670.0,7607.0,,,86378.0,45312.0,47846.0,5120.0,$49695,$4866,$43993,$6628,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$55670,$7607,Not available,Not available,$86378,$45312,$47846,$5120,1
2013,6037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,48547.0,10351.0,53254.0,9254.0,,,,,,,,,40742.0,16895.0,182281.0,349828.0,50907.0,97595.0,48239.0,11288.0,$48547,$10351,$53254,$9254,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$40742,$16895,$182281,$349828,$50907,$97595,$48239,$11288,1
2013,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,42373.0,7593.0,43518.0,11056.0,,,,,,,,,46731.0,13344.0,,,46747.0,40307.0,44134.0,8868.0,$42373,$7593,$43518,$11056,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$46731,$13344,Not available,Not available,$46747,$40307,$44134,$8868,1
2013,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,48342.0,5503.0,46588.0,6353.0,,,,,,,,,51952.0,8650.0,53166.0,82984.0,54557.0,31687.0,47828.0,5262.0,$48342,$5503,$46588,$6353,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$51952,$8650,$53166,$82984,$54557,$31687,$47828,$5262,1
2013,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,48759.0,17760.0,46815.0,5515.0,,,,,,,,,61396.0,14092.0,,,45981.0,7318.0,49223.0,20651.0,$48759,$17760,$46815,$5515,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$61396,$14092,Not available,Not available,$45981,$7318,$49223,$20651,1
2013,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,38470.0,19705.0,39381.0,26436.0,,,,,,,,,30956.0,21439.0,,,71344.0,82036.0,37932.0,15898.0,$38470,$19705,$39381,$26436,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$30956,$21439,Not available,Not available,$71344,$82036,$37932,$15898,1
2011,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,67736.0,16190.0,59680.0,32547.0,,,,,103816.0,106066.0,,,61647.0,23417.0,104302.0,190768.0,23259.0,30073.0,68833.0,18785.0,$67736,$16190,$59680,$32547,Not available,Not available,Not available,Not available,$103816,$106066,Not available,Not available,$61647,$23417,$104302,$190768,$23259,$30073,$68833,$18785,1
