YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,160742.0,19846.0,161345.0,20604.0,,,,,227237.0,375502.0,,,,,,,158723.0,21161.0,170774.0,97536.0,$160742,$19846,$161345,$20604,,,,,$227237,$375502,,,,,,,$158723,$21161,$170774,$97536
2010,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,194994.0,44536.0,193555.0,36128.0,,,,,125856.0,278812.0,,,,,71507.0,240992.0,192693.0,35451.0,227599.0,162481.0,$194994,$44536,$193555,$36128,,,,,$125856,$278812,,,,,$71507,$240992,$192693,$35451,$227599,$162481
2010,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,177541.0,32928.0,176981.0,28566.0,,,,,79542.0,121416.0,,,246491.0,173729.0,,,175053.0,28616.0,249383.0,321233.0,$177541,$32928,$176981,$28566,,,,,$79542,$121416,,,$246491,$173729,,,$175053,$28616,$249383,$321233
2010,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,222071.0,54914.0,240133.0,75470.0,,,,,215300.0,158266.0,,,,,186924.0,14166.0,247304.0,75989.0,216266.0,156238.0,$222071,$54914,$240133,$75470,,,,,$215300,$158266,,,,,$186924,$14166,$247304,$75989,$216266,$156238
2010,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,208029.0,21089.0,209011.0,29108.0,88348.0,795.0,,,,,,,191883.0,2788.0,,,223561.0,50518.0,146352.0,145244.0,$208029,$21089,$209011,$29108,$88348,$795,,,,,,,$191883,$2788,,,$223561,$50518,$146352,$145244
2010,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,195499.0,47547.0,175189.0,41317.0,269915.0,133745.0,,,,,,,86322.0,98807.0,,,172389.0,34089.0,144363.0,172906.0,$195499,$47547,$175189,$41317,$269915,$133745,,,,,,,$86322,$98807,,,$172389,$34089,$144363,$172906
2010,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,143357.0,29410.0,132853.0,24636.0,,,,,231015.0,6557.0,,,,,,,131814.0,21767.0,,,$143357,$29410,$132853,$24636,,,,,$231015,$6557,,,,,,,$131814,$21767,,
2010,6037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,132160.0,9779.0,129617.0,10300.0,176559.0,18042.0,,,164508.0,21554.0,,,,,214062.0,61315.0,130099.0,10832.0,106030.0,157694.0,$132160,$9779,$129617,$10300,$176559,$18042,,,$164508,$21554,,,,,$214062,$61315,$130099,$10832,$106030,$157694
2011,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,141670.0,22120.0,140502.0,27061.0,,,,,316839.0,57185.0,,,111443.0,25112.0,,,139939.0,27962.0,126229.0,48002.0,$141670,$22120,$140502,$27061,,,,,$316839,$57185,,,$111443,$25112,,,$139939,$27962,$126229,$48002
2011,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,206224.0,42690.0,190022.0,42517.0,,,,,256721.0,285492.0,,,,,69784.0,299428.0,191191.0,43849.0,226521.0,222622.0,$206224,$42690,$190022,$42517,,,,,$256721,$285492,,,,,$69784,$299428,$191191,$43849,$226521,$222622
