YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037291300,Census Tract 2913,Carson,Los Angeles County,California,Carson,72965.0,9513.0,90429.0,29617.0,43617.0,10547.0,,,62319.0,21645.0,,,,,171744.0,25573.0,95871.0,21453.0,72021.0,47401.0,$72965,$9513,$90429,$29617,$43617,$10547,Not available,Not available,$62319,$21645,Not available,Not available,Not available,Not available,$171744,$25573,$95871,$21453,$72021,$47401,1
2013,6037294110,Census Tract 2941.10,Carson,Los Angeles County,California,Carson,84793.0,20236.0,102234.0,29734.0,,,84883.0,175529.0,175009.0,187559.0,,,63552.0,28964.0,69569.0,66265.0,129732.0,33043.0,84983.0,21556.0,$84793,$20236,$102234,$29734,Not available,Not available,$84883,$175529,$175009,$187559,Not available,Not available,$63552,$28964,$69569,$66265,$129732,$33043,$84983,$21556,1
2013,6037541002,Census Tract 5410.02,Carson,Los Angeles County,California,Carson,58007.0,18378.0,56027.0,9890.0,54328.0,46263.0,,,84983.0,9846.0,,,50161.0,32510.0,,,56462.0,32007.0,54611.0,18539.0,$58007,$18378,$56027,$9890,$54328,$46263,Not available,Not available,$84983,$9846,Not available,Not available,$50161,$32510,Not available,Not available,$56462,$32007,$54611,$18539,1
2013,6037543100,Census Tract 5431,Carson,Los Angeles County,California,Carson,69804.0,10413.0,71676.0,17355.0,72667.0,12139.0,,,,,,,46186.0,31275.0,39632.0,76822.0,41054.0,73014.0,62279.0,19661.0,$69804,$10413,$71676,$17355,$72667,$12139,Not available,Not available,Not available,Not available,Not available,Not available,$46186,$31275,$39632,$76822,$41054,$73014,$62279,$19661,1
2013,6037543202,Census Tract 5432.02,Carson,Los Angeles County,California,Carson,45857.0,8500.0,75686.0,50515.0,32536.0,15610.0,,,,,,,48667.0,32381.0,,,,,75800.0,38585.0,$45857,$8500,$75686,$50515,$32536,$15610,Not available,Not available,Not available,Not available,Not available,Not available,$48667,$32381,Not available,Not available,Not available,Not available,$75800,$38585,1
2013,6037543304,Census Tract 5433.04,Carson,Los Angeles County,California,Carson,120905.0,8818.0,122433.0,49527.0,119140.0,8890.0,,,136301.0,205851.0,,,80467.0,129749.0,127992.0,72646.0,77948.0,103779.0,131834.0,20521.0,$120905,$8818,$122433,$49527,$119140,$8890,Not available,Not available,$136301,$205851,Not available,Not available,$80467,$129749,$127992,$72646,$77948,$103779,$131834,$20521,1
2013,6037543306,Census Tract 5433.06,Carson,Los Angeles County,California,Carson,99488.0,25849.0,78672.0,10289.0,107531.0,24518.0,,,115400.0,26950.0,144146.0,73160.0,114076.0,15522.0,57085.0,22479.0,38098.0,29024.0,82035.0,19509.0,$99488,$25849,$78672,$10289,$107531,$24518,Not available,Not available,$115400,$26950,$144146,$73160,$114076,$15522,$57085,$22479,$38098,$29024,$82035,$19509,1
2013,6037543321,Census Tract 5433.21,Carson,Los Angeles County,California,Carson,112408.0,20211.0,60996.0,18275.0,126571.0,14043.0,,,117211.0,126286.0,,,94698.0,106384.0,81440.0,80206.0,73194.0,21223.0,45543.0,6490.0,$112408,$20211,$60996,$18275,$126571,$14043,Not available,Not available,$117211,$126286,Not available,Not available,$94698,$106384,$81440,$80206,$73194,$21223,$45543,$6490,1
2013,6037543322,Census Tract 5433.22,Carson,Los Angeles County,California,Carson,106029.0,13654.0,89443.0,73346.0,114645.0,23718.0,,,128418.0,118218.0,,,,,98051.0,45578.0,103331.0,68797.0,95726.0,70290.0,$106029,$13654,$89443,$73346,$114645,$23718,Not available,Not available,$128418,$118218,Not available,Not available,Not available,Not available,$98051,$45578,$103331,$68797,$95726,$70290,1
2013,6037543400,Census Tract 5434,Carson,Los Angeles County,California,Carson,105208.0,24172.0,72529.0,27190.0,133016.0,66466.0,158503.0,34972.0,116458.0,24474.0,87167.0,1236.0,111668.0,44033.0,88425.0,89479.0,72761.0,32561.0,95396.0,24891.0,$105208,$24172,$72529,$27190,$133016,$66466,$158503,$34972,$116458,$24474,$87167,$1236,$111668,$44033,$88425,$89479,$72761,$32561,$95396,$24891,1
2013,6037543501,Census Tract 5435.01,Carson,Los Angeles County,California,Carson,86762.0,12714.0,73405.0,10348.0,88775.0,48255.0,,,98922.0,23424.0,,,85456.0,70100.0,115786.0,14424.0,74638.0,41087.0,77336.0,25421.0,$86762,$12714,$73405,$10348,$88775,$48255,Not available,Not available,$98922,$23424,Not available,Not available,$85456,$70100,$115786,$14424,$74638,$41087,$77336,$25421,1
2013,6037543601,Census Tract 5436.01,Carson,Los Angeles County,California,Carson,104580.0,17598.0,63659.0,31459.0,109205.0,53753.0,45652.0,182157.0,126061.0,28767.0,,,103198.0,64413.0,122468.0,46141.0,44134.0,55491.0,103284.0,42442.0,$104580,$17598,$63659,$31459,$109205,$53753,$45652,$182157,$126061,$28767,Not available,Not available,$103198,$64413,$122468,$46141,$44134,$55491,$103284,$42442,1
2013,6037543604,Census Tract 5436.04,Carson,Los Angeles County,California,Carson,119879.0,12670.0,94170.0,45298.0,120005.0,123892.0,,,143006.0,49519.0,,,119331.0,25660.0,145855.0,21777.0,114717.0,34013.0,120298.0,41774.0,$119879,$12670,$94170,$45298,$120005,$123892,Not available,Not available,$143006,$49519,Not available,Not available,$119331,$25660,$145855,$21777,$114717,$34013,$120298,$41774,1
