YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,88839.0,10628.0,88497.0,8566.0,138491.0,156628.0,,,107398.0,67476.0,,,101069.0,96195.0,12362.0,27737.0,99601.0,22244.0,59307.0,38163.0
2013,6037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,143886.0,18222.0,153634.0,30967.0,,,,,127940.0,98859.0,,,94528.0,77949.0,,,169144.0,25561.0,90555.0,70545.0
2013,6037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,136666.0,11141.0,135805.0,14062.0,,,,,143298.0,14789.0,,,21890.0,33511.0,218409.0,82068.0,135292.0,15703.0,87766.0,38059.0
2013,6037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,151992.0,25033.0,163173.0,26991.0,,,,,167830.0,48344.0,,,78158.0,22874.0,,,161381.0,34220.0,139585.0,40659.0
2013,6037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,176104.0,17737.0,188258.0,28083.0,,,,,139585.0,97179.0,,,181684.0,41663.0,109000.0,76334.0,187391.0,30702.0,180937.0,78246.0
2011,6037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,93361.0,13150.0,91472.0,10117.0,162300.0,135967.0,,,73337.0,135338.0,,,100072.0,108757.0,31627.0,217107.0,94394.0,15483.0,72408.0,66441.0
2011,6037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,133272.0,36497.0,131472.0,41780.0,340381.0,,,,,,,,125113.0,224265.0,,,133926.0,48670.0,125067.0,44346.0
2011,6037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,141522.0,14273.0,142695.0,23867.0,74513.0,322510.0,,,144593.0,29934.0,,,22913.0,72540.0,186075.0,140618.0,149199.0,28452.0,87614.0,43104.0
2011,6037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,150466.0,17889.0,157829.0,33425.0,135338.0,27230.0,151570.0,37028.0,144023.0,96886.0,,,,,,,157561.0,42550.0,134988.0,46553.0
2011,6037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,174556.0,9107.0,175591.0,4795.0,61207.0,393662.0,,,,,,,,,,,175111.0,3927.0,112098.0,460662.0
2022,6037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,98919.0,12841.0,98553.0,30221.0,,,,,,,,,133920.0,39531.0,100807.0,36420.0,98518.0,66794.0,100767.0,16180.0
2022,6037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,153204.0,25350.0,174670.0,13338.0,,,,,153204.0,37272.0,,,,,115839.0,59820.0,145196.0,53353.0,166531.0,28772.0
2022,6037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,141393.0,23516.0,152707.0,20477.0,,,,,116418.0,19538.0,,,115328.0,20266.0,109424.0,78893.0,155186.0,39121.0,128041.0,48878.0
2022,6037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,146467.0,17403.0,167197.0,31407.0,,,,,124725.0,20883.0,,,130455.0,59804.0,184342.0,86027.0,166762.0,32450.0,137673.0,51652.0
2022,6037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,182219.0,13486.0,189508.0,41228.0,,,,,236722.0,16104.0,,,,,182920.0,56958.0,223769.0,58266.0,169003.0,17885.0
2012,6037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,97164.0,14156.0,92070.0,13286.0,136569.0,111609.0,,,108357.0,89447.0,,,101800.0,55076.0,30245.0,204943.0,100737.0,15850.0,75989.0,35721.0
2012,6037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,140673.0,27602.0,157094.0,42091.0,333409.0,,,,125953.0,181834.0,,,124522.0,34342.0,,,160420.0,49075.0,125231.0,26550.0
2012,6037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,142460.0,12867.0,142460.0,17307.0,76461.0,249657.0,,,145440.0,16850.0,,,22160.0,42778.0,218306.0,49803.0,145218.0,22321.0,93446.0,44625.0
2012,6037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,156303.0,23540.0,169683.0,25842.0,135702.0,65014.0,151828.0,121407.0,207576.0,75613.0,,,74983.0,1336.0,,,158869.0,41393.0,167625.0,43140.0
2012,6037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,175754.0,19163.0,174800.0,14261.0,228459.0,501.0,,,,,,,165037.0,50290.0,29054.0,111686.0,174364.0,10801.0,182125.0,236867.0
2019,6037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,107858.0,10100.0,108400.0,8823.0,198599.0,98585.0,,,53054.0,34192.0,,,106108.0,37049.0,,,99383.0,24004.0,109073.0,14208.0
2019,6037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,152586.0,9666.0,156173.0,13638.0,,,,,138986.0,83591.0,,,168646.0,58862.0,87391.0,7783.0,160208.0,18717.0,152126.0,19789.0
2019,6037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,135961.0,22355.0,135665.0,33412.0,,,,,123892.0,53463.0,,,203656.0,83804.0,,,153184.0,32600.0,130352.0,46824.0
2019,6037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,151151.0,11541.0,151307.0,12292.0,289974.0,221820.0,,,147804.0,18855.0,,,123170.0,31428.0,179123.0,116510.0,153931.0,12081.0,144591.0,25469.0
2019,6037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,170156.0,15294.0,166800.0,20215.0,,,,,182139.0,83118.0,,,121427.0,60447.0,,,179857.0,34998.0,149448.0,70104.0
