YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037504102,Census Tract 5041.02,Cerritos,Los Angeles County,California,Cerritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6037553000,Census Tract 5530,Cerritos,Los Angeles County,California,Cerritos,91884.0,17229.0,83659.0,21663.0,71087.0,148112.0,,,170895.0,123267.0,,,99150.0,22186.0,196303.0,43971.0,70202.0,19478.0,93066.0,15291.0,$91884,$17229,$83659,$21663,$71087,$148112,,,$170895,$123267,,,$99150,$22186,$196303,$43971,$70202,$19478,$93066,$15291
2010,6037554511,Census Tract 5545.11,Cerritos,Los Angeles County,California,Cerritos,140748.0,35811.0,133133.0,35544.0,171574.0,33324.0,,,127694.0,55416.0,,,,,312417.0,189341.0,132200.0,30034.0,197464.0,150416.0,$140748,$35811,$133133,$35544,$171574,$33324,,,$127694,$55416,,,,,$312417,$189341,$132200,$30034,$197464,$150416
2010,6037554512,Census Tract 5545.12,Cerritos,Los Angeles County,California,Cerritos,143073.0,15945.0,115489.0,39396.0,68334.0,84474.0,,,148444.0,10021.0,,,104578.0,185064.0,,,116847.0,58844.0,113761.0,81752.0,$143073,$15945,$115489,$39396,$68334,$84474,,,$148444,$10021,,,$104578,$185064,,,$116847,$58844,$113761,$81752
2010,6037554513,Census Tract 5545.13,Cerritos,Los Angeles County,California,Cerritos,123545.0,18935.0,103043.0,66468.0,86111.0,31167.0,303965.0,356479.0,138554.0,29984.0,,,70503.0,74836.0,,,84740.0,79979.0,95234.0,83440.0,$123545,$18935,$103043,$66468,$86111,$31167,$303965,$356479,$138554,$29984,,,$70503,$74836,,,$84740,$79979,$95234,$83440
2010,6037554514,Census Tract 5545.14,Cerritos,Los Angeles County,California,Cerritos,90561.0,10815.0,76702.0,24554.0,95932.0,26077.0,,,94418.0,11357.0,85661.0,22066.0,80988.0,85162.0,115698.0,2960.0,70503.0,32021.0,78897.0,23861.0,$90561,$10815,$76702,$24554,$95932,$26077,,,$94418,$11357,$85661,$22066,$80988,$85162,$115698,$2960,$70503,$32021,$78897,$23861
2010,6037554515,Census Tract 5545.15,Cerritos,Los Angeles County,California,Cerritos,141408.0,35541.0,107754.0,15660.0,92678.0,193623.0,,,168375.0,14004.0,,,149684.0,180750.0,,,107325.0,16196.0,118492.0,71144.0,$141408,$35541,$107754,$15660,$92678,$193623,,,$168375,$14004,,,$149684,$180750,,,$107325,$16196,$118492,$71144
2010,6037554516,Census Tract 5545.16,Cerritos,Los Angeles County,California,Cerritos,152925.0,32157.0,188830.0,96984.0,120670.0,70936.0,,,142649.0,43005.0,,,243071.0,119848.0,,,224229.0,113504.0,164910.0,165105.0,$152925,$32157,$188830,$96984,$120670,$70936,,,$142649,$43005,,,$243071,$119848,,,$224229,$113504,$164910,$165105
2010,6037554517,Census Tract 5545.17,Cerritos,Los Angeles County,California,Cerritos,126238.0,27281.0,63765.0,36519.0,297866.0,127922.0,,,143686.0,20256.0,,,58753.0,82085.0,126803.0,170713.0,72827.0,36691.0,48509.0,35978.0,$126238,$27281,$63765,$36519,$297866,$127922,,,$143686,$20256,,,$58753,$82085,$126803,$170713,$72827,$36691,$48509,$35978
2010,6037554518,Census Tract 5545.18,Cerritos,Los Angeles County,California,Cerritos,125908.0,17000.0,123711.0,15596.0,138921.0,88052.0,78884.0,15130.0,141207.0,30640.0,,,160024.0,60033.0,,,124144.0,12432.0,124243.0,53501.0,$125908,$17000,$123711,$15596,$138921,$88052,$78884,$15130,$141207,$30640,,,$160024,$60033,,,$124144,$12432,$124243,$53501
