YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037400900,Census Tract 4009,Citrus,Los Angeles County,California,Citrus,101529.0,12286.0,99718.0,13197.0,109370.0,18088.0,,,184996.0,39686.0,,,50292.0,104404.0,,,98104.0,15608.0,116319.0,39720.0,$101529,$12286,$99718,$13197,$109370,$18088,,,$184996,$39686,,,$50292,$104404,,,$98104,$15608,$116319,$39720
2010,6037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,90733.0,9811.0,86250.0,13237.0,,,,,94237.0,21942.0,,,112630.0,54440.0,,,83296.0,14659.0,111404.0,27040.0,$90733,$9811,$86250,$13237,,,,,$94237,$21942,,,$112630,$54440,,,$83296,$14659,$111404,$27040
2010,6037403901,Census Tract 4039.01,Citrus,Los Angeles County,California,Citrus,106539.0,8622.0,104193.0,12717.0,,,,,111239.0,48814.0,,,100916.0,35108.0,,,110015.0,25109.0,102139.0,13674.0,$106539,$8622,$104193,$12717,,,,,$111239,$48814,,,$100916,$35108,,,$110015,$25109,$102139,$13674
2010,6037404000,Census Tract 4040,Citrus,Los Angeles County,California,Citrus,95482.0,12273.0,94457.0,56191.0,153661.0,137699.0,127836.0,31027.0,53084.0,30352.0,,,108919.0,27753.0,42483.0,114117.0,70749.0,41394.0,104369.0,24803.0,$95482,$12273,$94457,$56191,$153661,$137699,$127836,$31027,$53084,$30352,,,$108919,$27753,$42483,$114117,$70749,$41394,$104369,$24803
2010,6037404100,Census Tract 4041,Citrus,Los Angeles County,California,Citrus,97620.0,12258.0,106659.0,23556.0,60213.0,200142.0,133475.0,36631.0,108919.0,152176.0,,,97319.0,12277.0,87518.0,112558.0,105529.0,23228.0,97620.0,12083.0,$97620,$12258,$106659,$23556,$60213,$200142,$133475,$36631,$108919,$152176,,,$97319,$12277,$87518,$112558,$105529,$23228,$97620,$12083
2010,6037404201,Census Tract 4042.01,Citrus,Los Angeles County,California,Citrus,66386.0,9523.0,71949.0,51060.0,142892.0,83007.0,,,63796.0,68262.0,,,54209.0,9784.0,73918.0,40859.0,116123.0,38712.0,53691.0,9742.0,$66386,$9523,$71949,$51060,$142892,$83007,,,$63796,$68262,,,$54209,$9784,$73918,$40859,$116123,$38712,$53691,$9742
2010,6037404202,Census Tract 4042.02,Citrus,Los Angeles County,California,Citrus,70250.0,11769.0,56845.0,26119.0,,,,,78187.0,132360.0,,,86885.0,41420.0,135583.0,53034.0,42483.0,15534.0,71407.0,5062.0,$70250,$11769,$56845,$26119,,,,,$78187,$132360,,,$86885,$41420,$135583,$53034,$42483,$15534,$71407,$5062
2010,6037405900,Census Tract 4059,Citrus,Los Angeles County,California,Citrus,110727.0,30738.0,123652.0,26383.0,77734.0,82605.0,,,130676.0,159953.0,,,130586.0,76073.0,71154.0,19395.0,111836.0,24257.0,130361.0,52570.0,$110727,$30738,$123652,$26383,$77734,$82605,,,$130676,$159953,,,$130586,$76073,$71154,$19395,$111836,$24257,$130361,$52570
2011,6037400900,Census Tract 4009,Citrus,Los Angeles County,California,Citrus,99414.0,6998.0,98387.0,5989.0,,,,,178694.0,48553.0,,,55265.0,50066.0,,,84063.0,21492.0,116155.0,16279.0,$99414,$6998,$98387,$5989,,,,,$178694,$48553,,,$55265,$50066,,,$84063,$21492,$116155,$16279
2011,6037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,93987.0,12324.0,87039.0,14473.0,154347.0,166288.0,,,102248.0,70048.0,,,122657.0,105544.0,127398.0,23325.0,85421.0,12790.0,112810.0,25673.0,$93987,$12324,$87039,$14473,$154347,$166288,,,$102248,$70048,,,$122657,$105544,$127398,$23325,$85421,$12790,$112810,$25673
2011,6037403901,Census Tract 4039.01,Citrus,Los Angeles County,California,Citrus,105082.0,13605.0,102942.0,14600.0,,,,,138439.0,2219.0,,,102698.0,9602.0,61954.0,99293.0,106366.0,30672.0,101062.0,19120.0,$105082,$13605,$102942,$14600,,,,,$138439,$2219,,,$102698,$9602,$61954,$99293,$106366,$30672,$101062,$19120
2011,6037404000,Census Tract 4040,Citrus,Los Angeles County,California,Citrus,93941.0,17826.0,86865.0,42868.0,135335.0,172402.0,126811.0,58327.0,56937.0,26468.0,,,101450.0,31018.0,92475.0,105804.0,68484.0,53245.0,102566.0,21219.0,$93941,$17826,$86865,$42868,$135335,$172402,$126811,$58327,$56937,$26468,,,$101450,$31018,$92475,$105804,$68484,$53245,$102566,$21219
2011,6037404100,Census Tract 4041,Citrus,Los Angeles County,California,Citrus,99441.0,13069.0,103471.0,24145.0,58208.0,245604.0,142780.0,16663.0,110848.0,66470.0,,,98622.0,20063.0,84842.0,106046.0,104786.0,41037.0,98982.0,15288.0,$99441,$13069,$103471,$24145,$58208,$245604,$142780,$16663,$110848,$66470,,,$98622,$20063,$84842,$106046,$104786,$41037,$98982,$15288
2011,6037404201,Census Tract 4042.01,Citrus,Los Angeles County,California,Citrus,56061.0,10615.0,68909.0,19575.0,144281.0,158317.0,,,62171.0,119269.0,,,53333.0,8497.0,28322.0,20852.0,105114.0,60700.0,48396.0,13195.0,$56061,$10615,$68909,$19575,$144281,$158317,,,$62171,$119269,,,$53333,$8497,$28322,$20852,$105114,$60700,$48396,$13195
2011,6037404202,Census Tract 4042.02,Citrus,Los Angeles County,California,Citrus,73535.0,8370.0,52027.0,23623.0,109869.0,30669.0,13830.0,167364.0,109763.0,21220.0,,,73311.0,61572.0,133875.0,118877.0,48053.0,23826.0,72637.0,7735.0,$73535,$8370,$52027,$23623,$109869,$30669,$13830,$167364,$109763,$21220,,,$73311,$61572,$133875,$118877,$48053,$23826,$72637,$7735
2011,6037405900,Census Tract 4059,Citrus,Los Angeles County,California,Citrus,97355.0,36619.0,111550.0,17417.0,12263.0,24592.0,,,68824.0,88538.0,,,130309.0,72114.0,68208.0,29579.0,110939.0,22979.0,111830.0,60110.0,$97355,$36619,$111550,$17417,$12263,$24592,,,$68824,$88538,,,$130309,$72114,$68208,$29579,$110939,$22979,$111830,$60110
2012,6037400900,Census Tract 4009,Citrus,Los Angeles County,California,Citrus,85481.0,16339.0,85663.0,14841.0,,,,,170743.0,71985.0,,,49274.0,21528.0,,,82918.0,9142.0,97813.0,32457.0,$85481,$16339,$85663,$14841,,,,,$170743,$71985,,,$49274,$21528,,,$82918,$9142,$97813,$32457
2012,6037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,100553.0,13206.0,93214.0,15642.0,154598.0,71253.0,,,137363.0,36319.0,,,124930.0,67581.0,,,86475.0,14754.0,109497.0,19105.0,$100553,$13206,$93214,$15642,$154598,$71253,,,$137363,$36319,,,$124930,$67581,,,$86475,$14754,$109497,$19105
2012,6037403901,Census Tract 4039.01,Citrus,Los Angeles County,California,Citrus,104236.0,11438.0,101743.0,10814.0,,,,,137958.0,45310.0,,,116935.0,42545.0,60251.0,89297.0,102906.0,14485.0,97813.0,16549.0,$104236,$11438,$101743,$10814,,,,,$137958,$45310,,,$116935,$42545,$60251,$89297,$102906,$14485,$97813,$16549
