YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037400204,Census Tract 4002.04,Claremont,Los Angeles County,California,Claremont,188612.0,21602.0,195533.0,22633.0,111987.0,220635.0,,,166026.0,44334.0,,,35936.0,144962.0,172807.0,276726.0,201775.0,24234.0,96547.0,59294.0,$188612,$21602,$195533,$22633,$111987,$220635,,,$166026,$44334,,,$35936,$144962,$172807,$276726,$201775,$24234,$96547,$59294
2010,6037400205,Census Tract 4002.05,Claremont,Los Angeles County,California,Claremont,267752.0,31182.0,246135.0,64295.0,79460.0,327055.0,,,343090.0,103020.0,,,,,,,242041.0,66318.0,247665.0,149422.0,$267752,$31182,$246135,$64295,$79460,$327055,,,$343090,$103020,,,,,,,$242041,$66318,$247665,$149422
2010,6037400206,Census Tract 4002.06,Claremont,Los Angeles County,California,Claremont,189608.0,20487.0,192528.0,27824.0,154218.0,22412.0,,,172599.0,95478.0,,,197409.0,30689.0,,,199759.0,33424.0,183188.0,74532.0,$189608,$20487,$192528,$27824,$154218,$22412,,,$172599,$95478,,,$197409,$30689,,,$199759,$33424,$183188,$74532
2010,6037401701,Census Tract 4017.01,Claremont,Los Angeles County,California,Claremont,96816.0,18029.0,87117.0,17012.0,113155.0,128474.0,,,150648.0,86235.0,,,96038.0,105818.0,325713.0,359799.0,84153.0,17116.0,124564.0,19087.0,$96816,$18029,$87117,$17012,$113155,$128474,,,$150648,$86235,,,$96038,$105818,$325713,$359799,$84153,$17116,$124564,$19087
2010,6037401800,Census Tract 4018,Claremont,Los Angeles County,California,Claremont,118532.0,16057.0,121565.0,21978.0,92197.0,18684.0,,,60986.0,78551.0,,,72378.0,133298.0,204553.0,116346.0,121872.0,23380.0,75182.0,58883.0,$118532,$16057,$121565,$21978,$92197,$18684,,,$60986,$78551,,,$72378,$133298,$204553,$116346,$121872,$23380,$75182,$58883
2010,6037401901,Census Tract 4019.01,Claremont,Los Angeles County,California,Claremont,105100.0,26580.0,105042.0,54965.0,,,,,,,3614.0,,84965.0,136941.0,,,105042.0,54965.0,84965.0,136941.0,$105100,$26580,$105042,$54965,,,,,,,$3614,,$84965,$136941,,,$105042,$54965,$84965,$136941
2010,6037401902,Census Tract 4019.02,Claremont,Los Angeles County,California,Claremont,98223.0,20117.0,106818.0,16368.0,33745.0,34952.0,66888.0,31519.0,78012.0,122375.0,,,89167.0,24405.0,124294.0,23061.0,109540.0,10541.0,68437.0,40240.0,$98223,$20117,$106818,$16368,$33745,$34952,$66888,$31519,$78012,$122375,,,$89167,$24405,$124294,$23061,$109540,$10541,$68437,$40240
2010,6037402001,Census Tract 4020.01,Claremont,Los Angeles County,California,Claremont,51958.0,8141.0,72553.0,23777.0,35270.0,34372.0,,,24865.0,14572.0,,,30479.0,20289.0,24858.0,109929.0,73877.0,21378.0,49024.0,23881.0,$51958,$8141,$72553,$23777,$35270,$34372,,,$24865,$14572,,,$30479,$20289,$24858,$109929,$73877,$21378,$49024,$23881
2010,6037402002,Census Tract 4020.02,Claremont,Los Angeles County,California,Claremont,102592.0,13545.0,103078.0,13848.0,60073.0,360987.0,,,110199.0,62895.0,,,25602.0,42554.0,,,107191.0,39003.0,95419.0,50595.0,$102592,$13545,$103078,$13848,$60073,$360987,,,$110199,$62895,,,$25602,$42554,,,$107191,$39003,$95419,$50595
2011,6037400204,Census Tract 4002.04,Claremont,Los Angeles County,California,Claremont,171128.0,14967.0,175518.0,17628.0,,,,,186712.0,63935.0,,,,,168740.0,288890.0,193857.0,31276.0,113281.0,32962.0,$171128,$14967,$175518,$17628,,,,,$186712,$63935,,,,,$168740,$288890,$193857,$31276,$113281,$32962
2011,6037400205,Census Tract 4002.05,Claremont,Los Angeles County,California,Claremont,249098.0,41391.0,224449.0,30220.0,76367.0,239682.0,,,331109.0,89219.0,,,,,,,224243.0,26259.0,247422.0,302833.0,$249098,$41391,$224449,$30220,$76367,$239682,,,$331109,$89219,,,,,,,$224243,$26259,$247422,$302833
2011,6037400206,Census Tract 4002.06,Claremont,Los Angeles County,California,Claremont,194210.0,25391.0,194712.0,24682.0,175941.0,50865.0,,,210623.0,126386.0,,,73329.0,259720.0,,,200120.0,32292.0,187016.0,113829.0,$194210,$25391,$194712,$24682,$175941,$50865,,,$210623,$126386,,,$73329,$259720,,,$200120,$32292,$187016,$113829
2011,6037401701,Census Tract 4017.01,Claremont,Los Angeles County,California,Claremont,100297.0,12793.0,96646.0,16464.0,112472.0,158358.0,,,117995.0,44267.0,,,98375.0,129136.0,160708.0,305691.0,99180.0,14141.0,118590.0,33454.0,$100297,$12793,$96646,$16464,$112472,$158358,,,$117995,$44267,,,$98375,$129136,$160708,$305691,$99180,$14141,$118590,$33454
2011,6037401800,Census Tract 4018,Claremont,Los Angeles County,California,Claremont,115625.0,22113.0,117559.0,21155.0,91333.0,31428.0,,,115693.0,111875.0,,,20486.0,109965.0,307897.0,175416.0,116356.0,22965.0,101197.0,58883.0,$115625,$22113,$117559,$21155,$91333,$31428,,,$115693,$111875,,,$20486,$109965,$307897,$175416,$116356,$22965,$101197,$58883
2011,6037401901,Census Tract 4019.01,Claremont,Los Angeles County,California,Claremont,80412.0,42162.0,81989.0,38198.0,,,,,,,3502.0,,84091.0,149089.0,,,105377.0,12856.0,60413.0,2898.0,$80412,$42162,$81989,$38198,,,,,,,$3502,,$84091,$149089,,,$105377,$12856,$60413,$2898
2011,6037401902,Census Tract 4019.02,Claremont,Los Angeles County,California,Claremont,100766.0,16702.0,106695.0,20063.0,50455.0,29473.0,77496.0,33527.0,75222.0,57284.0,,,102178.0,74274.0,123800.0,25645.0,107888.0,15658.0,98510.0,43722.0,$100766,$16702,$106695,$20063,$50455,$29473,$77496,$33527,$75222,$57284,,,$102178,$74274,$123800,$25645,$107888,$15658,$98510,$43722
2011,6037402001,Census Tract 4020.01,Claremont,Los Angeles County,California,Claremont,47659.0,6041.0,61619.0,25091.0,37423.0,22720.0,,,23537.0,1794.0,,,30469.0,34009.0,24342.0,221439.0,61136.0,23122.0,47846.0,18416.0,$47659,$6041,$61619,$25091,$37423,$22720,,,$23537,$1794,,,$30469,$34009,$24342,$221439,$61136,$23122,$47846,$18416
2011,6037402002,Census Tract 4020.02,Claremont,Los Angeles County,California,Claremont,90149.0,12750.0,95394.0,14740.0,61755.0,353198.0,,,110412.0,58806.0,,,24651.0,17232.0,,,89697.0,35358.0,88617.0,81538.0,$90149,$12750,$95394,$14740,$61755,$353198,,,$110412,$58806,,,$24651,$17232,,,$89697,$35358,$88617,$81538
2012,6037400204,Census Tract 4002.04,Claremont,Los Angeles County,California,Claremont,178664.0,25586.0,180132.0,31715.0,,,,,154270.0,94360.0,,,,,170672.0,317092.0,208721.0,24126.0,115381.0,45407.0,$178664,$25586,$180132,$31715,,,,,$154270,$94360,,,,,$170672,$317092,$208721,$24126,$115381,$45407
2012,6037400205,Census Tract 4002.05,Claremont,Los Angeles County,California,Claremont,243331.0,45672.0,225238.0,13937.0,78882.0,328272.0,,,342859.0,67265.0,,,,,,,225827.0,26556.0,224340.0,308830.0,$243331,$45672,$225238,$13937,$78882,$328272,,,$342859,$67265,,,,,,,$225827,$26556,$224340,$308830
2012,6037400206,Census Tract 4002.06,Claremont,Los Angeles County,California,Claremont,176149.0,19633.0,176234.0,18020.0,152857.0,67567.0,,,207180.0,101526.0,,,,,,,179985.0,13565.0,111369.0,96677.0,$176149,$19633,$176234,$18020,$152857,$67567,,,$207180,$101526,,,,,,,$179985,$13565,$111369,$96677
2012,6037401701,Census Tract 4017.01,Claremont,Los Angeles County,California,Claremont,97372.0,12236.0,95181.0,12904.0,33119.0,77155.0,,,118690.0,66246.0,,,36764.0,98709.0,166453.0,25345.0,97862.0,11464.0,115597.0,53890.0,$97372,$12236,$95181,$12904,$33119,$77155,,,$118690,$66246,,,$36764,$98709,$166453,$25345,$97862,$11464,$115597,$53890
2012,6037401800,Census Tract 4018,Claremont,Los Angeles County,California,Claremont,102655.0,15413.0,105921.0,17495.0,75348.0,35741.0,,,61599.0,83927.0,,,40970.0,213296.0,204015.0,126837.0,98432.0,16151.0,139075.0,21318.0,$102655,$15413,$105921,$17495,$75348,$35741,,,$61599,$83927,,,$40970,$213296,$204015,$126837,$98432,$16151,$139075,$21318
2012,6037401901,Census Tract 4019.01,Claremont,Los Angeles County,California,Claremont,80911.0,35519.0,79709.0,35940.0,,,,,,,,,136251.0,52632.0,,,100387.0,16703.0,60006.0,27361.0,$80911,$35519,$79709,$35940,,,,,,,,,$136251,$52632,,,$100387,$16703,$60006,$27361
2012,6037401902,Census Tract 4019.02,Claremont,Los Angeles County,California,Claremont,89172.0,17123.0,105006.0,21069.0,37180.0,30325.0,58041.0,42644.0,84492.0,14500.0,,,53947.0,7099.0,86487.0,63709.0,104809.0,22564.0,98842.0,54967.0,$89172,$17123,$105006,$21069,$37180,$30325,$58041,$42644,$84492,$14500,,,$53947,$7099,$86487,$63709,$104809,$22564,$98842,$54967
2012,6037402001,Census Tract 4020.01,Claremont,Los Angeles County,California,Claremont,52117.0,11798.0,65089.0,23049.0,51970.0,37475.0,,,23604.0,9648.0,,,33072.0,28659.0,,,65638.0,29879.0,49029.0,21678.0,$52117,$11798,$65089,$23049,$51970,$37475,,,$23604,$9648,,,$33072,$28659,,,$65638,$29879,$49029,$21678
2012,6037402002,Census Tract 4020.02,Claremont,Los Angeles County,California,Claremont,88225.0,16131.0,97095.0,23254.0,50808.0,103228.0,,,133907.0,242013.0,,,26532.0,120975.0,,,87517.0,55960.0,97653.0,12417.0,$88225,$16131,$97095,$23254,$50808,$103228,,,$133907,$242013,,,$26532,$120975,,,$87517,$55960,$97653,$12417
2013,6037400204,Census Tract 4002.04,Claremont,Los Angeles County,California,Claremont,166986.0,25383.0,174678.0,20285.0,,,,,144813.0,122257.0,,,,,,,193385.0,25149.0,116596.0,21102.0,$166986,$25383,$174678,$20285,,,,,$144813,$122257,,,,,,,$193385,$25149,$116596,$21102
2013,6037400205,Census Tract 4002.05,Claremont,Los Angeles County,California,Claremont,242107.0,37749.0,225604.0,17136.0,285518.0,74444.0,,,318722.0,100300.0,,,,,,,224987.0,11629.0,248250.0,260635.0,$242107,$37749,$225604,$17136,$285518,$74444,,,$318722,$100300,,,,,,,$224987,$11629,$248250,$260635
