YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,47750.0,7470.0,54207.0,14443.0,,,,,,,,,47099.0,7026.0,41878.0,62117.0,20020.0,52073.0,47908.0,8035.0,$47750,$7470,$54207,$14443,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$47099,$7026,$41878,$62117,$20020,$52073,$47908,$8035
2010,6037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,50116.0,10298.0,43191.0,11807.0,,,158642.0,192279.0,,,,,57653.0,10255.0,,,19628.0,59447.0,51320.0,9781.0,$50116,$10298,$43191,$11807,Not available,Not available,$158642,$192279,Not available,Not available,Not available,Not available,$57653,$10255,Not available,Not available,$19628,$59447,$51320,$9781
2010,6037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,54363.0,8573.0,48789.0,13961.0,,,,,,,,,60079.0,26208.0,,,87809.0,34517.0,53576.0,6026.0,$54363,$8573,$48789,$13961,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$60079,$26208,Not available,Not available,$87809,$34517,$53576,$6026
2010,6037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,58632.0,10718.0,70965.0,21973.0,26830.0,66667.0,,,50929.0,35025.0,,,51492.0,11114.0,,,49013.0,10361.0,63264.0,13879.0,$58632,$10718,$70965,$21973,$26830,$66667,Not available,Not available,$50929,$35025,Not available,Not available,$51492,$11114,Not available,Not available,$49013,$10361,$63264,$13879
2010,6037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,71028.0,8552.0,64359.0,16279.0,,,,,,,,,73759.0,13941.0,73905.0,45111.0,145470.0,154692.0,70784.0,8730.0,$71028,$8552,$64359,$16279,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$73759,$13941,$73905,$45111,$145470,$154692,$70784,$8730
2010,6037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,68600.0,10888.0,53940.0,22443.0,,,,,24335.0,176653.0,,,78769.0,19657.0,120635.0,57121.0,104785.0,131221.0,65519.0,16296.0,$68600,$10888,$53940,$22443,Not available,Not available,Not available,Not available,$24335,$176653,Not available,Not available,$78769,$19657,$120635,$57121,$104785,$131221,$65519,$16296
2010,6037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,72933.0,13681.0,70902.0,29884.0,,,,,90634.0,83840.0,,,68742.0,35271.0,264304.0,371465.0,13171.0,44923.0,72627.0,15363.0,$72933,$13681,$70902,$29884,Not available,Not available,Not available,Not available,$90634,$83840,Not available,Not available,$68742,$35271,$264304,$371465,$13171,$44923,$72627,$15363
2010,6037532400,Census Tract 5324,Commerce,Los Angeles County,California,Commerce,54266.0,58815.0,128201.0,64747.0,,,,,,,,,47417.0,26250.0,,,,,53212.0,16002.0,$54266,$58815,$128201,$64747,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$47417,$26250,Not available,Not available,Not available,Not available,$53212,$16002
2010,6037533703,Census Tract 5337.03,Commerce,Los Angeles County,California,Commerce,55051.0,11903.0,55383.0,13813.0,,,,,,,,,54526.0,23405.0,333819.0,659864.0,,,54728.0,11925.0,$55051,$11903,$55383,$13813,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$54526,$23405,$333819,$659864,Not available,Not available,$54728,$11925
2011,6037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,50266.0,7674.0,53928.0,9001.0,,,20667.0,9499.0,,,,,46364.0,14286.0,,,19238.0,34916.0,50899.0,7596.0,$50266,$7674,$53928,$9001,Not available,Not available,$20667,$9499,Not available,Not available,Not available,Not available,$46364,$14286,Not available,Not available,$19238,$34916,$50899,$7596
2011,6037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,51178.0,7733.0,47808.0,6474.0,,,156981.0,194352.0,96584.0,40192.0,,,58989.0,7321.0,,,42926.0,23832.0,51568.0,7777.0,$51178,$7733,$47808,$6474,Not available,Not available,$156981,$194352,$96584,$40192,Not available,Not available,$58989,$7321,Not available,Not available,$42926,$23832,$51568,$7777
2011,6037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,51830.0,9874.0,47881.0,8422.0,,,,,,,,,69778.0,27022.0,,,36874.0,101661.0,52604.0,10258.0,$51830,$9874,$47881,$8422,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$69778,$27022,Not available,Not available,$36874,$101661,$52604,$10258
2011,6037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,63191.0,12344.0,70346.0,13700.0,26030.0,76301.0,,,48221.0,23377.0,,,54093.0,15237.0,,,42803.0,28314.0,67559.0,12318.0,$63191,$12344,$70346,$13700,$26030,$76301,Not available,Not available,$48221,$23377,Not available,Not available,$54093,$15237,Not available,Not available,$42803,$28314,$67559,$12318
2011,6037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,70264.0,10477.0,65712.0,14884.0,,,,,,,,,77649.0,25782.0,76245.0,36001.0,49046.0,113149.0,70629.0,10394.0,$70264,$10477,$65712,$14884,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$77649,$25782,$76245,$36001,$49046,$113149,$70629,$10394
2011,6037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,63719.0,13460.0,52295.0,16707.0,,,,,137162.0,54171.0,,,77801.0,15882.0,120623.0,131261.0,103497.0,164360.0,56853.0,17720.0,$63719,$13460,$52295,$16707,Not available,Not available,Not available,Not available,$137162,$54171,Not available,Not available,$77801,$15882,$120623,$131261,$103497,$164360,$56853,$17720
2011,6037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,67736.0,16190.0,59680.0,32547.0,,,,,103816.0,106066.0,,,61647.0,23417.0,104302.0,190768.0,23259.0,30073.0,68833.0,18785.0,$67736,$16190,$59680,$32547,Not available,Not available,Not available,Not available,$103816,$106066,Not available,Not available,$61647,$23417,$104302,$190768,$23259,$30073,$68833,$18785
2011,6037532400,Census Tract 5324,Commerce,Los Angeles County,California,Commerce,43966.0,88367.0,115729.0,118244.0,,,,,,,,,9871.0,72355.0,,,150618.0,57867.0,41413.0,49636.0,$43966,$88367,$115729,$118244,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$9871,$72355,Not available,Not available,$150618,$57867,$41413,$49636
2011,6037533703,Census Tract 5337.03,Commerce,Los Angeles County,California,Commerce,47708.0,7539.0,46301.0,12531.0,,,,,,,,,48977.0,23512.0,334083.0,521044.0,,,47453.0,7649.0,$47708,$7539,$46301,$12531,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$48977,$23512,$334083,$521044,Not available,Not available,$47453,$7649
2012,6037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,50502.0,7964.0,48448.0,13240.0,,,16432.0,8953.0,,,,,51545.0,9920.0,76042.0,172117.0,,,50158.0,7968.0,$50502,$7964,$48448,$13240,Not available,Not available,$16432,$8953,Not available,Not available,Not available,Not available,$51545,$9920,$76042,$172117,Not available,Not available,$50158,$7968
2012,6037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,53296.0,8595.0,52208.0,8039.0,,,157080.0,189786.0,93961.0,66389.0,,,56263.0,16002.0,,,42843.0,44846.0,53749.0,8659.0,$53296,$8595,$52208,$8039,Not available,Not available,$157080,$189786,$93961,$66389,Not available,Not available,$56263,$16002,Not available,Not available,$42843,$44846,$53749,$8659
2012,6037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,52646.0,6203.0,50522.0,6349.0,,,26434.0,112144.0,37008.0,36954.0,,,81583.0,44615.0,,,33459.0,52554.0,52996.0,6567.0,$52646,$6203,$50522,$6349,Not available,Not available,$26434,$112144,$37008,$36954,Not available,Not available,$81583,$44615,Not available,Not available,$33459,$52554,$52996,$6567
2012,6037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,56842.0,11544.0,59811.0,11632.0,28642.0,95868.0,,,43968.0,45278.0,,,52193.0,23712.0,72655.0,119611.0,53952.0,28389.0,58972.0,14647.0,$56842,$11544,$59811,$11632,$28642,$95868,Not available,Not available,$43968,$45278,Not available,Not available,$52193,$23712,$72655,$119611,$53952,$28389,$58972,$14647
2012,6037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,62171.0,10725.0,57171.0,6826.0,,,,,,,,,67756.0,11788.0,77756.0,14897.0,36341.0,30039.0,62171.0,11573.0,$62171,$10725,$57171,$6826,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$67756,$11788,$77756,$14897,$36341,$30039,$62171,$11573
2012,6037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,80885.0,18269.0,65957.0,17468.0,,,,,138108.0,759.0,,,83034.0,111892.0,121812.0,99697.0,104847.0,182113.0,72335.0,18295.0,$80885,$18269,$65957,$17468,Not available,Not available,Not available,Not available,$138108,$759,Not available,Not available,$83034,$111892,$121812,$99697,$104847,$182113,$72335,$18295
2012,6037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,59919.0,21290.0,51618.0,19262.0,,,,,137531.0,89421.0,,,61975.0,27589.0,108205.0,183341.0,25006.0,31647.0,59395.0,21389.0,$59919,$21290,$51618,$19262,Not available,Not available,Not available,Not available,$137531,$89421,Not available,Not available,$61975,$27589,$108205,$183341,$25006,$31647,$59395,$21389
2012,6037532400,Census Tract 5324,Commerce,Los Angeles County,California,Commerce,42927.0,23739.0,77517.0,119431.0,,,,,,,,,25006.0,45617.0,,,79184.0,339097.0,40842.0,44011.0,$42927,$23739,$77517,$119431,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$25006,$45617,Not available,Not available,$79184,$339097,$40842,$44011
2012,6037533703,Census Tract 5337.03,Commerce,Los Angeles County,California,Commerce,47221.0,6183.0,51053.0,10825.0,,,,,,,,,43066.0,10274.0,,,88353.0,111757.0,46713.0,6127.0,$47221,$6183,$51053,$10825,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$43066,$10274,Not available,Not available,$88353,$111757,$46713,$6127
2013,6037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,48570.0,6419.0,41785.0,12944.0,,,,,,,,,52586.0,9291.0,74810.0,194658.0,,,48255.0,6489.0,$48570,$6419,$41785,$12944,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$52586,$9291,$74810,$194658,Not available,Not available,$48255,$6489
2013,6037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,55251.0,6917.0,54444.0,8726.0,,,,,,,,,55104.0,13107.0,,,42901.0,69351.0,55879.0,7679.0,$55251,$6917,$54444,$8726,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$55104,$13107,Not available,Not available,$42901,$69351,$55879,$7679
2013,6037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,48465.0,11135.0,47287.0,10534.0,,,,,,,,,53327.0,46359.0,,,15644.0,13710.0,52162.0,7324.0,$48465,$11135,$47287,$10534,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$53327,$46359,Not available,Not available,$15644,$13710,$52162,$7324
2013,6037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,62982.0,12900.0,63561.0,12352.0,32078.0,94161.0,,,44156.0,38440.0,,,79190.0,48015.0,70740.0,62048.0,54318.0,27370.0,66813.0,12379.0,$62982,$12900,$63561,$12352,$32078,$94161,Not available,Not available,$44156,$38440,Not available,Not available,$79190,$48015,$70740,$62048,$54318,$27370,$66813,$12379
2013,6037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,62472.0,8693.0,58133.0,8948.0,,,,,,,,,66156.0,11671.0,70833.0,8250.0,35609.0,96836.0,62324.0,9321.0,$62472,$8693,$58133,$8948,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$66156,$11671,$70833,$8250,$35609,$96836,$62324,$9321
2013,6037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,70276.0,15012.0,62950.0,13935.0,,,,,,,,,80522.0,12808.0,123848.0,66729.0,97300.0,274615.0,68233.0,12052.0,$70276,$15012,$62950,$13935,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$80522,$12808,$123848,$66729,$97300,$274615,$68233,$12052
2013,6037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,59384.0,14669.0,52002.0,17140.0,,,,,,,,,59666.0,51090.0,109478.0,178751.0,25391.0,25299.0,59277.0,14868.0,$59384,$14669,$52002,$17140,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$59666,$51090,$109478,$178751,$25391,$25299,$59277,$14868
2013,6037532400,Census Tract 5324,Commerce,Los Angeles County,California,Commerce,42287.0,8161.0,60760.0,63895.0,,,,,,,,,40233.0,38260.0,,,,,40644.0,26450.0,$42287,$8161,$60760,$63895,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$40233,$38260,Not available,Not available,Not available,Not available,$40644,$26450
2013,6037533703,Census Tract 5337.03,Commerce,Los Angeles County,California,Commerce,48547.0,10351.0,53254.0,9254.0,,,,,,,,,40742.0,16895.0,182281.0,349828.0,50907.0,97595.0,48239.0,11288.0,$48547,$10351,$53254,$9254,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$40742,$16895,$182281,$349828,$50907,$97595,$48239,$11288
2014,6037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,54962.0,5911.0,53208.0,17171.0,,,,,,,,,55712.0,10588.0,74009.0,208481.0,,,54816.0,5810.0,$54962,$5911,$53208,$17171,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$55712,$10588,$74009,$208481,Not available,Not available,$54816,$5810
2014,6037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,55102.0,10074.0,56125.0,7253.0,,,,,,,,,44840.0,17777.0,,,44178.0,118711.0,55652.0,7884.0,$55102,$10074,$56125,$7253,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$44840,$17777,Not available,Not available,$44178,$118711,$55652,$7884
2014,6037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,48458.0,7027.0,47460.0,6650.0,,,,,17929.0,24735.0,,,52716.0,21629.0,,,20306.0,27754.0,50797.0,5274.0,$48458,$7027,$47460,$6650,Not available,Not available,Not available,Not available,$17929,$24735,Not available,Not available,$52716,$21629,Not available,Not available,$20306,$27754,$50797,$5274
2014,6037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,63175.0,12036.0,65193.0,10932.0,30992.0,35911.0,,,43612.0,11671.0,,,72257.0,33079.0,52496.0,78117.0,29767.0,32283.0,66248.0,10699.0,$63175,$12036,$65193,$10932,$30992,$35911,Not available,Not available,$43612,$11671,Not available,Not available,$72257,$33079,$52496,$78117,$29767,$32283,$66248,$10699
2014,6037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,60534.0,7486.0,54508.0,12704.0,,,,,,,,,69613.0,11012.0,71072.0,51146.0,,,60765.0,7008.0,$60534,$7486,$54508,$12704,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$69613,$11012,$71072,$51146,Not available,Not available,$60765,$7008
