YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037541100,Census Tract 5411,Compton,Los Angeles County,California,Compton,74420.0,12970.0,76687.0,17501.0,59957.0,31567.0,,,,,,,102754.0,22980.0,108869.0,53656.0,,,80546.0,14569.0,$74420,$12970,$76687,$17501,$59957,$31567,,,,,,,$102754,$22980,$108869,$53656,,,$80546,$14569
2010,6037541200,Census Tract 5412,Compton,Los Angeles County,California,Compton,86795.0,17456.0,87764.0,58608.0,81350.0,16736.0,,,,,,,119916.0,107607.0,115040.0,103088.0,,,78614.0,28000.0,$86795,$17456,$87764,$58608,$81350,$16736,,,,,,,$119916,$107607,$115040,$103088,,,$78614,$28000
2010,6037541300,Census Tract 5413,Compton,Los Angeles County,California,Compton,75927.0,23427.0,99523.0,4128.0,76663.0,20363.0,,,,,,,57736.0,35829.0,59305.0,1108.0,,,91249.0,50395.0,$75927,$23427,$99523,$4128,$76663,$20363,,,,,,,$57736,$35829,$59305,$1108,,,$91249,$50395
2010,6037541603,Census Tract 5416.03,Compton,Los Angeles County,California,Compton,59205.0,16250.0,72853.0,18622.0,28716.0,45719.0,,,,,,,55266.0,61741.0,,,,,67290.0,15315.0,$59205,$16250,$72853,$18622,$28716,$45719,,,,,,,$55266,$61741,,,,,$67290,$15315
2010,6037541604,Census Tract 5416.04,Compton,Los Angeles County,California,Compton,51490.0,8589.0,58177.0,9003.0,27840.0,15088.0,,,,,,,43387.0,31121.0,17324.0,195523.0,,,56664.0,6475.0,$51490,$8589,$58177,$9003,$27840,$15088,,,,,,,$43387,$31121,$17324,$195523,,,$56664,$6475
2010,6037541605,Census Tract 5416.05,Compton,Los Angeles County,California,Compton,56631.0,12783.0,46492.0,20091.0,62896.0,30008.0,,,,,,,60899.0,15564.0,10144.0,77824.0,,,56779.0,12411.0,$56631,$12783,$46492,$20091,$62896,$30008,,,,,,,$60899,$15564,$10144,$77824,,,$56779,$12411
2010,6037541606,Census Tract 5416.06,Compton,Los Angeles County,California,Compton,50819.0,30486.0,84226.0,47724.0,65080.0,102822.0,,,,,,,29418.0,21356.0,,,,,50819.0,25819.0,$50819,$30486,$84226,$47724,$65080,$102822,,,,,,,$29418,$21356,,,,,$50819,$25819
2010,6037541801,Census Tract 5418.01,Compton,Los Angeles County,California,Compton,72503.0,16193.0,86838.0,28485.0,71835.0,46299.0,,,,,,,53205.0,21567.0,,,,,72464.0,22659.0,$72503,$16193,$86838,$28485,$71835,$46299,,,,,,,$53205,$21567,,,,,$72464,$22659
2010,6037541802,Census Tract 5418.02,Compton,Los Angeles County,California,Compton,70765.0,14266.0,70917.0,16815.0,58999.0,33251.0,,,,,,,74586.0,38323.0,,,39671.0,37927.0,74075.0,17117.0,$70765,$14266,$70917,$16815,$58999,$33251,,,,,,,$74586,$38323,,,$39671,$37927,$74075,$17117
2010,6037542000,Census Tract 5420,Compton,Los Angeles County,California,Compton,70364.0,15875.0,71268.0,23498.0,64527.0,31938.0,,,,,,,63489.0,17330.0,39168.0,158642.0,,,64921.0,17742.0,$70364,$15875,$71268,$23498,$64527,$31938,,,,,,,$63489,$17330,$39168,$158642,,,$64921,$17742
