YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037403600,Census Tract 4036,Covina,Los Angeles County,California,Covina,111894.0,18187.0,101553.0,27845.0,81147.0,163324.0,,,91451.0,25865.0,,,133427.0,38197.0,188815.0,117278.0,101031.0,16183.0,128209.0,32279.0,$111894,$18187,$101553,$27845,$81147,$163324,Not available,Not available,$91451,$25865,Not available,Not available,$133427,$38197,$188815,$117278,$101031,$16183,$128209,$32279,1
2013,6037403702,Census Tract 4037.02,Covina,Los Angeles County,California,Covina,120244.0,24968.0,119606.0,24224.0,133176.0,1398.0,,,84572.0,58704.0,,,86036.0,19590.0,156903.0,55040.0,123163.0,42352.0,108876.0,22810.0,$120244,$24968,$119606,$24224,$133176,$1398,Not available,Not available,$84572,$58704,Not available,Not available,$86036,$19590,$156903,$55040,$123163,$42352,$108876,$22810,1
2013,6037403703,Census Tract 4037.03,Covina,Los Angeles County,California,Covina,115806.0,14441.0,112128.0,12295.0,22793.0,35315.0,,,140054.0,81335.0,,,188381.0,49791.0,136939.0,145280.0,113639.0,14146.0,138764.0,76372.0,$115806,$14441,$112128,$12295,$22793,$35315,Not available,Not available,$140054,$81335,Not available,Not available,$188381,$49791,$136939,$145280,$113639,$14146,$138764,$76372,1
2013,6037403721,Census Tract 4037.21,Covina,Los Angeles County,California,Covina,92662.0,8840.0,89615.0,20839.0,105920.0,81683.0,,,128774.0,54385.0,,,83094.0,26367.0,,,95246.0,39780.0,88677.0,14410.0,$92662,$8840,$89615,$20839,$105920,$81683,Not available,Not available,$128774,$54385,Not available,Not available,$83094,$26367,Not available,Not available,$95246,$39780,$88677,$14410,1
2013,6037403722,Census Tract 4037.22,Covina,Los Angeles County,California,Covina,58929.0,7004.0,55834.0,13181.0,30943.0,38646.0,,,73781.0,35027.0,,,59530.0,15668.0,,,60897.0,18888.0,57852.0,7963.0,$58929,$7004,$55834,$13181,$30943,$38646,Not available,Not available,$73781,$35027,Not available,Not available,$59530,$15668,Not available,Not available,$60897,$18888,$57852,$7963,1
2013,6037403801,Census Tract 4038.01,Covina,Los Angeles County,California,Covina,93381.0,11607.0,83714.0,12883.0,149387.0,60641.0,,,124520.0,18063.0,,,91568.0,80750.0,,,82520.0,14075.0,99222.0,24409.0,$93381,$11607,$83714,$12883,$149387,$60641,Not available,Not available,$124520,$18063,Not available,Not available,$91568,$80750,Not available,Not available,$82520,$14075,$99222,$24409,1
2013,6037403802,Census Tract 4038.02,Covina,Los Angeles County,California,Covina,78642.0,11767.0,71885.0,11666.0,44175.0,62110.0,,,103755.0,67778.0,,,86842.0,10608.0,42970.0,41621.0,73350.0,16519.0,78399.0,16652.0,$78642,$11767,$71885,$11666,$44175,$62110,Not available,Not available,$103755,$67778,Not available,Not available,$86842,$10608,$42970,$41621,$73350,$16519,$78399,$16652,1
2013,6037405400,Census Tract 4054,Covina,Los Angeles County,California,Covina,110928.0,10528.0,97525.0,15706.0,,,,,112919.0,128895.0,,,115450.0,10859.0,,,96285.0,13497.0,113167.0,8281.0,$110928,$10528,$97525,$15706,Not available,Not available,Not available,Not available,$112919,$128895,Not available,Not available,$115450,$10859,Not available,Not available,$96285,$13497,$113167,$8281,1
2013,6037405600,Census Tract 4056,Covina,Los Angeles County,California,Covina,110761.0,7743.0,108808.0,13051.0,54192.0,87800.0,,,69337.0,35365.0,,,117126.0,14396.0,114896.0,61113.0,109512.0,12486.0,116240.0,9527.0,$110761,$7743,$108808,$13051,$54192,$87800,Not available,Not available,$69337,$35365,Not available,Not available,$117126,$14396,$114896,$61113,$109512,$12486,$116240,$9527,1
2013,6037405701,Census Tract 4057.01,Covina,Los Angeles County,California,Covina,96113.0,25410.0,97654.0,28253.0,,,,,78526.0,51072.0,,,91859.0,84062.0,,,93797.0,60017.0,100173.0,41297.0,$96113,$25410,$97654,$28253,Not available,Not available,Not available,Not available,$78526,$51072,Not available,Not available,$91859,$84062,Not available,Not available,$93797,$60017,$100173,$41297,1
