YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037533806,Census Tract 5338.06,Cudahy,Los Angeles County,California,Cudahy,43685.0,7641.0,40732.0,8306.0,,,,,,,,,46978.0,20734.0,,,45526.0,40882.0,41908.0,9592.0,$43685,$7641,$40732,$8306,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$46978,$20734,Not available,Not available,$45526,$40882,$41908,$9592
2010,6037534201,Census Tract 5342.01,Cudahy,Los Angeles County,California,Cudahy,43519.0,8871.0,44663.0,17262.0,,,,,,,,,41040.0,15848.0,34831.0,70372.0,,,43647.0,9819.0,$43519,$8871,$44663,$17262,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$41040,$15848,$34831,$70372,Not available,Not available,$43647,$9819
2010,6037534301,Census Tract 5343.01,Cudahy,Los Angeles County,California,Cudahy,53076.0,9868.0,45460.0,13265.0,,,,,,,,,58159.0,11839.0,,,26343.0,12185.0,56831.0,8265.0,$53076,$9868,$45460,$13265,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$58159,$11839,Not available,Not available,$26343,$12185,$56831,$8265
2010,6037534302,Census Tract 5343.02,Cudahy,Los Angeles County,California,Cudahy,57043.0,5793.0,52685.0,9583.0,44686.0,173437.0,,,,,,,59482.0,18642.0,,,,,57596.0,6513.0,$57043,$5793,$52685,$9583,$44686,$173437,Not available,Not available,Not available,Not available,Not available,Not available,$59482,$18642,Not available,Not available,Not available,Not available,$57596,$6513
2010,6037534403,Census Tract 5344.03,Cudahy,Los Angeles County,California,Cudahy,67451.0,8446.0,60349.0,23120.0,,,,,,,,,72051.0,13043.0,,,29855.0,28505.0,68096.0,7681.0,$67451,$8446,$60349,$23120,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$72051,$13043,Not available,Not available,$29855,$28505,$68096,$7681
2010,6037534404,Census Tract 5344.04,Cudahy,Los Angeles County,California,Cudahy,61826.0,9649.0,66316.0,29640.0,,,,,,,,,54557.0,24190.0,73564.0,36700.0,81853.0,26157.0,60835.0,11359.0,$61826,$9649,$66316,$29640,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$54557,$24190,$73564,$36700,$81853,$26157,$60835,$11359
2010,6037534405,Census Tract 5344.05,Cudahy,Los Angeles County,California,Cudahy,56428.0,11869.0,51221.0,14121.0,,,,,267173.0,352730.0,,,56583.0,29424.0,,,32489.0,24053.0,56219.0,12264.0,$56428,$11869,$51221,$14121,Not available,Not available,Not available,Not available,$267173,$352730,Not available,Not available,$56583,$29424,Not available,Not available,$32489,$24053,$56219,$12264
2010,6037534406,Census Tract 5344.06,Cudahy,Los Angeles County,California,Cudahy,63899.0,4670.0,52184.0,13753.0,,,,,,,,,65599.0,9826.0,,,83498.0,88719.0,63443.0,6981.0,$63899,$4670,$52184,$13753,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$65599,$9826,Not available,Not available,$83498,$88719,$63443,$6981
2010,6037534502,Census Tract 5345.02,Cudahy,Los Angeles County,California,Cudahy,66399.0,5367.0,66322.0,5115.0,,,,,,,,,61306.0,20898.0,,,,,66208.0,7526.0,$66399,$5367,$66322,$5115,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$61306,$20898,Not available,Not available,Not available,Not available,$66208,$7526
2010,6037536102,Census Tract 5361.02,Cudahy,Los Angeles County,California,Cudahy,93731.0,11688.0,94316.0,19401.0,,,,,64540.0,147500.0,,,98847.0,14613.0,,,74966.0,21942.0,102287.0,9201.0,$93731,$11688,$94316,$19401,Not available,Not available,Not available,Not available,$64540,$147500,Not available,Not available,$98847,$14613,Not available,Not available,$74966,$21942,$102287,$9201
