YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037602200,Census Tract 6022,Del Aire,Los Angeles County,California,DelAire,74913.0,15459.0,69988.0,21934.0,73559.0,28696.0,,,135570.0,71935.0,,,46772.0,74075.0,119686.0,76104.0,113786.0,40471.0,54544.0,10803.0
2013,6037602301,Census Tract 6023.01,Del Aire,Los Angeles County,California,DelAire,106682.0,15304.0,119192.0,24608.0,103950.0,107083.0,,,58790.0,277160.0,,,73678.0,12734.0,110354.0,54062.0,139220.0,31180.0,74883.0,19368.0
2011,6037602200,Census Tract 6022,Del Aire,Los Angeles County,California,DelAire,90760.0,9092.0,85521.0,23434.0,83765.0,25952.0,,,115276.0,49826.0,,,91222.0,28657.0,,,127302.0,56850.0,86139.0,24511.0
2011,6037602301,Census Tract 6023.01,Del Aire,Los Angeles County,California,DelAire,114162.0,12364.0,123619.0,19711.0,69459.0,75244.0,,,76586.0,164638.0,,,57272.0,66201.0,,,138260.0,23855.0,109300.0,11307.0
2022,6037602201,Census Tract 6022.01,Del Aire,Los Angeles County,California,DelAire,136695.0,25086.0,151575.0,11381.0,,,,,132000.0,46793.0,,,,,108315.0,32774.0,170362.0,35635.0,126065.0,34877.0
2022,6037602301,Census Tract 6023.01,Del Aire,Los Angeles County,California,DelAire,132176.0,23923.0,144347.0,22693.0,123698.0,65765.0,178585.0,101989.0,127987.0,39602.0,,,109042.0,61242.0,,,157137.0,76493.0,91832.0,47044.0
2012,6037602200,Census Tract 6022,Del Aire,Los Angeles County,California,DelAire,88225.0,9829.0,75642.0,20023.0,98132.0,19114.0,,,98489.0,38055.0,,,91939.0,27526.0,99466.0,33042.0,114284.0,46682.0,66379.0,27305.0
2012,6037602301,Census Tract 6023.01,Del Aire,Los Angeles County,California,DelAire,114063.0,18065.0,119935.0,18564.0,42787.0,66780.0,32734.0,236807.0,76128.0,207154.0,,,59319.0,71263.0,,,142148.0,35219.0,100100.0,26114.0
2019,6037602200,Census Tract 6022,Del Aire,Los Angeles County,California,DelAire,95738.0,18100.0,104936.0,39715.0,76271.0,856.0,,,133711.0,47454.0,,,97141.0,55811.0,219824.0,155516.0,115772.0,59759.0,104702.0,26786.0
2019,6037602301,Census Tract 6023.01,Del Aire,Los Angeles County,California,DelAire,119956.0,23380.0,113005.0,41616.0,123766.0,60261.0,,,,,,,122574.0,35328.0,123244.0,104763.0,134847.0,38727.0,108566.0,36894.0
