YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037502801,Census Tract 5028.01,Downey,Los Angeles County,California,Downey,105454.0,14053.0,97237.0,8974.0,,,150045.0,59195.0,116301.0,84385.0,,,163773.0,55703.0,65408.0,35586.0,99037.0,36772.0,105285.0,14413.0,$105454,$14053,$97237,$8974,,,$150045,$59195,$116301,$84385,,,$163773,$55703,$65408,$35586,$99037,$36772,$105285,$14413
2010,6037534203,Census Tract 5342.03,Downey,Los Angeles County,California,Downey,54686.0,7986.0,53862.0,17923.0,,,,,,,,,55646.0,14229.0,,,88581.0,92946.0,54159.0,8893.0,$54686,$7986,$53862,$17923,,,,,,,,,$55646,$14229,,,$88581,$92946,$54159,$8893
2010,6037550300,Census Tract 5503,Downey,Los Angeles County,California,Downey,103565.0,5092.0,103590.0,8215.0,170589.0,87039.0,61205.0,110846.0,106552.0,30494.0,,,96866.0,23646.0,,,105574.0,34566.0,102106.0,5350.0,$103565,$5092,$103590,$8215,$170589,$87039,$61205,$110846,$106552,$30494,,,$96866,$23646,,,$105574,$34566,$102106,$5350
2010,6037550400,Census Tract 5504,Downey,Los Angeles County,California,Downey,142435.0,16992.0,142761.0,43361.0,297229.0,212983.0,,,139764.0,44667.0,,,107317.0,71578.0,,,181019.0,79789.0,99428.0,40124.0,$142435,$16992,$142761,$43361,$297229,$212983,,,$139764,$44667,,,$107317,$71578,,,$181019,$79789,$99428,$40124
2010,6037550500,Census Tract 5505,Downey,Los Angeles County,California,Downey,90711.0,15447.0,86488.0,13415.0,69194.0,66509.0,,,108338.0,19168.0,,,113823.0,47932.0,,,92535.0,27471.0,85998.0,20400.0,$90711,$15447,$86488,$13415,$69194,$66509,,,$108338,$19168,,,$113823,$47932,,,$92535,$27471,$85998,$20400
2010,6037550601,Census Tract 5506.01,Downey,Los Angeles County,California,Downey,83946.0,19930.0,72673.0,34592.0,65984.0,85574.0,,,121617.0,106368.0,,,85376.0,56651.0,,,89485.0,29293.0,60560.0,34319.0,$83946,$19930,$72673,$34592,$65984,$85574,,,$121617,$106368,,,$85376,$56651,,,$89485,$29293,$60560,$34319
2010,6037550602,Census Tract 5506.02,Downey,Los Angeles County,California,Downey,149684.0,18992.0,125740.0,54670.0,,,,,145383.0,59615.0,,,170654.0,35904.0,,,86540.0,70735.0,165759.0,24651.0,$149684,$18992,$125740,$54670,,,,,$145383,$59615,,,$170654,$35904,,,$86540,$70735,$165759,$24651
2010,6037550700,Census Tract 5507,Downey,Los Angeles County,California,Downey,113852.0,13240.0,114940.0,21491.0,,,,,84436.0,42108.0,,,145075.0,165501.0,149620.0,60329.0,138909.0,57902.0,114390.0,24231.0,$113852,$13240,$114940,$21491,,,,,$84436,$42108,,,$145075,$165501,$149620,$60329,$138909,$57902,$114390,$24231
2010,6037550800,Census Tract 5508,Downey,Los Angeles County,California,Downey,94969.0,16517.0,93876.0,15508.0,68695.0,220661.0,,,208497.0,247558.0,,,101959.0,34394.0,50298.0,37976.0,105596.0,26551.0,86031.0,18147.0,$94969,$16517,$93876,$15508,$68695,$220661,,,$208497,$247558,,,$101959,$34394,$50298,$37976,$105596,$26551,$86031,$18147
2010,6037550901,Census Tract 5509.01,Downey,Los Angeles County,California,Downey,74916.0,10790.0,78786.0,9211.0,52425.0,67429.0,,,116285.0,129159.0,,,65080.0,36750.0,64752.0,62795.0,89731.0,26376.0,69177.0,17959.0,$74916,$10790,$78786,$9211,$52425,$67429,,,$116285,$129159,,,$65080,$36750,$64752,$62795,$89731,$26376,$69177,$17959
2010,6037550902,Census Tract 5509.02,Downey,Los Angeles County,California,Downey,73413.0,15652.0,70894.0,13435.0,84086.0,77357.0,27795.0,75714.0,91436.0,53191.0,,,81159.0,23763.0,61088.0,70957.0,80988.0,23756.0,70661.0,14741.0,$73413,$15652,$70894,$13435,$84086,$77357,$27795,$75714,$91436,$53191,,,$81159,$23763,$61088,$70957,$80988,$23756,$70661,$14741
2010,6037551000,Census Tract 5510,Downey,Los Angeles County,California,Downey,121763.0,14430.0,129859.0,16069.0,,,,,121190.0,50456.0,,,94547.0,39395.0,168774.0,95396.0,124204.0,28116.0,121688.0,38948.0,$121763,$14430,$129859,$16069,,,,,$121190,$50456,,,$94547,$39395,$168774,$95396,$124204,$28116,$121688,$38948
2010,6037551101,Census Tract 5511.01,Downey,Los Angeles County,California,Downey,66852.0,8797.0,73333.0,46276.0,97720.0,91022.0,,,124048.0,79182.0,3614.0,,67262.0,22059.0,27117.0,385131.0,72639.0,55999.0,68072.0,16656.0,$66852,$8797,$73333,$46276,$97720,$91022,,,$124048,$79182,$3614,,$67262,$22059,$27117,$385131,$72639,$55999,$68072,$16656
2010,6037551102,Census Tract 5511.02,Downey,Los Angeles County,California,Downey,58466.0,9746.0,51925.0,15232.0,109732.0,71754.0,,,80692.0,158374.0,,,59988.0,13934.0,,,43551.0,13846.0,58731.0,8929.0,$58466,$9746,$51925,$15232,$109732,$71754,,,$80692,$158374,,,$59988,$13934,,,$43551,$13846,$58731,$8929
2010,6037551201,Census Tract 5512.01,Downey,Los Angeles County,California,Downey,90389.0,24819.0,94155.0,20891.0,56644.0,23286.0,101160.0,119705.0,150768.0,126374.0,,,68406.0,28560.0,28924.0,11872.0,93832.0,30938.0,74019.0,25001.0,$90389,$24819,$94155,$20891,$56644,$23286,$101160,$119705,$150768,$126374,,,$68406,$28560,$28924,$11872,$93832,$30938,$74019,$25001
