YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037430002,Census Tract 4300.02,Duarte,Los Angeles County,California,Duarte,80058.0,15715.0,62594.0,14925.0,102682.0,67226.0,,,138596.0,45171.0,,,80994.0,17868.0,102050.0,45692.0,60352.0,13803.0,79690.0,20114.0,$80058,$15715,$62594,$14925,$102682,$67226,,,$138596,$45171,,,$80994,$17868,$102050,$45692,$60352,$13803,$79690,$20114
2010,6037430003,Census Tract 4300.03,Duarte,Los Angeles County,California,Duarte,145751.0,17548.0,125319.0,37143.0,204902.0,6648.0,,,148094.0,61505.0,,,144678.0,128906.0,240434.0,242852.0,125554.0,38464.0,89485.0,117990.0,$145751,$17548,$125319,$37143,$204902,$6648,,,$148094,$61505,,,$144678,$128906,$240434,$242852,$125554,$38464,$89485,$117990
2010,6037430101,Census Tract 4301.01,Duarte,Los Angeles County,California,Duarte,70215.0,19728.0,69229.0,22865.0,68695.0,70236.0,,,28752.0,34653.0,,,96415.0,68671.0,66629.0,86151.0,52425.0,20247.0,93796.0,13859.0,$70215,$19728,$69229,$22865,$68695,$70236,,,$28752,$34653,,,$96415,$68671,$66629,$86151,$52425,$20247,$93796,$13859
2010,6037430102,Census Tract 4301.02,Duarte,Los Angeles County,California,Duarte,83897.0,17608.0,76913.0,15885.0,21528.0,11589.0,,,24767.0,63530.0,,,94510.0,15162.0,,,83836.0,18285.0,90656.0,5843.0,$83897,$17608,$76913,$15885,$21528,$11589,,,$24767,$63530,,,$94510,$15162,,,$83836,$18285,$90656,$5843
2011,6037430002,Census Tract 4300.02,Duarte,Los Angeles County,California,Duarte,91983.0,13174.0,69382.0,18113.0,115882.0,37837.0,,,137719.0,34124.0,,,89347.0,15697.0,102347.0,60555.0,66882.0,27754.0,88088.0,13694.0,$91983,$13174,$69382,$18113,$115882,$37837,,,$137719,$34124,,,$89347,$15697,$102347,$60555,$66882,$27754,$88088,$13694
2011,6037430003,Census Tract 4300.03,Duarte,Los Angeles County,California,Duarte,145154.0,14509.0,133556.0,26442.0,205658.0,6074.0,,,167403.0,29611.0,,,83654.0,120664.0,238550.0,226170.0,135308.0,20300.0,83654.0,87800.0,$145154,$14509,$133556,$26442,$205658,$6074,,,$167403,$29611,,,$83654,$120664,$238550,$226170,$135308,$20300,$83654,$87800
2011,6037430101,Census Tract 4301.01,Duarte,Los Angeles County,California,Duarte,69082.0,16073.0,68607.0,15897.0,74187.0,54760.0,,,30833.0,67426.0,,,89786.0,64841.0,43046.0,12979.0,59064.0,20064.0,94439.0,16493.0,$69082,$16073,$68607,$15897,$74187,$54760,,,$30833,$67426,,,$89786,$64841,$43046,$12979,$59064,$20064,$94439,$16493
2011,6037430102,Census Tract 4301.02,Duarte,Los Angeles County,California,Duarte,87622.0,13480.0,88285.0,14036.0,38833.0,63535.0,,,43603.0,50449.0,,,92960.0,12364.0,,,92684.0,25991.0,89851.0,6537.0,$87622,$13480,$88285,$14036,$38833,$63535,,,$43603,$50449,,,$92960,$12364,,,$92684,$25991,$89851,$6537
2012,6037430002,Census Tract 4300.02,Duarte,Los Angeles County,California,Duarte,80617.0,13285.0,68627.0,25608.0,96633.0,32254.0,,,118405.0,49508.0,,,40433.0,62536.0,103316.0,60699.0,72454.0,19357.0,66957.0,23239.0,$80617,$13285,$68627,$25608,$96633,$32254,,,$118405,$49508,,,$40433,$62536,$103316,$60699,$72454,$19357,$66957,$23239
2012,6037430003,Census Tract 4300.03,Duarte,Los Angeles County,California,Duarte,144223.0,13235.0,136628.0,12269.0,204355.0,63254.0,,,152343.0,27970.0,,,145110.0,93108.0,98671.0,17818.0,135197.0,11199.0,145433.0,22550.0,$144223,$13235,$136628,$12269,$204355,$63254,,,$152343,$27970,,,$145110,$93108,$98671,$17818,$135197,$11199,$145433,$22550
2012,6037430101,Census Tract 4301.01,Duarte,Los Angeles County,California,Duarte,62376.0,10856.0,67611.0,11346.0,24597.0,31500.0,,,58001.0,61573.0,,,64934.0,38984.0,42557.0,36042.0,57890.0,16179.0,78619.0,41610.0,$62376,$10856,$67611,$11346,$24597,$31500,,,$58001,$61573,,,$64934,$38984,$42557,$36042,$57890,$16179,$78619,$41610
2012,6037430102,Census Tract 4301.02,Duarte,Los Angeles County,California,Duarte,83644.0,10038.0,84085.0,9437.0,49250.0,22323.0,,,62901.0,15705.0,,,92052.0,18379.0,,,82941.0,24527.0,89260.0,9023.0,$83644,$10038,$84085,$9437,$49250,$22323,,,$62901,$15705,,,$92052,$18379,,,$82941,$24527,$89260,$9023
2013,6037430002,Census Tract 4300.02,Duarte,Los Angeles County,California,Duarte,78401.0,15114.0,67395.0,15258.0,95375.0,18697.0,,,92804.0,31796.0,,,37786.0,40313.0,103731.0,94860.0,69624.0,16624.0,63753.0,25095.0,$78401,$15114,$67395,$15258,$95375,$18697,,,$92804,$31796,,,$37786,$40313,$103731,$94860,$69624,$16624,$63753,$25095
2013,6037430003,Census Tract 4300.03,Duarte,Los Angeles County,California,Duarte,136576.0,10186.0,130867.0,18895.0,,,,,144136.0,8608.0,,,142684.0,98170.0,,,129001.0,24038.0,143122.0,3078.0,$136576,$10186,$130867,$18895,,,,,$144136,$8608,,,$142684,$98170,,,$129001,$24038,$143122,$3078
2013,6037430101,Census Tract 4301.01,Duarte,Los Angeles County,California,Duarte,58504.0,9913.0,59753.0,8884.0,18489.0,26987.0,,,80764.0,11522.0,,,67053.0,32091.0,26371.0,38452.0,62498.0,10468.0,58136.0,13978.0,$58504,$9913,$59753,$8884,$18489,$26987,,,$80764,$11522,,,$67053,$32091,$26371,$38452,$62498,$10468,$58136,$13978
2013,6037430102,Census Tract 4301.02,Duarte,Los Angeles County,California,Duarte,80576.0,6971.0,80490.0,4185.0,61137.0,118043.0,,,95790.0,75578.0,,,81048.0,36682.0,,,79354.0,11319.0,82267.0,14887.0,$80576,$6971,$80490,$4185,$61137,$118043,,,$95790,$75578,,,$81048,$36682,,,$79354,$11319,$82267,$14887
2014,6037430002,Census Tract 4300.02,Duarte,Los Angeles County,California,Duarte,81534.0,14052.0,68976.0,24989.0,101234.0,35405.0,,,94090.0,52471.0,,,42898.0,29526.0,68323.0,102653.0,63768.0,10433.0,76247.0,45635.0,$81534,$14052,$68976,$24989,$101234,$35405,,,$94090,$52471,,,$42898,$29526,$68323,$102653,$63768,$10433,$76247,$45635
2014,6037430003,Census Tract 4300.03,Duarte,Los Angeles County,California,Duarte,137861.0,8340.0,134081.0,8532.0,153314.0,81321.0,,,142030.0,19008.0,,,144703.0,68455.0,139169.0,35978.0,133017.0,11725.0,143455.0,8655.0,$137861,$8340,$134081,$8532,$153314,$81321,,,$142030,$19008,,,$144703,$68455,$139169,$35978,$133017,$11725,$143455,$8655
2014,6037430101,Census Tract 4301.01,Duarte,Los Angeles County,California,Duarte,57869.0,8850.0,59891.0,7321.0,13141.0,13292.0,,,73602.0,18440.0,,,66324.0,39783.0,42122.0,48780.0,61663.0,8396.0,58578.0,16945.0,$57869,$8850,$59891,$7321,$13141,$13292,,,$73602,$18440,,,$66324,$39783,$42122,$48780,$61663,$8396,$58578,$16945
2014,6037430102,Census Tract 4301.02,Duarte,Los Angeles County,California,Duarte,78781.0,3276.0,77039.0,8340.0,126551.0,145423.0,,,117720.0,64656.0,,,77937.0,13445.0,,,76546.0,14721.0,78360.0,2831.0,$78781,$3276,$77039,$8340,$126551,$145423,,,$117720,$64656,,,$77937,$13445,,,$76546,$14721,$78360,$2831
