YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037530202,Census Tract 5302.02,East Los Angeles,Los Angeles County,California,EastLosAngeles,58862.0,35420.0,55834.0,34660.0,,,,,86419.0,89781.0,,,86670.0,51302.0,,,40834.0,3937.0,78438.0,21800.0,$58862,$35420,$55834,$34660,Not available,Not available,Not available,Not available,$86419,$89781,Not available,Not available,$86670,$51302,Not available,Not available,$40834,$3937,$78438,$21800,1
2013,6037530301,Census Tract 5303.01,East Los Angeles,Los Angeles County,California,EastLosAngeles,74292.0,10093.0,78864.0,18335.0,,,,,,,,,72974.0,63129.0,,,,,74226.0,10377.0,$74292,$10093,$78864,$18335,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$72974,$63129,Not available,Not available,Not available,Not available,$74226,$10377,1
2013,6037530302,Census Tract 5303.02,East Los Angeles,Los Angeles County,California,EastLosAngeles,56953.0,8822.0,55073.0,4888.0,,,,,84777.0,125013.0,,,69827.0,20961.0,17791.0,49045.0,52975.0,11018.0,59438.0,11863.0,$56953,$8822,$55073,$4888,Not available,Not available,Not available,Not available,$84777,$125013,Not available,Not available,$69827,$20961,$17791,$49045,$52975,$11018,$59438,$11863,1
2013,6037530400,Census Tract 5304,East Los Angeles,Los Angeles County,California,EastLosAngeles,30610.0,16078.0,24507.0,7149.0,14845.0,6323.0,,,54938.0,45077.0,,,99557.0,53623.0,,,,,27218.0,8830.0,$30610,$16078,$24507,$7149,$14845,$6323,Not available,Not available,$54938,$45077,Not available,Not available,$99557,$53623,Not available,Not available,Not available,Not available,$27218,$8830,1
2013,6037530500,Census Tract 5305,East Los Angeles,Los Angeles County,California,EastLosAngeles,43729.0,6176.0,44909.0,10200.0,,,,,,,,,42833.0,11675.0,60760.0,28758.0,,,43594.0,6466.0,$43729,$6176,$44909,$10200,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$42833,$11675,$60760,$28758,Not available,Not available,$43594,$6466,1
2013,6037530601,Census Tract 5306.01,East Los Angeles,Los Angeles County,California,EastLosAngeles,62466.0,11791.0,72634.0,12553.0,,,,,39034.0,129822.0,,,43088.0,11121.0,,,,,62466.0,11541.0,$62466,$11791,$72634,$12553,Not available,Not available,Not available,Not available,$39034,$129822,Not available,Not available,$43088,$11121,Not available,Not available,Not available,Not available,$62466,$11541,1
2013,6037530602,Census Tract 5306.02,East Los Angeles,Los Angeles County,California,EastLosAngeles,42697.0,12098.0,47440.0,12176.0,,,,,85941.0,52837.0,,,40585.0,13677.0,,,,,42091.0,9856.0,$42697,$12098,$47440,$12176,Not available,Not available,Not available,Not available,$85941,$52837,Not available,Not available,$40585,$13677,Not available,Not available,Not available,Not available,$42091,$9856,1
2013,6037530700,Census Tract 5307,East Los Angeles,Los Angeles County,California,EastLosAngeles,70899.0,12776.0,84537.0,12760.0,,,,,,,,,59939.0,10356.0,,,,,71042.0,11954.0,$70899,$12776,$84537,$12760,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$59939,$10356,Not available,Not available,Not available,Not available,$71042,$11954,1
2013,6037530801,Census Tract 5308.01,East Los Angeles,Los Angeles County,California,EastLosAngeles,50760.0,9222.0,37650.0,9508.0,,,,,,,,,54608.0,9326.0,66977.0,11703.0,41054.0,82872.0,51103.0,10020.0,$50760,$9222,$37650,$9508,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$54608,$9326,$66977,$11703,$41054,$82872,$51103,$10020,1
2013,6037530802,Census Tract 5308.02,East Los Angeles,Los Angeles County,California,EastLosAngeles,64000.0,10510.0,63246.0,20996.0,,,,,,,,,66583.0,19869.0,,,,,63113.0,13873.0,$64000,$10510,$63246,$20996,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$66583,$19869,Not available,Not available,Not available,Not available,$63113,$13873,1
