YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,94133.0,26271.0,104731.0,24531.0,,,,,112082.0,69505.0,,,46324.0,28893.0,,,118742.0,25397.0,62047.0,19246.0,$94133,$26271,$104731,$24531,,,,,$112082,$69505,,,$46324,$28893,,,$118742,$25397,$62047,$19246
2010,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,102682.0,21919.0,78671.0,35292.0,,,27812.0,126990.0,191190.0,102505.0,,,92707.0,30290.0,199716.0,200693.0,97749.0,35101.0,79007.0,39180.0,$102682,$21919,$78671,$35292,,,$27812,$126990,$191190,$102505,,,$92707,$30290,$199716,$200693,$97749,$35101,$79007,$39180
2011,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,94165.0,28021.0,112796.0,27054.0,,,,,96980.0,44162.0,,,45768.0,45383.0,242463.0,253379.0,125611.0,29609.0,64640.0,15201.0,$94165,$28021,$112796,$27054,,,,,$96980,$44162,,,$45768,$45383,$242463,$253379,$125611,$29609,$64640,$15201
2011,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,108033.0,28648.0,95680.0,30954.0,,,26497.0,68316.0,218988.0,118064.0,,,94345.0,68752.0,174753.0,107226.0,98370.0,20241.0,93315.0,29065.0,$108033,$28648,$95680,$30954,,,$26497,$68316,$218988,$118064,,,$94345,$68752,$174753,$107226,$98370,$20241,$93315,$29065
2012,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,84216.0,15432.0,84657.0,22812.0,,,,,85801.0,35272.0,,,46822.0,65777.0,243959.0,266902.0,113257.0,48429.0,75042.0,14063.0,$84216,$15432,$84657,$22812,,,,,$85801,$35272,,,$46822,$65777,$243959,$266902,$113257,$48429,$75042,$14063
2012,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,108412.0,37953.0,93401.0,18625.0,,,26067.0,56190.0,178122.0,29448.0,,,122761.0,49214.0,172316.0,176391.0,98671.0,50783.0,89014.0,25827.0,$108412,$37953,$93401,$18625,,,$26067,$56190,$178122,$29448,,,$122761,$49214,$172316,$176391,$98671,$50783,$89014,$25827
2013,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,87748.0,14300.0,87134.0,23001.0,,,,,79933.0,51949.0,,,52967.0,123047.0,90861.0,21251.0,87000.0,49712.0,86776.0,43130.0,$87748,$14300,$87134,$23001,,,,,$79933,$51949,,,$52967,$123047,$90861,$21251,$87000,$49712,$86776,$43130
2013,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,99828.0,29672.0,80190.0,24925.0,,,,,188027.0,67613.0,,,120319.0,40048.0,,,103539.0,63490.0,77290.0,45916.0,$99828,$29672,$80190,$24925,,,,,$188027,$67613,,,$120319,$40048,,,$103539,$63490,$77290,$45916
2014,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,85498.0,11990.0,84754.0,10347.0,,,,,104585.0,35417.0,,,50621.0,32503.0,106081.0,20640.0,85284.0,44176.0,80180.0,18210.0,$85498,$11990,$84754,$10347,,,,,$104585,$35417,,,$50621,$32503,$106081,$20640,$85284,$44176,$80180,$18210
2014,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,114489.0,32540.0,89489.0,18153.0,,,,,177772.0,38552.0,,,129217.0,34398.0,,,98599.0,34179.0,89659.0,28899.0,$114489,$32540,$89489,$18153,,,,,$177772,$38552,,,$129217,$34398,,,$98599,$34179,$89659,$28899
2015,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,89330.0,15095.0,84040.0,12426.0,,,,,103515.0,31034.0,,,,,,,81017.0,18416.0,87972.0,39365.0,$89330,$15095,$84040,$12426,,,,,$103515,$31034,,,,,,,$81017,$18416,$87972,$39365
2015,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,109452.0,37900.0,99923.0,39730.0,,,,,121643.0,67853.0,,,126979.0,65563.0,,,109136.0,52982.0,94137.0,33435.0,$109452,$37900,$99923,$39730,,,,,$121643,$67853,,,$126979,$65563,,,$109136,$52982,$94137,$33435
2016,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,105400.0,18155.0,83368.0,9567.0,,,,,123173.0,24841.0,,,,,,,75106.0,23343.0,108480.0,61930.0,$105400,$18155,$83368,$9567,,,,,$123173,$24841,,,,,,,$75106,$23343,$108480,$61930
2016,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,127653.0,30642.0,133741.0,22109.0,,,,,119623.0,53838.0,,,95219.0,93352.0,,,135926.0,15491.0,69808.0,58395.0,$127653,$30642,$133741,$22109,,,,,$119623,$53838,,,$95219,$93352,,,$135926,$15491,$69808,$58395
2017,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,108652.0,16518.0,85626.0,15340.0,232982.0,92664.0,,,121097.0,18043.0,,,,,209931.0,198791.0,74291.0,25103.0,119807.0,57771.0,$108652,$16518,$85626,$15340,$232982,$92664,,,$121097,$18043,,,,,$209931,$198791,$74291,$25103,$119807,$57771
2017,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,120578.0,27724.0,128967.0,28822.0,,,,,121144.0,53866.0,,,50821.0,38545.0,,,135758.0,22935.0,51161.0,46802.0,$120578,$27724,$128967,$28822,,,,,$121144,$53866,,,$50821,$38545,,,$135758,$22935,$51161,$46802
2018,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,119467.0,27541.0,91107.0,23833.0,177933.0,96492.0,,,146339.0,38117.0,,,,,,,96068.0,18893.0,74580.0,17563.0,$119467,$27541,$91107,$23833,$177933,$96492,,,$146339,$38117,,,,,,,$96068,$18893,$74580,$17563
2018,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,107058.0,23521.0,118443.0,30668.0,,,,,101570.0,35426.0,,,49473.0,23366.0,108938.0,84467.0,123783.0,18565.0,62368.0,32400.0,$107058,$23521,$118443,$30668,,,,,$101570,$35426,,,$49473,$23366,$108938,$84467,$123783,$18565,$62368,$32400
