YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037463101,Census Tract 4631.01,East San Gabriel,Los Angeles County,California,EastSanGabriel,85243.0,13891.0,84647.0,22344.0,,,,,77651.0,50466.0,,,51455.0,119535.0,88268.0,20644.0,84517.0,48293.0,84299.0,41899.0,$85243,$13891,$84647,$22344,Not available,Not available,Not available,Not available,$77651,$50466,Not available,Not available,$51455,$119535,$88268,$20644,$84517,$48293,$84299,$41899,1
2013,6037480002,Census Tract 4800.02,East San Gabriel,Los Angeles County,California,EastSanGabriel,158533.0,22552.0,144923.0,41244.0,,,,,179375.0,21229.0,,,110026.0,158039.0,,,137212.0,59841.0,125171.0,78266.0,$158533,$22552,$144923,$41244,Not available,Not available,Not available,Not available,$179375,$21229,Not available,Not available,$110026,$158039,Not available,Not available,$137212,$59841,$125171,$78266,1
2013,6037480011,Census Tract 4800.11,East San Gabriel,Los Angeles County,California,EastSanGabriel,74459.0,12837.0,83179.0,9505.0,86816.0,56243.0,,,89183.0,27289.0,,,37384.0,27271.0,,,82287.0,18144.0,60919.0,16997.0,$74459,$12837,$83179,$9505,$86816,$56243,Not available,Not available,$89183,$27289,Not available,Not available,$37384,$27271,Not available,Not available,$82287,$18144,$60919,$16997,1
2013,6037480012,Census Tract 4800.12,East San Gabriel,Los Angeles County,California,EastSanGabriel,79937.0,20615.0,89294.0,40010.0,,,,,97709.0,29065.0,,,66632.0,26721.0,3283.0,,96309.0,52220.0,67740.0,22343.0,$79937,$20615,$89294,$40010,Not available,Not available,Not available,Not available,$97709,$29065,Not available,Not available,$66632,$26721,$3283,Not available,$96309,$52220,$67740,$22343,1
2013,6037480102,Census Tract 4801.02,East San Gabriel,Los Angeles County,California,EastSanGabriel,118208.0,6612.0,159211.0,34713.0,,,,,118725.0,21176.0,,,82746.0,35654.0,307556.0,91582.0,153767.0,54707.0,97474.0,40898.0,$118208,$6612,$159211,$34713,Not available,Not available,Not available,Not available,$118725,$21176,Not available,Not available,$82746,$35654,$307556,$91582,$153767,$54707,$97474,$40898,1
2011,6037463101,Census Tract 4631.01,East San Gabriel,Los Angeles County,California,EastSanGabriel,91478.0,27221.0,109576.0,26281.0,,,,,94212.0,42901.0,,,44462.0,44087.0,235543.0,246148.0,122026.0,28763.0,62795.0,14767.0,$91478,$27221,$109576,$26281,Not available,Not available,Not available,Not available,$94212,$42901,Not available,Not available,$44462,$44087,$235543,$246148,$122026,$28763,$62795,$14767,1
2011,6037480002,Census Tract 4800.02,East San Gabriel,Los Angeles County,California,EastSanGabriel,172614.0,18793.0,170786.0,26243.0,,,,,179267.0,34280.0,118452.0,71973.0,,,64104.0,497081.0,179267.0,29286.0,111304.0,61334.0,$172614,$18793,$170786,$26243,Not available,Not available,Not available,Not available,$179267,$34280,$118452,$71973,Not available,Not available,$64104,$497081,$179267,$29286,$111304,$61334,1
2011,6037480011,Census Tract 4800.11,East San Gabriel,Los Angeles County,California,EastSanGabriel,71402.0,9468.0,78012.0,15259.0,46737.0,71419.0,,,71566.0,21101.0,,,46721.0,32832.0,,,90559.0,18070.0,47488.0,19754.0,$71402,$9468,$78012,$15259,$46737,$71419,Not available,Not available,$71566,$21101,Not available,Not available,$46721,$32832,Not available,Not available,$90559,$18070,$47488,$19754,1
2011,6037480012,Census Tract 4800.12,East San Gabriel,Los Angeles County,California,EastSanGabriel,77417.0,29282.0,110056.0,19956.0,,,,,67541.0,13958.0,,,129061.0,48775.0,42399.0,34647.0,109922.0,25011.0,123388.0,88521.0,$77417,$29282,$110056,$19956,Not available,Not available,Not available,Not available,$67541,$13958,Not available,Not available,$129061,$48775,$42399,$34647,$109922,$25011,$123388,$88521,1
2011,6037480102,Census Tract 4801.02,East San Gabriel,Los Angeles County,California,EastSanGabriel,107390.0,27188.0,129344.0,26415.0,,,,,103646.0,29553.0,,,56856.0,38112.0,340381.0,,118316.0,45517.0,106709.0,71851.0,$107390,$27188,$129344,$26415,Not available,Not available,Not available,Not available,$103646,$29553,Not available,Not available,$56856,$38112,$340381,Not available,$118316,$45517,$106709,$71851,1
