YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2012,6037503701,Census Tract 5037.01,East Whittier,Los Angeles County,California,EastWhittier,78765.0,14533.0,78680.0,12946.0,,,,,57739.0,63687.0,,,94849.0,52198.0,68783.0,41287.0,82148.0,11879.0,72287.0,26296.0,$78765,$14533,$78680,$12946,,,,,$57739,$63687,,,$94849,$52198,$68783,$41287,$82148,$11879,$72287,$26296
2012,6037503702,Census Tract 5037.02,East Whittier,Los Angeles County,California,EastWhittier,118576.0,22325.0,131705.0,22808.0,,,,,139221.0,24895.0,,,61123.0,25968.0,155442.0,80013.0,132623.0,20157.0,91389.0,32176.0,$118576,$22325,$131705,$22808,,,,,$139221,$24895,,,$61123,$25968,$155442,$80013,$132623,$20157,$91389,$32176
2013,6037503701,Census Tract 5037.01,East Whittier,Los Angeles County,California,EastWhittier,86508.0,14962.0,86144.0,16374.0,,,,,92584.0,78545.0,,,138741.0,115962.0,65250.0,72622.0,90031.0,16413.0,84908.0,23259.0,$86508,$14962,$86144,$16374,,,,,$92584,$78545,,,$138741,$115962,$65250,$72622,$90031,$16413,$84908,$23259
2013,6037503702,Census Tract 5037.02,East Whittier,Los Angeles County,California,EastWhittier,109032.0,22592.0,118971.0,18094.0,,,,,81140.0,169855.0,,,64236.0,29965.0,,,122307.0,28958.0,92692.0,30021.0,$109032,$22592,$118971,$18094,,,,,$81140,$169855,,,$64236,$29965,,,$122307,$28958,$92692,$30021
2014,6037503701,Census Tract 5037.01,East Whittier,Los Angeles County,California,EastWhittier,88357.0,9858.0,88656.0,10623.0,,,,,56466.0,85320.0,,,95557.0,91772.0,71752.0,147701.0,88577.0,18648.0,90567.0,13765.0,$88357,$9858,$88656,$10623,,,,,$56466,$85320,,,$95557,$91772,$71752,$147701,$88577,$18648,$90567,$13765
2014,6037503702,Census Tract 5037.02,East Whittier,Los Angeles County,California,EastWhittier,87939.0,19406.0,99507.0,19492.0,,,,,53736.0,47564.0,,,59521.0,25139.0,,,116390.0,28480.0,70844.0,21373.0,$87939,$19406,$99507,$19492,,,,,$53736,$47564,,,$59521,$25139,,,$116390,$28480,$70844,$21373
2015,6037503701,Census Tract 5037.01,East Whittier,Los Angeles County,California,EastWhittier,91444.0,6744.0,90066.0,7710.0,,,,,88341.0,57232.0,,,132617.0,59680.0,,,93635.0,10696.0,91171.0,12628.0,$91444,$6744,$90066,$7710,,,,,$88341,$57232,,,$132617,$59680,,,$93635,$10696,$91171,$12628
2015,6037503702,Census Tract 5037.02,East Whittier,Los Angeles County,California,EastWhittier,92569.0,16054.0,98627.0,15993.0,,,,,,,,,93581.0,49290.0,91292.0,32309.0,110854.0,30181.0,76851.0,26288.0,$92569,$16054,$98627,$15993,,,,,,,,,$93581,$49290,$91292,$32309,$110854,$30181,$76851,$26288
2016,6037503701,Census Tract 5037.01,East Whittier,Los Angeles County,California,EastWhittier,91219.0,8065.0,91977.0,8914.0,,,,,87579.0,60092.0,,,128534.0,71739.0,,,93951.0,12624.0,90350.0,11518.0,$91219,$8065,$91977,$8914,,,,,$87579,$60092,,,$128534,$71739,,,$93951,$12624,$90350,$11518
2016,6037503702,Census Tract 5037.02,East Whittier,Los Angeles County,California,EastWhittier,91848.0,13102.0,96612.0,12231.0,,,,,52642.0,46078.0,,,93140.0,27553.0,92858.0,27871.0,107169.0,37156.0,77018.0,18770.0,$91848,$13102,$96612,$12231,,,,,$52642,$46078,,,$93140,$27553,$92858,$27871,$107169,$37156,$77018,$18770
