YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037404701,Census Tract 4047.01,El Monte,Los Angeles County,California,ElMonte,66279.0,8923.0,65564.0,19443.0,,,,,97093.0,22496.0,,,61308.0,10541.0,,,79776.0,96744.0,64045.0,6119.0
2013,6037431501,Census Tract 4315.01,El Monte,Los Angeles County,California,ElMonte,59765.0,18750.0,59983.0,22377.0,,,,,61377.0,21598.0,,,46477.0,20044.0,43891.0,122966.0,61144.0,28406.0,44339.0,15256.0
2013,6037431502,Census Tract 4315.02,El Monte,Los Angeles County,California,ElMonte,84529.0,19887.0,78459.0,44188.0,,,,,87114.0,22412.0,,,83492.0,66789.0,29345.0,96519.0,93604.0,50395.0,68561.0,30290.0
2013,6037432101,Census Tract 4321.01,El Monte,Los Angeles County,California,ElMonte,98492.0,16610.0,122240.0,39450.0,,,,,102636.0,22204.0,,,81796.0,35813.0,,,102284.0,45011.0,99128.0,33337.0
2013,6037432102,Census Tract 4321.02,El Monte,Los Angeles County,California,ElMonte,91899.0,8311.0,83047.0,24851.0,,,,,96142.0,22021.0,,,45906.0,88847.0,,,91962.0,21394.0,44115.0,23329.0
2013,6037432300,Census Tract 4323,El Monte,Los Angeles County,California,ElMonte,78824.0,11631.0,60760.0,10966.0,,,,,75696.0,12712.0,,,136450.0,53610.0,,,68593.0,77088.0,84651.0,26224.0
2013,6037432401,Census Tract 4324.01,El Monte,Los Angeles County,California,ElMonte,52213.0,8998.0,43373.0,21622.0,,,,,56353.0,7677.0,,,50907.0,31046.0,,,86830.0,54367.0,44971.0,12370.0
2013,6037432402,Census Tract 4324.02,El Monte,Los Angeles County,California,ElMonte,45273.0,5978.0,49730.0,5025.0,,,,,41395.0,11181.0,,,40676.0,4506.0,56580.0,39671.0,51355.0,29980.0,45693.0,6193.0
2013,6037432500,Census Tract 4325,El Monte,Los Angeles County,California,ElMonte,69012.0,16723.0,57044.0,11460.0,,,,,67212.0,38821.0,,,107184.0,6009.0,,,65550.0,30104.0,65578.0,19802.0
2013,6037432601,Census Tract 4326.01,El Monte,Los Angeles County,California,ElMonte,59642.0,9467.0,46617.0,13739.0,,,,,82730.0,31707.0,,,60943.0,32315.0,24868.0,124388.0,71435.0,17561.0,42423.0,11155.0
2013,6037432602,Census Tract 4326.02,El Monte,Los Angeles County,California,ElMonte,76983.0,11874.0,59798.0,17712.0,,,,,86050.0,20174.0,,,82960.0,35093.0,,,37770.0,36879.0,75983.0,23875.0
2013,6037432700,Census Tract 4327,El Monte,Los Angeles County,California,ElMonte,52928.0,15953.0,47465.0,4683.0,,,,,64775.0,37861.0,,,83005.0,31192.0,,,51654.0,42482.0,51048.0,14488.0
2013,6037432801,Census Tract 4328.01,El Monte,Los Angeles County,California,ElMonte,37830.0,10002.0,56851.0,10421.0,,,,,24413.0,1205.0,,,96536.0,36783.0,,,,,63840.0,8380.0
2013,6037432802,Census Tract 4328.02,El Monte,Los Angeles County,California,ElMonte,40045.0,3437.0,37193.0,5868.0,,,,,40018.0,32340.0,,,42212.0,39357.0,,,54698.0,32167.0,39550.0,5472.0
2013,6037432902,Census Tract 4329.02,El Monte,Los Angeles County,California,ElMonte,87759.0,15584.0,70176.0,18296.0,,,,,95396.0,20560.0,,,62118.0,62816.0,,,64866.0,33062.0,70614.0,30681.0
2013,6037433101,Census Tract 4331.01,El Monte,Los Angeles County,California,ElMonte,76217.0,12521.0,44750.0,56981.0,,,,,95903.0,52410.0,,,92783.0,19941.0,,,41383.0,68952.0,75677.0,46946.0
2013,6037433102,Census Tract 4331.02,El Monte,Los Angeles County,California,ElMonte,44588.0,4305.0,45028.0,7346.0,,,,,50310.0,14781.0,,,30145.0,10034.0,,,,,43427.0,5716.0
2013,6037433200,Census Tract 4332,El Monte,Los Angeles County,California,ElMonte,49305.0,5574.0,47930.0,10469.0,,,,,47075.0,18040.0,,,57559.0,18122.0,,,74778.0,24118.0,49500.0,5707.0
2013,6037433302,Census Tract 4333.02,El Monte,Los Angeles County,California,ElMonte,44134.0,6722.0,32058.0,8730.0,,,,,91757.0,31942.0,,,44492.0,22754.0,,,87692.0,39865.0,34212.0,13430.0
2013,6037433304,Census Tract 4333.04,El Monte,Los Angeles County,California,ElMonte,42033.0,9702.0,40769.0,19248.0,,,,,39412.0,44503.0,,,68033.0,52614.0,,,4683.0,16046.0,43631.0,16553.0
2013,6037433305,Census Tract 4333.05,El Monte,Los Angeles County,California,ElMonte,43809.0,11962.0,34378.0,11299.0,,,,,78047.0,48678.0,,,35057.0,18817.0,,,,,35267.0,7683.0
2013,6037433306,Census Tract 4333.06,El Monte,Los Angeles County,California,ElMonte,54719.0,12461.0,48686.0,14318.0,,,,,55582.0,38797.0,,,79338.0,4168.0,,,,,55734.0,16058.0
2013,6037433307,Census Tract 4333.07,El Monte,Los Angeles County,California,ElMonte,68839.0,13179.0,61279.0,22679.0,,,,,97436.0,54349.0,,,39341.0,65122.0,,,75255.0,24961.0,48092.0,29402.0
2013,6037433401,Census Tract 4334.01,El Monte,Los Angeles County,California,ElMonte,58570.0,16828.0,70614.0,17494.0,,,,,54411.0,4844.0,,,64983.0,47334.0,85804.0,88071.0,75677.0,28059.0,71270.0,20756.0
2013,6037433402,Census Tract 4334.02,El Monte,Los Angeles County,California,ElMonte,41875.0,5323.0,37770.0,14941.0,,,,,69136.0,38792.0,,,40961.0,13257.0,,,58570.0,100091.0,35417.0,11253.0
2013,6037433403,Census Tract 4334.03,El Monte,Los Angeles County,California,ElMonte,37736.0,6500.0,40398.0,17029.0,,,,,32531.0,43531.0,,,31959.0,18144.0,,,51400.0,157146.0,37489.0,7094.0
