YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037620001,Census Tract 6200.01,El Segundo,Los Angeles County,California,ElSegundo,140534.0,22327.0,152498.0,21163.0,78267.0,171512.0,,,167370.0,122608.0,117867.0,102608.0,73064.0,30212.0,64678.0,176181.0,149745.0,21703.0,74972.0,103486.0,$140534,$22327,$152498,$21163,$78267,$171512,,,$167370,$122608,$117867,$102608,$73064,$30212,$64678,$176181,$149745,$21703,$74972,$103486
2010,6037620002,Census Tract 6200.02,El Segundo,Los Angeles County,California,ElSegundo,100807.0,18979.0,100719.0,31522.0,,,43990.0,52243.0,100172.0,103496.0,,,56116.0,150819.0,147821.0,281206.0,98395.0,37281.0,97218.0,122706.0,$100807,$18979,$100719,$31522,,,$43990,$52243,$100172,$103496,,,$56116,$150819,$147821,$281206,$98395,$37281,$97218,$122706
2010,6037620101,Census Tract 6201.01,El Segundo,Los Angeles County,California,ElSegundo,145423.0,7637.0,145935.0,6893.0,,,,,197771.0,104586.0,,,,,134626.0,10828.0,146839.0,10537.0,137907.0,90977.0,$145423,$7637,$145935,$6893,,,,,$197771,$104586,,,,,$134626,$10828,$146839,$10537,$137907,$90977
2010,6037620102,Census Tract 6201.02,El Segundo,Los Angeles County,California,ElSegundo,121699.0,17038.0,125395.0,18765.0,,,,,138596.0,76022.0,,,,,94607.0,6236.0,123915.0,22980.0,105574.0,44640.0,$121699,$17038,$125395,$18765,,,,,$138596,$76022,,,,,$94607,$6236,$123915,$22980,$105574,$44640
2010,6037980013,Census Tract 9800.13,El Segundo,Los Angeles County,California,ElSegundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6037980030,Census Tract 9800.30,El Segundo,Los Angeles County,California,ElSegundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6037990200,Census Tract 9902,El Segundo,Los Angeles County,California,ElSegundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6037620001,Census Tract 6200.01,El Segundo,Los Angeles County,California,ElSegundo,137597.0,19881.0,148491.0,20618.0,74359.0,7603.0,,,107742.0,108986.0,105114.0,35687.0,71733.0,14169.0,144599.0,119421.0,148841.0,21536.0,127104.0,74048.0,$137597,$19881,$148491,$20618,$74359,$7603,,,$107742,$108986,$105114,$35687,$71733,$14169,$144599,$119421,$148841,$21536,$127104,$74048
2011,6037620002,Census Tract 6200.02,El Segundo,Los Angeles County,California,ElSegundo,99670.0,15788.0,103362.0,25269.0,,,,,87095.0,113229.0,,,54825.0,245616.0,66072.0,425280.0,103712.0,21703.0,65572.0,73978.0,$99670,$15788,$103362,$25269,,,,,$87095,$113229,,,$54825,$245616,$66072,$425280,$103712,$21703,$65572,$73978
2011,6037620101,Census Tract 6201.01,El Segundo,Los Angeles County,California,ElSegundo,130808.0,21077.0,127285.0,27543.0,55624.0,69762.0,,,194461.0,67630.0,,,224594.0,470099.0,134678.0,4740.0,143087.0,22039.0,112372.0,43875.0,$130808,$21077,$127285,$27543,$55624,$69762,,,$194461,$67630,,,$224594,$470099,$134678,$4740,$143087,$22039,$112372,$43875
2011,6037620102,Census Tract 6201.02,El Segundo,Los Angeles County,California,ElSegundo,121491.0,14026.0,126888.0,16905.0,,,,,59064.0,127671.0,,,,,94112.0,43391.0,124969.0,20595.0,127802.0,47558.0,$121491,$14026,$126888,$16905,,,,,$59064,$127671,,,,,$94112,$43391,$124969,$20595,$127802,$47558
2011,6037980013,Census Tract 9800.13,El Segundo,Los Angeles County,California,ElSegundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6037980030,Census Tract 9800.30,El Segundo,Los Angeles County,California,ElSegundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6037990200,Census Tract 9902,El Segundo,Los Angeles County,California,ElSegundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,6037620001,Census Tract 6200.01,El Segundo,Los Angeles County,California,ElSegundo,129253.0,20353.0,143430.0,19127.0,76534.0,6331.0,,,105706.0,139075.0,104677.0,40680.0,73990.0,13491.0,144513.0,184112.0,145677.0,17035.0,85555.0,102169.0,$129253,$20353,$143430,$19127,$76534,$6331,,,$105706,$139075,$104677,$40680,$73990,$13491,$144513,$184112,$145677,$17035,$85555,$102169
2012,6037620002,Census Tract 6200.02,El Segundo,Los Angeles County,California,ElSegundo,98385.0,11497.0,98134.0,20194.0,,,,,100653.0,51760.0,,,57589.0,335593.0,298729.0,493242.0,97420.0,14231.0,92236.0,104916.0,$98385,$11497,$98134,$20194,,,,,$100653,$51760,,,$57589,$335593,$298729,$493242,$97420,$14231,$92236,$104916
2012,6037620101,Census Tract 6201.01,El Segundo,Los Angeles County,California,ElSegundo,128954.0,18743.0,125371.0,24484.0,54269.0,54155.0,,,197056.0,97006.0,,,226899.0,430001.0,133635.0,6769.0,141123.0,28101.0,115446.0,33067.0,$128954,$18743,$125371,$24484,$54269,$54155,,,$197056,$97006,,,$226899,$430001,$133635,$6769,$141123,$28101,$115446,$33067
2012,6037620102,Census Tract 6201.02,El Segundo,Los Angeles County,California,ElSegundo,117606.0,18467.0,127557.0,28892.0,,,,,55770.0,56243.0,84783.0,12103.0,,,95160.0,25346.0,117577.0,21586.0,190335.0,86718.0,$117606,$18467,$127557,$28892,,,,,$55770,$56243,$84783,$12103,,,$95160,$25346,$117577,$21586,$190335,$86718
