YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037532700,Census Tract 5327,Florence-Graham,Los Angeles County,California,Florence-Graham,53076.0,12143.0,46831.0,20987.0,,,,,,,,,68710.0,59456.0,,,,,54943.0,17798.0,$53076,$12143,$46831,$20987,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$68710,$59456,Not available,Not available,Not available,Not available,$54943,$17798
2010,6037532800,Census Tract 5328,Florence-Graham,Los Angeles County,California,Florence-Graham,34990.0,7983.0,34302.0,8576.0,28270.0,17189.0,,,,,,,56393.0,16420.0,,,,,38529.0,17600.0,$34990,$7983,$34302,$8576,$28270,$17189,Not available,Not available,Not available,Not available,Not available,Not available,$56393,$16420,Not available,Not available,Not available,Not available,$38529,$17600
2010,6037532900,Census Tract 5329,Florence-Graham,Los Angeles County,California,Florence-Graham,40337.0,6537.0,44490.0,11740.0,25991.0,19773.0,,,,,,,39015.0,8944.0,,,74734.0,65210.0,41541.0,6928.0,$40337,$6537,$44490,$11740,$25991,$19773,Not available,Not available,Not available,Not available,Not available,Not available,$39015,$8944,Not available,Not available,$74734,$65210,$41541,$6928
2010,6037533001,Census Tract 5330.01,Florence-Graham,Los Angeles County,California,Florence-Graham,42754.0,19838.0,36030.0,15134.0,57725.0,14513.0,,,,,,,52633.0,89707.0,,,,,38471.0,24003.0,$42754,$19838,$36030,$15134,$57725,$14513,Not available,Not available,Not available,Not available,Not available,Not available,$52633,$89707,Not available,Not available,Not available,Not available,$38471,$24003
2010,6037533002,Census Tract 5330.02,Florence-Graham,Los Angeles County,California,Florence-Graham,56699.0,12403.0,72107.0,31459.0,,,,,,,,,43585.0,22074.0,,,,,56028.0,13132.0,$56699,$12403,$72107,$31459,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$43585,$22074,Not available,Not available,Not available,Not available,$56028,$13132
2010,6037534900,Census Tract 5349,Florence-Graham,Los Angeles County,California,Florence-Graham,60508.0,9246.0,60640.0,13683.0,,,,,,,,,69018.0,33261.0,,,67086.0,54012.0,61586.0,8756.0,$60508,$9246,$60640,$13683,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$69018,$33261,Not available,Not available,$67086,$54012,$61586,$8756
2010,6037535001,Census Tract 5350.01,Florence-Graham,Los Angeles County,California,Florence-Graham,43146.0,9423.0,42216.0,30326.0,43141.0,14769.0,,,,,,,41700.0,3886.0,71125.0,27925.0,13645.0,61049.0,43571.0,21955.0,$43146,$9423,$42216,$30326,$43141,$14769,Not available,Not available,Not available,Not available,Not available,Not available,$41700,$3886,$71125,$27925,$13645,$61049,$43571,$21955
2010,6037535002,Census Tract 5350.02,Florence-Graham,Los Angeles County,California,Florence-Graham,59710.0,12626.0,60713.0,8971.0,66483.0,667036.0,,,,,,,33443.0,30857.0,,,,,57719.0,15428.0,$59710,$12626,$60713,$8971,$66483,$667036,Not available,Not available,Not available,Not available,Not available,Not available,$33443,$30857,Not available,Not available,Not available,Not available,$57719,$15428
2010,6037535101,Census Tract 5351.01,Florence-Graham,Los Angeles County,California,Florence-Graham,49483.0,9066.0,51136.0,11841.0,46636.0,52761.0,,,,,,,34313.0,15043.0,117137.0,90874.0,,,49100.0,7540.0,$49483,$9066,$51136,$11841,$46636,$52761,Not available,Not available,Not available,Not available,Not available,Not available,$34313,$15043,$117137,$90874,Not available,Not available,$49100,$7540
2010,6037535102,Census Tract 5351.02,Florence-Graham,Los Angeles County,California,Florence-Graham,48470.0,18280.0,50769.0,25498.0,60925.0,46086.0,,,,,,,47709.0,18320.0,42734.0,23717.0,,,48178.0,15866.0,$48470,$18280,$50769,$25498,$60925,$46086,Not available,Not available,Not available,Not available,Not available,Not available,$47709,$18320,$42734,$23717,Not available,Not available,$48178,$15866
2010,6037535200,Census Tract 5352,Florence-Graham,Los Angeles County,California,Florence-Graham,68990.0,9288.0,47879.0,25439.0,91719.0,45118.0,,,,,,,92896.0,32777.0,,,,,67645.0,11807.0,$68990,$9288,$47879,$25439,$91719,$45118,Not available,Not available,Not available,Not available,Not available,Not available,$92896,$32777,Not available,Not available,Not available,Not available,$67645,$11807
2010,6037535300,Census Tract 5353,Florence-Graham,Los Angeles County,California,Florence-Graham,53594.0,7973.0,57552.0,11837.0,49173.0,32968.0,,,,,,,51478.0,13423.0,,,73759.0,47323.0,53472.0,8143.0,$53594,$7973,$57552,$11837,$49173,$32968,Not available,Not available,Not available,Not available,Not available,Not available,$51478,$13423,Not available,Not available,$73759,$47323,$53472,$8143
2010,6037535400,Census Tract 5354,Florence-Graham,Los Angeles County,California,Florence-Graham,56802.0,24058.0,59183.0,34089.0,26928.0,15189.0,,,,,,,78247.0,29424.0,,,,,66383.0,23932.0,$56802,$24058,$59183,$34089,$26928,$15189,Not available,Not available,Not available,Not available,Not available,Not available,$78247,$29424,Not available,Not available,Not available,Not available,$66383,$23932
