YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037291300,Census Tract 2913,Gardena,Los Angeles County,California,Gardena,77768.0,3403.0,78754.0,24425.0,46380.0,51671.0,,,82824.0,33332.0,,,63531.0,15746.0,297198.0,374003.0,91421.0,52391.0,55318.0,30256.0,$77768,$3403,$78754,$24425,$46380,$51671,,,$82824,$33332,,,$63531,$15746,$297198,$374003,$91421,$52391,$55318,$30256
2010,6037602600,Census Tract 6026,Gardena,Los Angeles County,California,Gardena,87407.0,16065.0,64230.0,32547.0,90240.0,12897.0,,,57724.0,112711.0,,,69546.0,47786.0,,,53717.0,53121.0,63307.0,12809.0,$87407,$16065,$64230,$32547,$90240,$12897,,,$57724,$112711,,,$69546,$47786,,,$53717,$53121,$63307,$12809
2010,6037602900,Census Tract 6029,Gardena,Los Angeles County,California,Gardena,44678.0,22016.0,51439.0,33785.0,60093.0,58916.0,,,93703.0,55619.0,,,39976.0,13417.0,63423.0,5679.0,36156.0,15457.0,42335.0,14744.0,$44678,$22016,$51439,$33785,$60093,$58916,,,$93703,$55619,,,$39976,$13417,$63423,$5679,$36156,$15457,$42335,$14744
2010,6037603001,Census Tract 6030.01,Gardena,Los Angeles County,California,Gardena,50825.0,10111.0,42031.0,18676.0,56041.0,25077.0,,,96626.0,23358.0,,,42154.0,7207.0,87464.0,96483.0,45980.0,55610.0,40429.0,8949.0,$50825,$10111,$42031,$18676,$56041,$25077,,,$96626,$23358,,,$42154,$7207,$87464,$96483,$45980,$55610,$40429,$8949
2010,6037603004,Census Tract 6030.04,Gardena,Los Angeles County,California,Gardena,70036.0,12608.0,55396.0,34591.0,55740.0,44072.0,,,71759.0,19026.0,,,52177.0,48616.0,,,57461.0,30682.0,43025.0,30770.0,$70036,$12608,$55396,$34591,$55740,$44072,,,$71759,$19026,,,$52177,$48616,,,$57461,$30682,$43025,$30770
2010,6037603005,Census Tract 6030.05,Gardena,Los Angeles County,California,Gardena,44405.0,4032.0,71199.0,24338.0,41128.0,5298.0,,,53796.0,23912.0,,,35991.0,8339.0,21128.0,71180.0,94117.0,133793.0,42814.0,24250.0,$44405,$4032,$71199,$24338,$41128,$5298,,,$53796,$23912,,,$35991,$8339,$21128,$71180,$94117,$133793,$42814,$24250
2010,6037603006,Census Tract 6030.06,Gardena,Los Angeles County,California,Gardena,52359.0,23693.0,40757.0,14652.0,112535.0,176686.0,,,62931.0,22448.0,,,66113.0,38031.0,,,35623.0,20412.0,43293.0,36030.0,$52359,$23693,$40757,$14652,$112535,$176686,,,$62931,$22448,,,$66113,$38031,,,$35623,$20412,$43293,$36030
2010,6037603101,Census Tract 6031.01,Gardena,Los Angeles County,California,Gardena,73889.0,9590.0,74119.0,35745.0,111910.0,17381.0,,,57849.0,17342.0,,,40775.0,52115.0,,,51974.0,38772.0,56041.0,52347.0,$73889,$9590,$74119,$35745,$111910,$17381,,,$57849,$17342,,,$40775,$52115,,,$51974,$38772,$56041,$52347
2010,6037603102,Census Tract 6031.02,Gardena,Los Angeles County,California,Gardena,62043.0,12526.0,65813.0,19340.0,53157.0,83580.0,,,63804.0,28476.0,,,38710.0,33386.0,82796.0,134824.0,94087.0,23563.0,53717.0,25430.0,$62043,$12526,$65813,$19340,$53157,$83580,,,$63804,$28476,,,$38710,$33386,$82796,$134824,$94087,$23563,$53717,$25430
2010,6037603200,Census Tract 6032,Gardena,Los Angeles County,California,Gardena,89815.0,7078.0,73416.0,21005.0,173095.0,229878.0,,,91745.0,10022.0,,,99428.0,31937.0,206744.0,301686.0,95812.0,36610.0,66888.0,27640.0,$89815,$7078,$73416,$21005,$173095,$229878,,,$91745,$10022,,,$99428,$31937,$206744,$301686,$95812,$36610,$66888,$27640
2010,6037603301,Census Tract 6033.01,Gardena,Los Angeles County,California,Gardena,65569.0,7594.0,60260.0,20762.0,72542.0,136604.0,,,64987.0,11497.0,,,68896.0,91925.0,77131.0,50074.0,55763.0,23290.0,67663.0,49960.0,$65569,$7594,$60260,$20762,$72542,$136604,,,$64987,$11497,,,$68896,$91925,$77131,$50074,$55763,$23290,$67663,$49960
2010,6037603302,Census Tract 6033.02,Gardena,Los Angeles County,California,Gardena,55983.0,14387.0,49843.0,24016.0,84137.0,32695.0,47605.0,20533.0,66830.0,22192.0,,,48652.0,20681.0,45194.0,151191.0,73626.0,69721.0,48298.0,6708.0,$55983,$14387,$49843,$24016,$84137,$32695,$47605,$20533,$66830,$22192,,,$48652,$20681,$45194,$151191,$73626,$69721,$48298,$6708
2010,6037603400,Census Tract 6034,Gardena,Los Angeles County,California,Gardena,82403.0,11328.0,76420.0,16345.0,64821.0,32695.0,,,76830.0,30932.0,,,89998.0,33202.0,137933.0,35263.0,90931.0,33805.0,82135.0,18157.0,$82403,$11328,$76420,$16345,$64821,$32695,,,$76830,$30932,,,$89998,$33202,$137933,$35263,$90931,$33805,$82135,$18157
2010,6037603500,Census Tract 6035,Gardena,Los Angeles County,California,Gardena,91326.0,4324.0,82555.0,25715.0,141219.0,59213.0,,,89199.0,18086.0,,,88681.0,8449.0,97169.0,114052.0,82555.0,30006.0,88206.0,9684.0,$91326,$4324,$82555,$25715,$141219,$59213,,,$89199,$18086,,,$88681,$8449,$97169,$114052,$82555,$30006,$88206,$9684
2010,6037603600,Census Tract 6036,Gardena,Los Angeles County,California,Gardena,108134.0,9522.0,100977.0,18869.0,144803.0,131310.0,,,144622.0,53303.0,,,73886.0,21116.0,184594.0,212421.0,103043.0,18906.0,79862.0,39797.0,$108134,$9522,$100977,$18869,$144803,$131310,,,$144622,$53303,,,$73886,$21116,$184594,$212421,$103043,$18906,$79862,$39797
2010,6037650001,Census Tract 6500.01,Gardena,Los Angeles County,California,Gardena,110900.0,11022.0,122326.0,15814.0,292925.0,559103.0,,,108919.0,20917.0,,,105213.0,175661.0,92531.0,77542.0,138186.0,43965.0,91552.0,34313.0,$110900,$11022,$122326,$15814,$292925,$559103,,,$108919,$20917,,,$105213,$175661,$92531,$77542,$138186,$43965,$91552,$34313
2011,6037291300,Census Tract 2913,Gardena,Los Angeles County,California,Gardena,79262.0,5057.0,91274.0,25994.0,47405.0,12855.0,,,80220.0,24485.0,,,65267.0,15047.0,175891.0,86048.0,98440.0,53531.0,64560.0,13421.0,$79262,$5057,$91274,$25994,$47405,$12855,,,$80220,$24485,,,$65267,$15047,$175891,$86048,$98440,$53531,$64560,$13421
2011,6037602600,Census Tract 6026,Gardena,Los Angeles County,California,Gardena,80782.0,13917.0,89697.0,44484.0,84708.0,11720.0,,,102538.0,89568.0,,,48830.0,44765.0,31409.0,271857.0,68459.0,137807.0,48892.0,43587.0,$80782,$13917,$89697,$44484,$84708,$11720,,,$102538,$89568,,,$48830,$44765,$31409,$271857,$68459,$137807,$48892,$43587
