YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037181000,Census Tract 1810,Glendale,Los Angeles County,California,Glendale,98809.0,9639.0,123485.0,44363.0,,,161742.0,427711.0,101461.0,17216.0,,,79347.0,21016.0,42985.0,22453.0,141479.0,18405.0,77490.0,15133.0,$98809,$9639,$123485,$44363,,,$161742,$427711,$101461,$17216,,,$79347,$21016,$42985,$22453,$141479,$18405,$77490,$15133
2010,6037188100,Census Tract 1881,Glendale,Los Angeles County,California,Glendale,66178.0,10621.0,59081.0,18325.0,3614.0,,,,93909.0,60740.0,,,82996.0,19170.0,151944.0,139865.0,63222.0,7099.0,62203.0,21048.0,$66178,$10621,$59081,$18325,$3614,,,,$93909,$60740,,,$82996,$19170,$151944,$139865,$63222,$7099,$62203,$21048
2010,6037300301,Census Tract 3003.01,Glendale,Los Angeles County,California,Glendale,153035.0,22387.0,153535.0,16869.0,,,,,140619.0,83675.0,,,,,,,152748.0,21773.0,162266.0,68693.0,$153035,$22387,$153535,$16869,,,,,$140619,$83675,,,,,,,$152748,$21773,$162266,$68693
2010,6037300400,Census Tract 3004,Glendale,Los Angeles County,California,Glendale,126810.0,13391.0,118832.0,14198.0,,,,,155998.0,35837.0,,,124285.0,111181.0,147033.0,151327.0,116120.0,13110.0,159830.0,54475.0,$126810,$13391,$118832,$14198,,,,,$155998,$35837,,,$124285,$111181,$147033,$151327,$116120,$13110,$159830,$54475
2010,6037300501,Census Tract 3005.01,Glendale,Los Angeles County,California,Glendale,99047.0,18176.0,113890.0,18140.0,,,,,98624.0,30285.0,,,37678.0,51720.0,268755.0,153798.0,120289.0,16274.0,50068.0,28535.0,$99047,$18176,$113890,$18140,,,,,$98624,$30285,,,$37678,$51720,$268755,$153798,$120289,$16274,$50068,$28535
2010,6037300502,Census Tract 3005.02,Glendale,Los Angeles County,California,Glendale,97461.0,19981.0,94328.0,19002.0,124736.0,63436.0,95296.0,11642.0,115939.0,51990.0,,,127703.0,66756.0,156034.0,170803.0,93935.0,22603.0,126776.0,88775.0,$97461,$19981,$94328,$19002,$124736,$63436,$95296,$11642,$115939,$51990,,,$127703,$66756,$156034,$170803,$93935,$22603,$126776,$88775
2010,6037300600,Census Tract 3006,Glendale,Los Angeles County,California,Glendale,98077.0,18526.0,98099.0,22490.0,133775.0,57847.0,,,101959.0,38270.0,,,101794.0,30414.0,35599.0,177101.0,97957.0,23494.0,101532.0,28603.0,$98077,$18526,$98099,$22490,$133775,$57847,,,$101959,$38270,,,$101794,$30414,$35599,$177101,$97957,$23494,$101532,$28603
2010,6037300701,Census Tract 3007.01,Glendale,Los Angeles County,California,Glendale,178335.0,38971.0,179849.0,29367.0,,,,,129256.0,423268.0,,,214083.0,270294.0,144942.0,166597.0,185839.0,24093.0,75927.0,169692.0,$178335,$38971,$179849,$29367,,,,,$129256,$423268,,,$214083,$270294,$144942,$166597,$185839,$24093,$75927,$169692
2010,6037300702,Census Tract 3007.02,Glendale,Los Angeles County,California,Glendale,221581.0,53679.0,246287.0,64487.0,,,,,177301.0,190357.0,,,,,,,246255.0,73929.0,207171.0,200664.0,$221581,$53679,$246287,$64487,,,,,$177301,$190357,,,,,,,$246255,$73929,$207171,$200664
2010,6037300800,Census Tract 3008,Glendale,Los Angeles County,California,Glendale,110174.0,15762.0,113589.0,12737.0,68609.0,83774.0,,,85425.0,35748.0,,,122929.0,171279.0,,,116006.0,14898.0,94707.0,70007.0,$110174,$15762,$113589,$12737,$68609,$83774,,,$85425,$35748,,,$122929,$171279,,,$116006,$14898,$94707,$70007
2010,6037300901,Census Tract 3009.01,Glendale,Los Angeles County,California,Glendale,145887.0,49816.0,169235.0,49711.0,,,,,172342.0,60793.0,53974.0,68934.0,84996.0,21381.0,,,174716.0,40676.0,85946.0,17653.0,$145887,$49816,$169235,$49711,,,,,$172342,$60793,$53974,$68934,$84996,$21381,,,$174716,$40676,$85946,$17653
2010,6037300902,Census Tract 3009.02,Glendale,Los Angeles County,California,Glendale,156319.0,13359.0,158606.0,17456.0,,,,,99215.0,158306.0,,,145882.0,76564.0,,,156266.0,10997.0,177388.0,70743.0,$156319,$13359,$158606,$17456,,,,,$99215,$158306,,,$145882,$76564,,,$156266,$10997,$177388,$70743
2010,6037301000,Census Tract 3010,Glendale,Los Angeles County,California,Glendale,86734.0,22460.0,83026.0,21225.0,26875.0,64115.0,,,115998.0,101551.0,,,101688.0,141155.0,3614.0,,93423.0,30086.0,55828.0,51133.0,$86734,$22460,$83026,$21225,$26875,$64115,,,$115998,$101551,,,$101688,$141155,$3614,,$93423,$30086,$55828,$51133
2010,6037301100,Census Tract 3011,Glendale,Los Angeles County,California,Glendale,92387.0,19404.0,71095.0,18383.0,,,182360.0,298461.0,125244.0,88658.0,,,107075.0,183903.0,125640.0,111404.0,69070.0,12442.0,111178.0,83116.0,$92387,$19404,$71095,$18383,,,$182360,$298461,$125244,$88658,,,$107075,$183903,$125640,$111404,$69070,$12442,$111178,$83116
2010,6037301203,Census Tract 3012.03,Glendale,Los Angeles County,California,Glendale,98431.0,7523.0,98976.0,12368.0,,,,,99215.0,17123.0,,,70813.0,38240.0,,,98697.0,13531.0,88739.0,27673.0,$98431,$7523,$98976,$12368,,,,,$99215,$17123,,,$70813,$38240,,,$98697,$13531,$88739,$27673
2010,6037301204,Census Tract 3012.04,Glendale,Los Angeles County,California,Glendale,83519.0,12847.0,65019.0,16960.0,92811.0,3950.0,79140.0,690125.0,125821.0,24171.0,,,173617.0,139427.0,152215.0,134749.0,62996.0,19151.0,124736.0,34145.0,$83519,$12847,$65019,$16960,$92811,$3950,$79140,$690125,$125821,$24171,,,$173617,$139427,$152215,$134749,$62996,$19151,$124736,$34145
2010,6037301205,Census Tract 3012.05,Glendale,Los Angeles County,California,Glendale,153826.0,30737.0,149224.0,41232.0,,,,,223042.0,32449.0,,,,,148388.0,97947.0,149224.0,41524.0,151703.0,178336.0,$153826,$30737,$149224,$41232,,,,,$223042,$32449,,,,,$148388,$97947,$149224,$41524,$151703,$178336
2010,6037301206,Census Tract 3012.06,Glendale,Los Angeles County,California,Glendale,73264.0,20483.0,68315.0,14646.0,,,,,89951.0,54190.0,,,138860.0,47409.0,184635.0,325903.0,66416.0,20732.0,97439.0,56034.0,$73264,$20483,$68315,$14646,,,,,$89951,$54190,,,$138860,$47409,$184635,$325903,$66416,$20732,$97439,$56034
