YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037400402,Census Tract 4004.02,Glendora,Los Angeles County,California,Glendora,112940.0,19215.0,104747.0,15534.0,,,,,152722.0,40960.0,,,54192.0,7999.0,101965.0,31337.0,104776.0,15628.0,116703.0,108843.0
2013,6037400404,Census Tract 4004.04,Glendora,Los Angeles County,California,Glendora,147282.0,21549.0,144253.0,30945.0,,,,,147386.0,31595.0,,,,,,,141400.0,44496.0,159816.0,78408.0
2013,6037400501,Census Tract 4005.01,Glendora,Los Angeles County,California,Glendora,145216.0,37259.0,133837.0,37495.0,,,,,269896.0,153785.0,,,,,166271.0,82318.0,162666.0,54790.0,109369.0,50688.0
2013,6037400604,Census Tract 4006.04,Glendora,Los Angeles County,California,Glendora,83516.0,21385.0,97032.0,9610.0,,,,,159889.0,48536.0,,,46756.0,24463.0,195009.0,307117.0,96745.0,9342.0,48125.0,9651.0
2013,6037400800,Census Tract 4008,Glendora,Los Angeles County,California,Glendora,106741.0,22042.0,90476.0,41253.0,,,,,155435.0,33293.0,,,79861.0,22423.0,,,95575.0,47249.0,79602.0,22918.0
2013,6037400900,Census Tract 4009,Glendora,Los Angeles County,California,Glendora,84463.0,11839.0,82273.0,10514.0,,,,,140133.0,129933.0,,,60760.0,73613.0,,,80419.0,11537.0,94039.0,28019.0
2013,6037401001,Census Tract 4010.01,Glendora,Los Angeles County,California,Glendora,127703.0,25887.0,128325.0,26693.0,,,,,171059.0,203184.0,,,,,,,121298.0,17536.0,170643.0,92113.0
2013,6037401002,Census Tract 4010.02,Glendora,Los Angeles County,California,Glendora,80616.0,11038.0,82374.0,12433.0,29149.0,125716.0,,,77730.0,214594.0,,,78415.0,66029.0,,,74367.0,14552.0,91706.0,19728.0
2013,6037401101,Census Tract 4011.01,Glendora,Los Angeles County,California,Glendora,79425.0,8660.0,79299.0,7839.0,61538.0,63284.0,,,200554.0,147312.0,,,29095.0,104508.0,48116.0,31665.0,80015.0,11029.0,58207.0,37171.0
2013,6037401102,Census Tract 4011.02,Glendora,Los Angeles County,California,Glendora,72853.0,12505.0,77714.0,33619.0,,,,,103457.0,74879.0,,,48664.0,25305.0,83258.0,51790.0,78292.0,38652.0,57974.0,23361.0
2013,6037401201,Census Tract 4012.01,Glendora,Los Angeles County,California,Glendora,119395.0,21905.0,116485.0,27959.0,93856.0,35693.0,,,155186.0,128036.0,,,121231.0,404465.0,,,112731.0,19688.0,171651.0,107976.0
2013,6037401202,Census Tract 4012.02,Glendora,Los Angeles County,California,Glendora,104551.0,23163.0,93969.0,26594.0,,,,,129322.0,70692.0,,,153030.0,104859.0,100173.0,101640.0,87080.0,21599.0,129979.0,36217.0
2013,6037401203,Census Tract 4012.03,Glendora,Los Angeles County,California,Glendora,88358.0,19351.0,87096.0,15879.0,99426.0,96171.0,,,109821.0,59857.0,,,110143.0,31505.0,28245.0,106452.0,81083.0,23378.0,106331.0,27187.0
2013,6037401311,Census Tract 4013.11,Glendora,Los Angeles County,California,Glendora,86598.0,18425.0,87692.0,18063.0,83153.0,28985.0,,,108179.0,168691.0,,,67422.0,42393.0,99643.0,69725.0,101107.0,31427.0,72758.0,7838.0
