YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037920012,Census Tract 9200.12,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),137443.0,53772.0,125037.0,40982.0,,,,,,,,,,,239037.0,163916.0,125037.0,40982.0,81551.0,30868.0,$137443,$53772,$125037,$40982,,,,,,,,,,,$239037,$163916,$125037,$40982,$81551,$30868
2010,6037920102,Census Tract 9201.02,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),101555.0,15817.0,102086.0,15430.0,169705.0,237099.0,,,62730.0,66801.0,,,44743.0,114457.0,35252.0,404769.0,107012.0,19486.0,45329.0,77512.0,$101555,$15817,$102086,$15430,$169705,$237099,,,$62730,$66801,,,$44743,$114457,$35252,$404769,$107012,$19486,$45329,$77512
2011,6037920012,Census Tract 9200.12,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),136707.0,35028.0,137174.0,45427.0,,,,,,,,,,,125194.0,139524.0,137408.0,43072.0,78310.0,36532.0,$136707,$35028,$137174,$45427,,,,,,,,,,,$125194,$139524,$137408,$43072,$78310,$36532
2011,6037920102,Census Tract 9201.02,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),96104.0,13536.0,94160.0,10415.0,167068.0,139961.0,,,75491.0,139314.0,,,103012.0,111952.0,32556.0,223485.0,97167.0,15938.0,74536.0,68393.0,$96104,$13536,$94160,$10415,$167068,$139961,,,$75491,$139314,,,$103012,$111952,$32556,$223485,$97167,$15938,$74536,$68393
2012,6037920012,Census Tract 9200.12,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),125902.0,54604.0,140141.0,66062.0,,,,,,,,,89518.0,76892.0,126341.0,157269.0,147713.0,75386.0,81339.0,22226.0,$125902,$54604,$140141,$66062,,,,,,,,,$89518,$76892,$126341,$157269,$147713,$75386,$81339,$22226
2012,6037920102,Census Tract 9201.02,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),100019.0,14572.0,94775.0,13676.0,140581.0,114888.0,,,111541.0,92074.0,,,104791.0,56694.0,31134.0,210964.0,103697.0,16316.0,78221.0,36771.0,$100019,$14572,$94775,$13676,$140581,$114888,,,$111541,$92074,,,$104791,$56694,$31134,$210964,$103697,$16316,$78221,$36771
2013,6037920012,Census Tract 9200.12,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),107680.0,29719.0,107849.0,36074.0,,,,,,,,,,,125655.0,111737.0,107849.0,35776.0,79450.0,79152.0,$107680,$29719,$107849,$36074,,,,,,,,,,,$125655,$111737,$107849,$35776,$79450,$79152
2013,6037920102,Census Tract 9201.02,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),91449.0,10940.0,91098.0,8817.0,142560.0,161230.0,,,110554.0,69459.0,,,104038.0,99021.0,12726.0,28552.0,102528.0,22898.0,61050.0,39284.0,$91449,$10940,$91098,$8817,$142560,$161230,,,$110554,$69459,,,$104038,$99021,$12726,$28552,$102528,$22898,$61050,$39284
2014,6037920012,Census Tract 9200.12,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),105167.0,25390.0,106206.0,31468.0,,,,,,,,,,,123627.0,101834.0,107522.0,31570.0,44062.0,170488.0,$105167,$25390,$106206,$31468,,,,,,,,,,,$123627,$101834,$107522,$31570,$44062,$170488
2014,6037920102,Census Tract 9201.02,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),87404.0,12825.0,86083.0,17258.0,135205.0,35533.0,,,112115.0,79919.0,,,150060.0,133738.0,,,88806.0,15962.0,73415.0,39902.0,$87404,$12825,$86083,$17258,$135205,$35533,,,$112115,$79919,,,$150060,$133738,,,$88806,$15962,$73415,$39902
2015,6037920012,Census Tract 9200.12,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),89816.0,20711.0,90831.0,20666.0,,,,,,,,,,,123595.0,104152.0,91383.0,22364.0,,,$89816,$20711,$90831,$20666,,,,,,,,,,,$123595,$104152,$91383,$22364,,
2015,6037920102,Census Tract 9201.02,Green Valley (Los Angeles County),Los Angeles County,California,GreenValley(LosAngelesCounty),88603.0,12914.0,87375.0,16443.0,134906.0,2826.0,,,110841.0,64795.0,,,,,,,90628.0,13477.0,62753.0,32935.0,$88603,$12914,$87375,$16443,$134906,$2826,,,$110841,$64795,,,,,,,$90628,$13477,$62753,$32935
