YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037408202,Census Tract 4082.02,Hacienda Heights,Los Angeles County,California,HaciendaHeights,68545.0,28501.0,72440.0,20606.0,,,,,110174.0,155626.0,,,67579.0,57463.0,,,99984.0,251584.0,66729.0,11927.0,$68545,$28501,$72440,$20606,,,,,$110174,$155626,,,$67579,$57463,,,$99984,$251584,$66729,$11927
2010,6037408401,Census Tract 4084.01,Hacienda Heights,Los Angeles County,California,HaciendaHeights,71750.0,24599.0,61866.0,17595.0,,,,,64821.0,11652.0,,,125584.0,58031.0,156886.0,23163.0,69568.0,17589.0,96781.0,40676.0,$71750,$24599,$61866,$17595,,,,,$64821,$11652,,,$125584,$58031,$156886,$23163,$69568,$17589,$96781,$40676
2010,6037408402,Census Tract 4084.02,Hacienda Heights,Los Angeles County,California,HaciendaHeights,105905.0,11743.0,110752.0,11551.0,,,,,99756.0,58168.0,,,87316.0,44288.0,,,130913.0,21878.0,88720.0,20016.0,$105905,$11743,$110752,$11551,,,,,$99756,$58168,,,$87316,$44288,,,$130913,$21878,$88720,$20016
2010,6037408501,Census Tract 4085.01,Hacienda Heights,Los Angeles County,California,HaciendaHeights,83839.0,15074.0,85143.0,3378.0,,,,,36484.0,14974.0,,,93134.0,9309.0,,,109070.0,43087.0,85855.0,5154.0,$83839,$15074,$85143,$3378,,,,,$36484,$14974,,,$93134,$9309,,,$109070,$43087,$85855,$5154
2010,6037408503,Census Tract 4085.03,Hacienda Heights,Los Angeles County,California,HaciendaHeights,132393.0,25183.0,137482.0,29007.0,145472.0,125350.0,,,122107.0,38273.0,,,150271.0,208982.0,174676.0,115055.0,147514.0,26829.0,127319.0,87386.0,$132393,$25183,$137482,$29007,$145472,$125350,,,$122107,$38273,,,$150271,$208982,$174676,$115055,$147514,$26829,$127319,$87386
2010,6037408504,Census Tract 4085.04,Hacienda Heights,Los Angeles County,California,HaciendaHeights,107584.0,14323.0,120330.0,24505.0,53240.0,236243.0,,,67363.0,8985.0,,,113641.0,25477.0,,,122856.0,37297.0,113267.0,20084.0,$107584,$14323,$120330,$24505,$53240,$236243,,,$67363,$8985,,,$113641,$25477,,,$122856,$37297,$113267,$20084
2010,6037408505,Census Tract 4085.05,Hacienda Heights,Los Angeles County,California,HaciendaHeights,119916.0,31491.0,92664.0,8235.0,,,,,120719.0,31500.0,,,204012.0,53775.0,254143.0,236187.0,91709.0,14517.0,202524.0,110682.0,$119916,$31491,$92664,$8235,,,,,$120719,$31500,,,$204012,$53775,$254143,$236187,$91709,$14517,$202524,$110682
2010,6037408623,Census Tract 4086.23,Hacienda Heights,Los Angeles County,California,HaciendaHeights,78813.0,13265.0,78417.0,23001.0,177578.0,29499.0,,,76379.0,21712.0,,,112986.0,106164.0,,,86974.0,46811.0,78969.0,43028.0,$78813,$13265,$78417,$23001,$177578,$29499,,,$76379,$21712,,,$112986,$106164,,,$86974,$46811,$78969,$43028
2010,6037408624,Census Tract 4086.24,Hacienda Heights,Los Angeles County,California,HaciendaHeights,115829.0,35583.0,93944.0,48539.0,,,,,120282.0,8125.0,,,78048.0,106944.0,,,95017.0,70862.0,91955.0,45583.0,$115829,$35583,$93944,$48539,,,,,$120282,$8125,,,$78048,$106944,,,$95017,$70862,$91955,$45583
2010,6037408625,Census Tract 4086.25,Hacienda Heights,Los Angeles County,California,HaciendaHeights,154076.0,19848.0,156896.0,22197.0,,,66309.0,53798.0,157441.0,66231.0,,,152228.0,38909.0,,,126183.0,41172.0,158704.0,78025.0,$154076,$19848,$156896,$22197,,,$66309,$53798,$157441,$66231,,,$152228,$38909,,,$126183,$41172,$158704,$78025
