YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037555102,Census Tract 5551.02,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,78255.0,9389.0,79355.0,13635.0,57143.0,23052.0,,,86851.0,25972.0,62264.0,104938.0,84296.0,20533.0,76394.0,42415.0,78345.0,31653.0,80476.0,7724.0,$78255,$9389,$79355,$13635,$57143,$23052,Not available,Not available,$86851,$25972,$62264,$104938,$84296,$20533,$76394,$42415,$78345,$31653,$80476,$7724
2010,6037555104,Census Tract 5551.04,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,102249.0,8926.0,90044.0,20466.0,38198.0,104929.0,,,113469.0,22975.0,,,98021.0,16143.0,114444.0,42402.0,78677.0,38906.0,96266.0,9462.0,$102249,$8926,$90044,$20466,$38198,$104929,Not available,Not available,$113469,$22975,Not available,Not available,$98021,$16143,$114444,$42402,$78677,$38906,$96266,$9462
2010,6037555202,Census Tract 5552.02,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,137940.0,23582.0,149140.0,18965.0,129646.0,344941.0,,,131172.0,23506.0,,,120884.0,172340.0,,,149726.0,18795.0,120267.0,62089.0,$137940,$23582,$149140,$18965,$129646,$344941,Not available,Not available,$131172,$23506,Not available,Not available,$120884,$172340,Not available,Not available,$149726,$18795,$120267,$62089
2010,6037555211,Census Tract 5552.11,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,70876.0,19165.0,56911.0,16924.0,92258.0,74910.0,,,71218.0,23021.0,,,71663.0,26736.0,96590.0,37124.0,48441.0,26701.0,71104.0,24526.0,$70876,$19165,$56911,$16924,$92258,$74910,Not available,Not available,$71218,$23021,Not available,Not available,$71663,$26736,$96590,$37124,$48441,$26701,$71104,$24526
2010,6037555212,Census Tract 5552.12,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,74286.0,20207.0,80880.0,33218.0,,,,,32905.0,9458.0,,,85113.0,24973.0,,,59748.0,47619.0,90038.0,21105.0,$74286,$20207,$80880,$33218,Not available,Not available,Not available,Not available,$32905,$9458,Not available,Not available,$85113,$24973,Not available,Not available,$59748,$47619,$90038,$21105
2011,6037555102,Census Tract 5551.02,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,77405.0,13412.0,82934.0,11788.0,60539.0,16331.0,,,83951.0,28442.0,,,82616.0,29657.0,93604.0,58033.0,87009.0,20766.0,82234.0,11981.0,$77405,$13412,$82934,$11788,$60539,$16331,Not available,Not available,$83951,$28442,Not available,Not available,$82616,$29657,$93604,$58033,$87009,$20766,$82234,$11981
2011,6037555104,Census Tract 5551.04,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,94285.0,10070.0,66885.0,48093.0,49355.0,19105.0,,,101263.0,8930.0,,,91728.0,34173.0,113217.0,44007.0,76926.0,48553.0,89645.0,23817.0,$94285,$10070,$66885,$48093,$49355,$19105,Not available,Not available,$101263,$8930,Not available,Not available,$91728,$34173,$113217,$44007,$76926,$48553,$89645,$23817
2011,6037555202,Census Tract 5552.02,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,128281.0,15064.0,146527.0,28177.0,263284.0,227390.0,,,120154.0,101518.0,,,80298.0,169438.0,,,147149.0,21281.0,117611.0,56559.0,$128281,$15064,$146527,$28177,$263284,$227390,Not available,Not available,$120154,$101518,Not available,Not available,$80298,$169438,Not available,Not available,$147149,$21281,$117611,$56559
2011,6037555211,Census Tract 5552.11,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,56725.0,12243.0,54718.0,10053.0,93084.0,68585.0,,,69158.0,16394.0,,,55935.0,21208.0,96223.0,30487.0,50284.0,95802.0,55512.0,8260.0,$56725,$12243,$54718,$10053,$93084,$68585,Not available,Not available,$69158,$16394,Not available,Not available,$55935,$21208,$96223,$30487,$50284,$95802,$55512,$8260
2011,6037555212,Census Tract 5552.12,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,60328.0,8874.0,62409.0,6795.0,,,109651.0,120971.0,34508.0,27688.0,,,69990.0,40699.0,34038.0,45551.0,29624.0,12669.0,70551.0,15098.0,$60328,$8874,$62409,$6795,Not available,Not available,$109651,$120971,$34508,$27688,Not available,Not available,$69990,$40699,$34038,$45551,$29624,$12669,$70551,$15098
