YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037600502,Census Tract 6005.02,Hawthorne,Los Angeles County,California,Hawthorne,75077.0,32907.0,119810.0,12680.0,62871.0,31665.0,,,92119.0,30508.0,,,52281.0,4891.0,,,,,85394.0,79386.0,$75077,$32907,$119810,$12680,$62871,$31665,Not available,Not available,$92119,$30508,Not available,Not available,$52281,$4891,Not available,Not available,Not available,Not available,$85394,$79386
2010,6037601600,Census Tract 6016,Hawthorne,Los Angeles County,California,Hawthorne,47828.0,5146.0,49674.0,5257.0,29855.0,61590.0,,,,,,,46884.0,9728.0,,,46884.0,16303.0,48632.0,7547.0,$47828,$5146,$49674,$5257,$29855,$61590,Not available,Not available,Not available,Not available,Not available,Not available,$46884,$9728,Not available,Not available,$46884,$16303,$48632,$7547
2010,6037601700,Census Tract 6017,Hawthorne,Los Angeles County,California,Hawthorne,43466.0,7845.0,56458.0,9195.0,18103.0,29821.0,,,10267.0,21716.0,,,42705.0,14262.0,45500.0,149217.0,144884.0,147437.0,46983.0,5162.0,$43466,$7845,$56458,$9195,$18103,$29821,Not available,Not available,$10267,$21716,Not available,Not available,$42705,$14262,$45500,$149217,$144884,$147437,$46983,$5162
2010,6037602002,Census Tract 6020.02,Hawthorne,Los Angeles County,California,Hawthorne,61271.0,18548.0,86053.0,63803.0,21015.0,39691.0,,,28746.0,37015.0,,,71476.0,41465.0,21952.0,30875.0,115358.0,69639.0,66906.0,19890.0,$61271,$18548,$86053,$63803,$21015,$39691,Not available,Not available,$28746,$37015,Not available,Not available,$71476,$41465,$21952,$30875,$115358,$69639,$66906,$19890
2010,6037602103,Census Tract 6021.03,Hawthorne,Los Angeles County,California,Hawthorne,56056.0,7483.0,49266.0,9195.0,57160.0,18112.0,,,40933.0,8718.0,,,62871.0,18128.0,148416.0,29620.0,54545.0,48625.0,57643.0,17081.0,$56056,$7483,$49266,$9195,$57160,$18112,Not available,Not available,$40933,$8718,Not available,Not available,$62871,$18128,$148416,$29620,$54545,$48625,$57643,$17081
2010,6037602104,Census Tract 6021.04,Hawthorne,Los Angeles County,California,Hawthorne,57258.0,11287.0,56244.0,12216.0,35299.0,23166.0,,,137568.0,63958.0,,,72589.0,26614.0,79704.0,25043.0,60907.0,37291.0,57702.0,16689.0,$57258,$11287,$56244,$12216,$35299,$23166,Not available,Not available,$137568,$63958,Not available,Not available,$72589,$26614,$79704,$25043,$60907,$37291,$57702,$16689
2010,6037602105,Census Tract 6021.05,Hawthorne,Los Angeles County,California,Hawthorne,62490.0,8473.0,82466.0,5818.0,37553.0,10727.0,,,27913.0,186001.0,,,126542.0,102846.0,,,84371.0,8115.0,82282.0,18247.0,$62490,$8473,$82466,$5818,$37553,$10727,Not available,Not available,$27913,$186001,Not available,Not available,$126542,$102846,Not available,Not available,$84371,$8115,$82282,$18247
2010,6037602106,Census Tract 6021.06,Hawthorne,Los Angeles County,California,Hawthorne,58318.0,5743.0,58814.0,11807.0,62917.0,21005.0,,,54498.0,22230.0,,,50929.0,24540.0,,,57542.0,21597.0,57278.0,18691.0,$58318,$5743,$58814,$11807,$62917,$21005,Not available,Not available,$54498,$22230,Not available,Not available,$50929,$24540,Not available,Not available,$57542,$21597,$57278,$18691
2010,6037602200,Census Tract 6022,Hawthorne,Los Angeles County,California,Hawthorne,93355.0,13938.0,104211.0,21564.0,65519.0,29147.0,,,120899.0,41286.0,,,92491.0,23277.0,,,129318.0,32537.0,92215.0,10666.0,$93355,$13938,$104211,$21564,$65519,$29147,Not available,Not available,$120899,$41286,Not available,Not available,$92491,$23277,Not available,Not available,$129318,$32537,$92215,$10666
2010,6037602301,Census Tract 6023.01,Hawthorne,Los Angeles County,California,Hawthorne,114844.0,9917.0,121293.0,20834.0,112687.0,80600.0,,,73894.0,105944.0,,,67321.0,52362.0,,,132104.0,25838.0,112113.0,6215.0,$114844,$9917,$121293,$20834,$112687,$80600,Not available,Not available,$73894,$105944,Not available,Not available,$67321,$52362,Not available,Not available,$132104,$25838,$112113,$6215
2010,6037602302,Census Tract 6023.02,Hawthorne,Los Angeles County,California,Hawthorne,137775.0,26697.0,138319.0,28770.0,148667.0,19477.0,,,113473.0,60004.0,,,167022.0,2140.0,,,139407.0,27087.0,166005.0,126421.0,$137775,$26697,$138319,$28770,$148667,$19477,Not available,Not available,$113473,$60004,Not available,Not available,$167022,$2140,Not available,Not available,$139407,$27087,$166005,$126421
2010,6037602402,Census Tract 6024.02,Hawthorne,Los Angeles County,California,Hawthorne,73342.0,10003.0,72596.0,13945.0,36839.0,23194.0,,,129957.0,21719.0,,,75662.0,14013.0,,,84400.0,35278.0,73161.0,8590.0,$73342,$10003,$72596,$13945,$36839,$23194,Not available,Not available,$129957,$21719,Not available,Not available,$75662,$14013,Not available,Not available,$84400,$35278,$73161,$8590
2010,6037602403,Census Tract 6024.03,Hawthorne,Los Angeles County,California,Hawthorne,61257.0,15439.0,54758.0,14767.0,63027.0,22971.0,,,76686.0,28211.0,,,70833.0,34581.0,46148.0,66677.0,53587.0,9568.0,55320.0,22822.0,$61257,$15439,$54758,$14767,$63027,$22971,Not available,Not available,$76686,$28211,Not available,Not available,$70833,$34581,$46148,$66677,$53587,$9568,$55320,$22822
2010,6037602404,Census Tract 6024.04,Hawthorne,Los Angeles County,California,Hawthorne,57209.0,7946.0,55061.0,12952.0,59333.0,16847.0,30813.0,171285.0,78590.0,37377.0,,,60400.0,15421.0,3511.0,,70732.0,19787.0,54003.0,17182.0,$57209,$7946,$55061,$12952,$59333,$16847,$30813,$171285,$78590,$37377,Not available,Not available,$60400,$15421,$3511,Not available,$70732,$19787,$54003,$17182
2010,6037602504,Census Tract 6025.04,Hawthorne,Los Angeles County,California,Hawthorne,60588.0,6029.0,64911.0,22025.0,60137.0,4723.0,,,37390.0,61956.0,65429.0,38859.0,54811.0,19654.0,,,42148.0,41789.0,66059.0,15411.0,$60588,$6029,$64911,$22025,$60137,$4723,Not available,Not available,$37390,$61956,$65429,$38859,$54811,$19654,Not available,Not available,$42148,$41789,$66059,$15411
2010,6037602505,Census Tract 6025.05,Hawthorne,Los Angeles County,California,Hawthorne,59498.0,10995.0,34351.0,33485.0,64081.0,4841.0,,,23470.0,145161.0,,,41350.0,33238.0,27416.0,71955.0,87764.0,12200.0,30206.0,5295.0,$59498,$10995,$34351,$33485,$64081,$4841,Not available,Not available,$23470,$145161,Not available,Not available,$41350,$33238,$27416,$71955,$87764,$12200,$30206,$5295
2010,6037602506,Census Tract 6025.06,Hawthorne,Los Angeles County,California,Hawthorne,57559.0,6957.0,63697.0,28763.0,52632.0,5321.0,,,71082.0,68207.0,141782.0,18593.0,82230.0,26649.0,59328.0,56191.0,111861.0,36492.0,54441.0,19295.0,$57559,$6957,$63697,$28763,$52632,$5321,Not available,Not available,$71082,$68207,$141782,$18593,$82230,$26649,$59328,$56191,$111861,$36492,$54441,$19295
2010,6037602507,Census Tract 6025.07,Hawthorne,Los Angeles County,California,Hawthorne,58951.0,6340.0,65857.0,9767.0,55384.0,12397.0,,,144665.0,80020.0,,,91405.0,121503.0,,,96687.0,42578.0,62757.0,11502.0,$58951,$6340,$65857,$9767,$55384,$12397,Not available,Not available,$144665,$80020,Not available,Not available,$91405,$121503,Not available,Not available,$96687,$42578,$62757,$11502
2010,6037602508,Census Tract 6025.08,Hawthorne,Los Angeles County,California,Hawthorne,57914.0,10789.0,60400.0,24164.0,56414.0,12792.0,31070.0,310920.0,25939.0,990.0,,,66267.0,22634.0,,,47740.0,46759.0,61466.0,7606.0,$57914,$10789,$60400,$24164,$56414,$12792,$31070,$310920,$25939,$990,Not available,Not available,$66267,$22634,Not available,Not available,$47740,$46759,$61466,$7606
2010,6037602509,Census Tract 6025.09,Hawthorne,Los Angeles County,California,Hawthorne,53271.0,10673.0,58114.0,32651.0,55186.0,11741.0,,,52099.0,46699.0,,,32654.0,38483.0,95126.0,166034.0,40871.0,95269.0,51462.0,25661.0,$53271,$10673,$58114,$32651,$55186,$11741,Not available,Not available,$52099,$46699,Not available,Not available,$32654,$38483,$95126,$166034,$40871,$95269,$51462,$25661
2010,6037602700,Census Tract 6027,Hawthorne,Los Angeles County,California,Hawthorne,119937.0,23047.0,120800.0,16466.0,114054.0,28297.0,,,136689.0,109470.0,,,128787.0,36963.0,,,,,121113.0,15193.0,$119937,$23047,$120800,$16466,$114054,$28297,Not available,Not available,$136689,$109470,Not available,Not available,$128787,$36963,Not available,Not available,Not available,Not available,$121113,$15193
