YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037137000,Census Tract 1370,Hidden Hills,Los Angeles County,California,HiddenHills,128418.0,19982.0,140406.0,42231.0,114248.0,16713.0,,,158926.0,83865.0,,,,,113617.0,52936.0,134485.0,45314.0,93098.0,56667.0,$128418,$19982,$140406,$42231,$114248,$16713,Not available,Not available,$158926,$83865,Not available,Not available,Not available,Not available,$113617,$52936,$134485,$45314,$93098,$56667,1
2013,6037800203,Census Tract 8002.03,Hidden Hills,Los Angeles County,California,HiddenHills,183987.0,41815.0,177848.0,43976.0,,,,,187515.0,91643.0,,,,,100994.0,333175.0,197718.0,40558.0,71672.0,158048.0,$183987,$41815,$177848,$43976,Not available,Not available,Not available,Not available,$187515,$91643,Not available,Not available,Not available,Not available,$100994,$333175,$197718,$40558,$71672,$158048,1
2011,6037800203,Census Tract 8002.03,Hidden Hills,Los Angeles County,California,HiddenHills,195318.0,28915.0,198578.0,24148.0,86747.0,275.0,,,340381.0,,,,188911.0,180397.0,100020.0,1468.0,200998.0,14258.0,74679.0,179979.0,$195318,$28915,$198578,$24148,$86747,$275,Not available,Not available,$340381,Not available,Not available,Not available,$188911,$180397,$100020,$1468,$200998,$14258,$74679,$179979,1
2022,6037800206,Census Tract 8002.06,Hidden Hills,Los Angeles County,California,HiddenHills,260314.0,,260314.0,,,,,,260314.0,,,,,,,,260314.0,,188957.0,30168.0,$260314,Not available,$260314,Not available,Not available,Not available,Not available,Not available,$260314,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$260314,Not available,$188957,$30168,1
2012,6037137000,Census Tract 1370,Hidden Hills,Los Angeles County,California,HiddenHills,126998.0,31340.0,156463.0,52425.0,112149.0,22542.0,,,157035.0,75932.0,,,,,115510.0,80507.0,145032.0,55791.0,126880.0,148128.0,$126998,$31340,$156463,$52425,$112149,$22542,Not available,Not available,$157035,$75932,Not available,Not available,Not available,Not available,$115510,$80507,$145032,$55791,$126880,$148128,1
2012,6037800203,Census Tract 8002.03,Hidden Hills,Los Angeles County,California,HiddenHills,188589.0,39844.0,190042.0,45082.0,,,,,242831.0,159873.0,,,186324.0,285313.0,101828.0,60644.0,201455.0,26255.0,73286.0,173321.0,$188589,$39844,$190042,$45082,Not available,Not available,Not available,Not available,$242831,$159873,Not available,Not available,$186324,$285313,$101828,$60644,$201455,$26255,$73286,$173321,1
2019,6037137000,Census Tract 1370,Hidden Hills,Los Angeles County,California,HiddenHills,147704.0,24359.0,148389.0,29117.0,298896.0,,,,129023.0,107034.0,,,,,,,137140.0,31269.0,262280.0,112053.0,$147704,$24359,$148389,$29117,$298896,Not available,Not available,Not available,$129023,$107034,Not available,Not available,Not available,Not available,Not available,Not available,$137140,$31269,$262280,$112053,1
2019,6037800203,Census Tract 8002.03,Hidden Hills,Los Angeles County,California,HiddenHills,175204.0,17313.0,175040.0,18921.0,,,,,202202.0,130533.0,,,147505.0,34105.0,186186.0,94661.0,175111.0,16523.0,147355.0,85331.0,$175204,$17313,$175040,$18921,Not available,Not available,Not available,Not available,$202202,$130533,Not available,Not available,$147505,$34105,$186186,$94661,$175111,$16523,$147355,$85331,1
2010,6037800203,Census Tract 8002.03,Hidden Hills,Los Angeles County,California,HiddenHills,202091.0,20487.0,203045.0,28277.0,85826.0,773.0,,,351236.0,,,,186406.0,2709.0,,,217180.0,49076.0,142174.0,141098.0,$202091,$20487,$203045,$28277,$85826,$773,Not available,Not available,$351236,Not available,Not available,Not available,$186406,$2709,Not available,Not available,$217180,$49076,$142174,$141098,1
2023,6037800206,Census Tract 8002.06,Hidden Hills,Los Angeles County,California,HiddenHills,250001.0,,250001.0,,,,,,250001.0,,,,,,189779.0,175058.0,250001.0,,188824.0,25374.0,Not available. Exceeds $250K!,Not available,Not available. Exceeds $250K!,Not available,Not available,Not available,Not available,Not available,Not available. Exceeds $250K!,Not available,Not available,Not available,Not available,Not available,$189779,$175058,Not available. Exceeds $250K!,Not available,$188824,$25374,1
2021,6037800206,Census Tract 8002.06,Hidden Hills,Los Angeles County,California,HiddenHills,281376.0,,281376.0,,,,,,279672.0,129115.0,,,,,187198.0,32375.0,281376.0,,187445.0,39881.0,$281376,Not available,$281376,Not available,Not available,Not available,Not available,Not available,$279672,$129115,Not available,Not available,Not available,Not available,$187198,$32375,$281376,Not available,$187445,$39881,1
2018,6037137000,Census Tract 1370,Hidden Hills,Los Angeles County,California,HiddenHills,140478.0,30677.0,129613.0,35803.0,301523.0,270941.0,,,141172.0,123523.0,,,,,304324.0,,127598.0,43413.0,227712.0,75904.0,$140478,$30677,$129613,$35803,$301523,$270941,Not available,Not available,$141172,$123523,Not available,Not available,Not available,Not available,$304324,Not available,$127598,$43413,$227712,$75904,1
2018,6037800203,Census Tract 8002.03,Hidden Hills,Los Angeles County,California,HiddenHills,163082.0,32850.0,175147.0,29286.0,,,,,146413.0,91608.0,,,147202.0,32498.0,153913.0,20393.0,176378.0,23461.0,99571.0,84423.0,$163082,$32850,$175147,$29286,Not available,Not available,Not available,Not available,$146413,$91608,Not available,Not available,$147202,$32498,$153913,$20393,$176378,$23461,$99571,$84423,1
2020,6037800206,Census Tract 8002.06,Hidden Hills,Los Angeles County,California,HiddenHills,279288.0,29919.0,288764.0,47224.0,,,,,270959.0,30612.0,,,,,,,288764.0,47659.0,,,$279288,$29919,$288764,$47224,Not available,Not available,Not available,Not available,$270959,$30612,Not available,Not available,Not available,Not available,Not available,Not available,$288764,$47659,Not available,Not available,1
2015,6037137000,Census Tract 1370,Hidden Hills,Los Angeles County,California,HiddenHills,137329.0,21134.0,134121.0,26993.0,157015.0,71373.0,,,155604.0,130094.0,,,,,,,132981.0,26259.0,128353.0,86225.0,$137329,$21134,$134121,$26993,$157015,$71373,Not available,Not available,$155604,$130094,Not available,Not available,Not available,Not available,Not available,Not available,$132981,$26259,$128353,$86225,1
2015,6037800203,Census Tract 8002.03,Hidden Hills,Los Angeles County,California,HiddenHills,151804.0,24917.0,156997.0,44075.0,,,,,130470.0,28256.0,,,,,153341.0,146589.0,175894.0,40970.0,64425.0,18932.0,$151804,$24917,$156997,$44075,Not available,Not available,Not available,Not available,$130470,$28256,Not available,Not available,Not available,Not available,$153341,$146589,$175894,$40970,$64425,$18932,1
2016,6037137000,Census Tract 1370,Hidden Hills,Los Angeles County,California,HiddenHills,131996.0,15324.0,129741.0,16546.0,,,,,140989.0,71052.0,,,,,,,129476.0,16287.0,120757.0,79669.0,$131996,$15324,$129741,$16546,Not available,Not available,Not available,Not available,$140989,$71052,Not available,Not available,Not available,Not available,Not available,Not available,$129476,$16287,$120757,$79669,1
