YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037532400,Census Tract 5324,Huntington Park,Los Angeles County,California,HuntingtonPark,55860.0,60543.0,131968.0,66649.0,,,,,,,,,48810.0,27021.0,,,,,54776.0,16472.0,$55860,$60543,$131968,$66649,,,,,,,,,$48810,$27021,,,,,$54776,$16472
2010,6037532500,Census Tract 5325,Huntington Park,Los Angeles County,California,HuntingtonPark,60560.0,5276.0,58868.0,9344.0,97785.0,141391.0,,,137933.0,174194.0,,,61464.0,30076.0,,,,,60519.0,5510.0,$60560,$5276,$58868,$9344,$97785,$141391,,,$137933,$174194,,,$61464,$30076,,,,,$60519,$5510
2010,6037532603,Census Tract 5326.03,Huntington Park,Los Angeles County,California,HuntingtonPark,42893.0,18951.0,57014.0,32794.0,,,39145.0,97812.0,31060.0,12218.0,,,31282.0,30822.0,,,,,47518.0,22153.0,$42893,$18951,$57014,$32794,,,$39145,$97812,$31060,$12218,,,$31282,$30822,,,,,$47518,$22153
2010,6037532604,Census Tract 5326.04,Huntington Park,Los Angeles County,California,HuntingtonPark,49585.0,10893.0,58301.0,29467.0,,,,,,,,,43664.0,11444.0,,,,,46930.0,11482.0,$49585,$10893,$58301,$29467,,,,,,,,,$43664,$11444,,,,,$46930,$11482
2010,6037532605,Census Tract 5326.05,Huntington Park,Los Angeles County,California,HuntingtonPark,38397.0,15382.0,36228.0,14639.0,61256.0,303191.0,,,,,,,31390.0,26824.0,20247.0,210063.0,14148.0,18992.0,38542.0,15051.0,$38397,$15382,$36228,$14639,$61256,$303191,,,,,,,$31390,$26824,$20247,$210063,$14148,$18992,$38542,$15051
2010,6037532606,Census Tract 5326.06,Huntington Park,Los Angeles County,California,HuntingtonPark,43786.0,9943.0,42302.0,17398.0,60660.0,24633.0,3614.0,,,,,,45115.0,6021.0,15485.0,5381.0,17256.0,67582.0,44529.0,8964.0,$43786,$9943,$42302,$17398,$60660,$24633,$3614,,,,,,$45115,$6021,$15485,$5381,$17256,$67582,$44529,$8964
2010,6037532700,Census Tract 5327,Huntington Park,Los Angeles County,California,HuntingtonPark,54635.0,12500.0,48207.0,21604.0,,,,,,,,,70729.0,61203.0,,,,,56557.0,18321.0,$54635,$12500,$48207,$21604,,,,,,,,,$70729,$61203,,,,,$56557,$18321
2010,6037533002,Census Tract 5330.02,Huntington Park,Los Angeles County,California,HuntingtonPark,58365.0,12767.0,74226.0,32384.0,,,,,,,,,44866.0,22723.0,,,,,57674.0,13518.0,$58365,$12767,$74226,$32384,,,,,,,,,$44866,$22723,,,,,$57674,$13518
2010,6037533103,Census Tract 5331.03,Huntington Park,Los Angeles County,California,HuntingtonPark,44557.0,6253.0,42830.0,6119.0,,,,,,,,,46314.0,22596.0,96214.0,43692.0,,,44557.0,6642.0,$44557,$6253,$42830,$6119,,,,,,,,,$46314,$22596,$96214,$43692,,,$44557,$6642
2010,6037533104,Census Tract 5331.04,Huntington Park,Los Angeles County,California,HuntingtonPark,33032.0,4744.0,33899.0,3539.0,,,,,,,,,24516.0,20859.0,,,,,33278.0,4145.0,$33032,$4744,$33899,$3539,,,,,,,,,$24516,$20859,,,,,$33278,$4145
2010,6037533105,Census Tract 5331.05,Huntington Park,Los Angeles County,California,HuntingtonPark,52878.0,20645.0,53383.0,41076.0,,,,,,,,,52632.0,12639.0,,,33897.0,105408.0,53052.0,20327.0,$52878,$20645,$53383,$41076,,,,,,,,,$52632,$12639,,,$33897,$105408,$53052,$20327
2010,6037533106,Census Tract 5331.06,Huntington Park,Los Angeles County,California,HuntingtonPark,63667.0,16251.0,61263.0,33267.0,,,,,,,,,64245.0,20752.0,,,,,62763.0,13943.0,$63667,$16251,$61263,$33267,,,,,,,,,$64245,$20752,,,,,$62763,$13943
2010,6037533107,Census Tract 5331.07,Huntington Park,Los Angeles County,California,HuntingtonPark,51860.0,3494.0,48606.0,5128.0,,,,,,,,,59119.0,11134.0,72512.0,32404.0,,,51494.0,3689.0,$51860,$3494,$48606,$5128,,,,,,,,,$59119,$11134,$72512,$32404,,,$51494,$3689
2010,6037533201,Census Tract 5332.01,Huntington Park,Los Angeles County,California,HuntingtonPark,58345.0,9037.0,52907.0,13515.0,,,,,,,,,61917.0,26194.0,,,,,58899.0,6745.0,$58345,$9037,$52907,$13515,,,,,,,,,$61917,$26194,,,,,$58899,$6745
2010,6037533202,Census Tract 5332.02,Huntington Park,Los Angeles County,California,HuntingtonPark,69673.0,12283.0,65155.0,12033.0,,,,,,,,,95812.0,82407.0,,,63272.0,18797.0,69987.0,12971.0,$69673,$12283,$65155,$12033,,,,,,,,,$95812,$82407,,,$63272,$18797,$69987,$12971
2010,6037533203,Census Tract 5332.03,Huntington Park,Los Angeles County,California,HuntingtonPark,57095.0,12462.0,53857.0,20603.0,,,,,,,,,57398.0,24871.0,,,,,56644.0,13560.0,$57095,$12462,$53857,$20603,,,,,,,,,$57398,$24871,,,,,$56644,$13560
2010,6037533501,Census Tract 5335.01,Huntington Park,Los Angeles County,California,HuntingtonPark,63112.0,9950.0,62286.0,16853.0,,,,,,,,,62643.0,11758.0,,,,,63112.0,9950.0,$63112,$9950,$62286,$16853,,,,,,,,,$62643,$11758,,,,,$63112,$9950
2010,6037533502,Census Tract 5335.02,Huntington Park,Los Angeles County,California,HuntingtonPark,60124.0,7510.0,50015.0,33162.0,,,,,,,,,60822.0,28130.0,,,,,59482.0,8094.0,$60124,$7510,$50015,$33162,,,,,,,,,$60822,$28130,,,,,$59482,$8094
2010,6037533503,Census Tract 5335.03,Huntington Park,Los Angeles County,California,HuntingtonPark,59295.0,34727.0,48207.0,34027.0,,,,,,,,,65321.0,46937.0,,,,,59295.0,34727.0,$59295,$34727,$48207,$34027,,,,,,,,,$65321,$46937,,,,,$59295,$34727
2010,6037534501,Census Tract 5345.01,Huntington Park,Los Angeles County,California,HuntingtonPark,71918.0,14163.0,70421.0,4282.0,,,109288.0,116105.0,,,,,73790.0,56663.0,49714.0,225058.0,105509.0,165455.0,71559.0,9257.0,$71918,$14163,$70421,$4282,,,$109288,$116105,,,,,$73790,$56663,$49714,$225058,$105509,$165455,$71559,$9257
2010,6037534502,Census Tract 5345.02,Huntington Park,Los Angeles County,California,HuntingtonPark,68350.0,5525.0,68270.0,5266.0,,,,,,,,,63107.0,21513.0,,,,,68153.0,7747.0,$68350,$5525,$68270,$5266,,,,,,,,,$63107,$21513,,,,,$68153,$7747
2011,6037532400,Census Tract 5324,Huntington Park,Los Angeles County,California,HuntingtonPark,45258.0,90963.0,119129.0,121718.0,,,,,,,,,10161.0,74481.0,,,155043.0,59567.0,42630.0,51094.0,$45258,$90963,$119129,$121718,,,,,,,,,$10161,$74481,,,$155043,$59567,$42630,$51094
2011,6037532500,Census Tract 5325,Huntington Park,Los Angeles County,California,HuntingtonPark,58652.0,6094.0,56420.0,10125.0,58642.0,51212.0,,,138400.0,138564.0,,,62679.0,10640.0,,,142605.0,243915.0,58086.0,5763.0,$58652,$6094,$56420,$10125,$58642,$51212,,,$138400,$138564,,,$62679,$10640,,,$142605,$243915,$58086,$5763
2011,6037532603,Census Tract 5326.03,Huntington Park,Los Angeles County,California,HuntingtonPark,45383.0,9912.0,49272.0,13525.0,,,38009.0,101407.0,42524.0,20535.0,,,40294.0,23768.0,82144.0,32484.0,,,47192.0,10396.0,$45383,$9912,$49272,$13525,,,$38009,$101407,$42524,$20535,,,$40294,$23768,$82144,$32484,,,$47192,$10396
2011,6037532604,Census Tract 5326.04,Huntington Park,Los Angeles County,California,HuntingtonPark,48389.0,9121.0,59500.0,24608.0,,,,,73288.0,68546.0,,,37506.0,13260.0,,,,,47725.0,9068.0,$48389,$9121,$59500,$24608,,,,,$73288,$68546,,,$37506,$13260,,,,,$47725,$9068
2011,6037532605,Census Tract 5326.05,Huntington Park,Los Angeles County,California,HuntingtonPark,37854.0,8994.0,33286.0,11226.0,203501.0,278401.0,,,,,,,42746.0,36469.0,91850.0,86436.0,13711.0,19080.0,37666.0,8629.0,$37854,$8994,$33286,$11226,$203501,$278401,,,,,,,$42746,$36469,$91850,$86436,$13711,$19080,$37666,$8629
2011,6037532606,Census Tract 5326.06,Huntington Park,Los Angeles County,California,HuntingtonPark,45596.0,9958.0,45038.0,13909.0,63507.0,2722.0,3502.0,,,,,,47391.0,11094.0,17019.0,2663.0,18555.0,11966.0,46371.0,7882.0,$45596,$9958,$45038,$13909,$63507,$2722,$3502,,,,,,$47391,$11094,$17019,$2663,$18555,$11966,$46371,$7882
2011,6037532700,Census Tract 5327,Huntington Park,Los Angeles County,California,HuntingtonPark,63133.0,23194.0,62192.0,31217.0,,,,,,,,,68199.0,57766.0,,,49849.0,60110.0,64497.0,24325.0,$63133,$23194,$62192,$31217,,,,,,,,,$68199,$57766,,,$49849,$60110,$64497,$24325
2011,6037533002,Census Tract 5330.02,Huntington Park,Los Angeles County,California,HuntingtonPark,61667.0,35320.0,81131.0,30539.0,,,,,,,,,46097.0,11763.0,,,,,70410.0,34689.0,$61667,$35320,$81131,$30539,,,,,,,,,$46097,$11763,,,,,$70410,$34689
