YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037403303,Census Tract 4033.03,Industry,Los Angeles County,California,Industry,99909.0,24882.0,99186.0,28353.0,156017.0,74807.0,,,83610.0,33228.0,,,124511.0,155129.0,,,97981.0,51610.0,102385.0,34397.0,$99909,$24882,$99186,$28353,$156017,$74807,,,$83610,$33228,,,$124511,$155129,,,$97981,$51610,$102385,$34397
2010,6037403312,Census Tract 4033.12,Industry,Los Angeles County,California,Industry,93660.0,15369.0,84627.0,17917.0,144683.0,161923.0,,,100491.0,21180.0,,,127240.0,88692.0,102000.0,88170.0,89802.0,38682.0,76107.0,23142.0,$93660,$15369,$84627,$17917,$144683,$161923,,,$100491,$21180,,,$127240,$88692,$102000,$88170,$89802,$38682,$76107,$23142
2010,6037404703,Census Tract 4047.03,Industry,Los Angeles County,California,Industry,98324.0,26185.0,91938.0,58482.0,,,,,134754.0,12934.0,,,88474.0,64405.0,98674.0,80126.0,,,84604.0,36239.0,$98324,$26185,$91938,$58482,,,,,$134754,$12934,,,$88474,$64405,$98674,$80126,,,$84604,$36239
2010,6037407001,Census Tract 4070.01,Industry,Los Angeles County,California,Industry,75769.0,12127.0,77960.0,15294.0,,,,,80857.0,22155.0,,,72713.0,18552.0,78638.0,207797.0,67904.0,50557.0,76314.0,13532.0,$75769,$12127,$77960,$15294,,,,,$80857,$22155,,,$72713,$18552,$78638,$207797,$67904,$50557,$76314,$13532
2010,6037407002,Census Tract 4070.02,Industry,Los Angeles County,California,Industry,106226.0,22672.0,79155.0,43063.0,,,,,205383.0,93335.0,,,92197.0,28846.0,174569.0,75730.0,151982.0,329528.0,91322.0,28893.0,$106226,$22672,$79155,$43063,,,,,$205383,$93335,,,$92197,$28846,$174569,$75730,$151982,$329528,$91322,$28893
2010,6037407602,Census Tract 4076.02,Industry,Los Angeles County,California,Industry,79659.0,8498.0,72822.0,26236.0,,,,,83082.0,81490.0,,,111917.0,36874.0,,,89288.0,51558.0,75695.0,14135.0,$79659,$8498,$72822,$26236,,,,,$83082,$81490,,,$111917,$36874,,,$89288,$51558,$75695,$14135
2010,6037407802,Census Tract 4078.02,Industry,Los Angeles County,California,Industry,109866.0,21760.0,100551.0,23657.0,181681.0,220064.0,,,157955.0,42016.0,,,81350.0,119744.0,,,150498.0,34782.0,80627.0,23056.0,$109866,$21760,$100551,$23657,$181681,$220064,,,$157955,$42016,,,$81350,$119744,,,$150498,$34782,$80627,$23056
2010,6037408138,Census Tract 4081.38,Industry,Los Angeles County,California,Industry,63321.0,12659.0,62979.0,10757.0,24122.0,163602.0,,,24298.0,2788.0,,,94429.0,52554.0,,,108466.0,51449.0,63198.0,11266.0,$63321,$12659,$62979,$10757,$24122,$163602,,,$24298,$2788,,,$94429,$52554,,,$108466,$51449,$63198,$11266
2010,6037408140,Census Tract 4081.40,Industry,Los Angeles County,California,Industry,78187.0,14458.0,69257.0,18556.0,,,,,74757.0,23335.0,,,85998.0,6395.0,,,45823.0,26910.0,80747.0,15543.0,$78187,$14458,$69257,$18556,,,,,$74757,$23335,,,$85998,$6395,,,$45823,$26910,$80747,$15543
2010,6037408202,Census Tract 4082.02,Industry,Los Angeles County,California,Industry,68545.0,28501.0,72440.0,20606.0,,,,,110174.0,155626.0,,,67579.0,57463.0,,,99984.0,251584.0,66729.0,11927.0,$68545,$28501,$72440,$20606,,,,,$110174,$155626,,,$67579,$57463,,,$99984,$251584,$66729,$11927
