YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037404600,Census Tract 4046,Irwindale,Los Angeles County,California,Irwindale,83094.055,18695.83394,83750.92499999999,19922.8671,,,82765.62,35620.74636,,,,,88912.60945999999,60081.27142,,,102088.10792,5471.7271,76361.1375,18904.7186,$8309455,$18695.83394,$83750.92499999999,$19922.8671,Not available,Not available,$82765.62,$35620.74636,Not available,Not available,Not available,Not available,$88912.60945999999,$60081.27142,Not available,Not available,$102088.10792,$5471.7271,$76361.1375,$18904.7186,1
2013,6037405002,Census Tract 4050.02,Irwindale,Los Angeles County,California,Irwindale,79372.22958,28077.25128,77182.22499999999,30372.35506,,,,,125150.81362,121545.91106,,,90469.39136,52067.45742,,,39177.04054,35991.22104,86852.66514,32461.20166,$79372.22958,$28077.25128,$77182.22499999999,$30372.35506,Not available,Not available,Not available,Not available,$125150.81362,$121545.91106,Not available,Not available,$90469.39136,$52067.45742,Not available,Not available,$391774054,$35991.22104,$86852.66514,$32461.20166,1
2013,6037405301,Census Tract 4053.01,Irwindale,Los Angeles County,California,Irwindale,67296.3315,6566.07252,67258.23303999999,11593.7555,,,,,74577.07858,72515.82052,,,53452.13937999999,28684.19916,,,66044.33727999999,59185.30074,57298.7701,11107.6717,$67296.3315,$65667252,$67258.23303999999,$11593.7555,Not available,Not available,Not available,Not available,$745777858,$72515.82052,Not available,Not available,$53452.13937999999,$28684.19916,Not available,Not available,$66044.33727999999,$59185.30074,$57298.7701,$11107.6717,1
2011,6037404600,Census Tract 4046,Irwindale,Los Angeles County,California,Irwindale,89118.29160000001,13590.69264,96327.54,26669.45376,,,66752.60256,62894.05488,,,,,89265.33576,32838.50088,,,235017.41328,159981.32304000002,83499.29856000001,13571.63136,$89118.29160000001,$13590.69264,$96327.54,$26669.45376,Not available,Not available,$66752.60256,$628945488,Not available,Not available,Not available,Not available,$89265.33576,$32838.50088,Not available,Not available,$235017.41328,$159981.32304000002,$83499.29856000001,$13571.63136,1
2011,6037405002,Census Tract 4050.02,Irwindale,Los Angeles County,California,Irwindale,89009.37000000001,23577.44184,80557.05384000001,44994.15144,,,,,128021.00256,11398.64544,,,95656.31064,41098.84272,,,36137.46384,8122.82832,92632.37472,22409.25768,$89009.37000000001,$23577.44184,$805575384000001,$44994.15144,Not available,Not available,Not available,Not available,$1280210256,$11398.64544,Not available,Not available,$95656.31064,$41098.84272,Not available,Not available,$36137.46384,$8122.82832,$92632.37472,$22409.25768,1
2011,6037405301,Census Tract 4053.01,Irwindale,Los Angeles County,California,Irwindale,54157.18104,24812.340480000003,65088.82512,32017.50432,53123.78736,43093.46952,,,70131.8952,240372.27144,,,32523.98976,14048.16336,,,66277.43208,60695.20008,39569.85576,29893.53312,$54157.18104,$24812.340480000003,$65088.82512,$32017.50432,$53123.78736,$43093.46952,Not available,Not available,$70131.8952,$240372.27144,Not available,Not available,$32523.98976,$14048.16336,Not available,Not available,$66277.43208,$60695.20008,$39569.85576,$29893.53312,1
2022,6037404600,Census Tract 4046,Irwindale,Los Angeles County,California,Irwindale,105354.71625,11297.5625,98670.9325,9736.72875,,,,,,,,,108355.59875,24666.17125,104385.3125,43177.51375,50891.09375,6461.9975,106511.545,14788.87375,$105354.71625,$11297.5625,$98670.9325,$9736.72875,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$108355.59875,$24666.17125,$104385.3125,$43177.51375,$508919375,$6461.9975,$106511.545,$14788.87375,1
2012,6037404600,Census Tract 4046,Irwindale,Los Angeles County,California,Irwindale,82310.30997,14988.66757,81870.21207000001,12372.08551,,,66473.45372,31555.019430000004,,,,,97021.5825,56352.535650000005,,,152533.93125000002,178997.15134,80990.01627000001,9879.53104,$82310.30997,$14988.66757,$81870.21207000001,$123728551,Not available,Not available,$66473.45372,$3155519430000004,Not available,Not available,Not available,Not available,$97021.5825,$56352.535650000005,Not available,Not available,$152533.93125000002,$178997.15134,$809901627000001,$9879.53104,1
2012,6037405002,Census Tract 4050.02,Irwindale,Los Angeles County,California,Irwindale,79551.0295,23099.80523,65847.98125000001,43372.314860000006,,,,,125694.6275,59445.22362,,,79647.05086,39902.2096,,,36181.3819,33952.886170000005,87311.42247,26831.30197,$79551295,$23099.80523,$65847.98125000001,$43372.314860000006,Not available,Not available,Not available,Not available,$125694.6275,$59445.22362,Not available,Not available,$796475086,$39902.2096,Not available,Not available,$36181.3819,$33952.886170000005,$87311.42247,$26831.30197,1
2012,6037405301,Census Tract 4053.01,Irwindale,Los Angeles County,California,Irwindale,67128.26605,9151.36906,65923.99816,21411.42965,68348.5375,51186.05303,,,82240.96121000001,150537.48714,,,51739.50948,22415.65304,,,64711.72849,50339.19798,56735.28746000001,10184.93231,$67128.26605,$9151.36906,$65923.99816,$21411.42965,$68348.5375,$511865303,Not available,Not available,$82240.96121000001,$150537.48714,Not available,Not available,$51739.50948,$22415.65304,Not available,Not available,$64711.72849,$50339.19798,$56735.28746000001,$10184.93231,1
