YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037300100,Census Tract 3001,La Cañada Flintridge,Los Angeles County,California,LaCanadaFlintridge,142250.0,16115.0,143959.0,16147.0,,,,,176320.0,82632.0,,,27356.0,30008.0,83074.0,54991.0,147788.0,17660.0,38855.0,55287.0,$142250,$16115,$143959,$16147,Not available,Not available,Not available,Not available,$176320,$82632,Not available,Not available,$27356,$30008,$83074,$54991,$147788,$17660,$38855,$55287
2010,6037300200,Census Tract 3002,La Cañada Flintridge,Los Angeles County,California,LaCanadaFlintridge,115088.0,13434.0,112863.0,17352.0,,,,,116505.0,19349.0,,,,,152201.0,78009.0,114503.0,16567.0,86053.0,80882.0,$115088,$13434,$112863,$17352,Not available,Not available,Not available,Not available,$116505,$19349,Not available,Not available,Not available,Not available,$152201,$78009,$114503,$16567,$86053,$80882
2010,6037300501,Census Tract 3005.01,La Cañada Flintridge,Los Angeles County,California,LaCanadaFlintridge,96220.0,17657.0,110639.0,17622.0,,,,,95808.0,29421.0,,,36603.0,50243.0,261084.0,149408.0,116856.0,15810.0,48639.0,27721.0,$96220,$17657,$110639,$17622,Not available,Not available,Not available,Not available,$95808,$29421,Not available,Not available,$36603,$50243,$261084,$149408,$116856,$15810,$48639,$27721
2010,6037300502,Census Tract 3005.02,La Cañada Flintridge,Los Angeles County,California,LaCanadaFlintridge,94679.0,19411.0,91636.0,18460.0,121176.0,61625.0,92576.0,11310.0,112630.0,50506.0,,,124058.0,64851.0,151580.0,165928.0,91254.0,21958.0,123157.0,86241.0,$94679,$19411,$91636,$18460,$121176,$61625,$92576,$11310,$112630,$50506,Not available,Not available,$124058,$64851,$151580,$165928,$91254,$21958,$123157,$86241
2010,6037300800,Census Tract 3008,La Cañada Flintridge,Los Angeles County,California,LaCanadaFlintridge,107030.0,15312.0,110347.0,12373.0,66650.0,81383.0,,,82987.0,34727.0,,,119420.0,166390.0,,,112694.0,14472.0,92004.0,68009.0,$107030,$15312,$110347,$12373,$66650,$81383,Not available,Not available,$82987,$34727,Not available,Not available,$119420,$166390,Not available,Not available,$112694,$14472,$92004,$68009
2010,6037460401,Census Tract 4604.01,La Cañada Flintridge,Los Angeles County,California,LaCanadaFlintridge,119476.0,22992.0,162738.0,133422.0,115712.0,30562.0,,,,,,,67613.0,53115.0,,,163910.0,217788.0,69018.0,50513.0,$119476,$22992,$162738,$133422,$115712,$30562,Not available,Not available,Not available,Not available,Not available,Not available,$67613,$53115,Not available,Not available,$163910,$217788,$69018,$50513
2010,6037460501,Census Tract 4605.01,La Cañada Flintridge,Los Angeles County,California,LaCanadaFlintridge,182694.0,31686.0,194350.0,64900.0,,,,,141497.0,60272.0,,,,,154192.0,156408.0,194643.0,65702.0,158495.0,190445.0,$182694,$31686,$194350,$64900,Not available,Not available,Not available,Not available,$141497,$60272,Not available,Not available,Not available,Not available,$154192,$156408,$194643,$65702,$158495,$190445
2010,6037460502,Census Tract 4605.02,La Cañada Flintridge,Los Angeles County,California,LaCanadaFlintridge,198156.0,37088.0,207696.0,61584.0,,,,,199180.0,112249.0,,,,,,,188964.0,56803.0,281690.0,327588.0,$198156,$37088,$207696,$61584,Not available,Not available,Not available,Not available,$199180,$112249,Not available,Not available,Not available,Not available,Not available,Not available,$188964,$56803,$281690,$327588
2010,6037460600,Census Tract 4606,La Cañada Flintridge,Los Angeles County,California,LaCanadaFlintridge,176496.0,13240.0,178336.0,17579.0,,,,,98127.0,229144.0,,,,,,,178210.0,15912.0,274549.0,261722.0,$176496,$13240,$178336,$17579,Not available,Not available,Not available,Not available,$98127,$229144,Not available,Not available,Not available,Not available,Not available,Not available,$178210,$15912,$274549,$261722
2010,6037460700,Census Tract 4607,La Cañada Flintridge,Los Angeles County,California,LaCanadaFlintridge,271805.0,35773.0,314501.0,53178.0,,,,,136786.0,98738.0,,,,,193179.0,227843.0,302940.0,49673.0,321248.0,33029.0,$271805,$35773,$314501,$53178,Not available,Not available,Not available,Not available,$136786,$98738,Not available,Not available,Not available,Not available,$193179,$227843,$302940,$49673,$321248,$33029
