YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037300100,Census Tract 3001,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,142250.0,16115.0,143959.0,16147.0,,,,,176320.0,82632.0,,,27356.0,30008.0,83074.0,54991.0,147788.0,17660.0,38855.0,55287.0,$142250,$16115,$143959,$16147,Not available,Not available,Not available,Not available,$176320,$82632,Not available,Not available,$27356,$30008,$83074,$54991,$147788,$17660,$38855,$55287
2010,6037300200,Census Tract 3002,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,115088.0,13434.0,112863.0,17352.0,,,,,116505.0,19349.0,,,,,152201.0,78009.0,114503.0,16567.0,86053.0,80882.0,$115088,$13434,$112863,$17352,Not available,Not available,Not available,Not available,$116505,$19349,Not available,Not available,Not available,Not available,$152201,$78009,$114503,$16567,$86053,$80882
2010,6037300501,Census Tract 3005.01,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,96220.0,17657.0,110639.0,17622.0,,,,,95808.0,29421.0,,,36603.0,50243.0,261084.0,149408.0,116856.0,15810.0,48639.0,27721.0,$96220,$17657,$110639,$17622,Not available,Not available,Not available,Not available,$95808,$29421,Not available,Not available,$36603,$50243,$261084,$149408,$116856,$15810,$48639,$27721
2010,6037300502,Census Tract 3005.02,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,94679.0,19411.0,91636.0,18460.0,121176.0,61625.0,92576.0,11310.0,112630.0,50506.0,,,124058.0,64851.0,151580.0,165928.0,91254.0,21958.0,123157.0,86241.0,$94679,$19411,$91636,$18460,$121176,$61625,$92576,$11310,$112630,$50506,Not available,Not available,$124058,$64851,$151580,$165928,$91254,$21958,$123157,$86241
2010,6037460600,Census Tract 4606,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,176496.0,13240.0,178336.0,17579.0,,,,,98127.0,229144.0,,,,,,,178210.0,15912.0,274549.0,261722.0,$176496,$13240,$178336,$17579,Not available,Not available,Not available,Not available,$98127,$229144,Not available,Not available,Not available,Not available,Not available,Not available,$178210,$15912,$274549,$261722
2011,6037300100,Census Tract 3001,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,148524.0,17931.0,148196.0,13272.0,,,,,188532.0,57773.0,,,46606.0,232507.0,83461.0,35386.0,148786.0,13170.0,76444.0,144892.0,$148524,$17931,$148196,$13272,Not available,Not available,Not available,Not available,$188532,$57773,Not available,Not available,$46606,$232507,$83461,$35386,$148786,$13170,$76444,$144892
2011,6037300200,Census Tract 3002,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,114852.0,10469.0,112146.0,16834.0,,,,,116006.0,12898.0,,,,,150824.0,75890.0,115122.0,15550.0,96002.0,42987.0,$114852,$10469,$112146,$16834,Not available,Not available,Not available,Not available,$116006,$12898,Not available,Not available,Not available,Not available,$150824,$75890,$115122,$15550,$96002,$42987
2011,6037300501,Census Tract 3005.01,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,100454.0,14737.0,96555.0,28789.0,,,,,122963.0,50508.0,,,30209.0,206092.0,262700.0,110890.0,103209.0,22277.0,47512.0,23421.0,$100454,$14737,$96555,$28789,Not available,Not available,Not available,Not available,$122963,$50508,Not available,Not available,$30209,$206092,$262700,$110890,$103209,$22277,$47512,$23421
2011,6037300502,Census Tract 3005.02,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,92077.0,12811.0,84379.0,9565.0,120835.0,59684.0,,,122861.0,55884.0,,,81241.0,85329.0,150146.0,172130.0,84056.0,10919.0,80865.0,47471.0,$92077,$12811,$84379,$9565,$120835,$59684,Not available,Not available,$122861,$55884,Not available,Not available,$81241,$85329,$150146,$172130,$84056,$10919,$80865,$47471
2011,6037460600,Census Tract 4606,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,188911.0,23165.0,188278.0,24785.0,,,,,189974.0,161874.0,,,,,,,188674.0,24511.0,128828.0,331899.0,$188911,$23165,$188278,$24785,Not available,Not available,Not available,Not available,$189974,$161874,Not available,Not available,Not available,Not available,Not available,Not available,$188674,$24511,$128828,$331899
2012,6037300100,Census Tract 3001,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,152726.0,28616.0,149323.0,23577.0,,,,,188598.0,83379.0,,,167537.0,232970.0,81830.0,38442.0,149869.0,29301.0,79260.0,178477.0,$152726,$28616,$149323,$23577,Not available,Not available,Not available,Not available,$188598,$83379,Not available,Not available,$167537,$232970,$81830,$38442,$149869,$29301,$79260,$178477
2012,6037300200,Census Tract 3002,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,111984.0,14002.0,110024.0,18493.0,,,,,112154.0,20962.0,,,148537.0,39913.0,,,112565.0,16888.0,99003.0,76644.0,$111984,$14002,$110024,$18493,Not available,Not available,Not available,Not available,$112154,$20962,Not available,Not available,$148537,$39913,Not available,Not available,$112565,$16888,$99003,$76644
2012,6037300501,Census Tract 3005.01,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,101689.0,12561.0,101875.0,36052.0,,,,,102571.0,32441.0,,,,,260391.0,241470.0,110778.0,30056.0,54665.0,36105.0,$101689,$12561,$101875,$36052,Not available,Not available,Not available,Not available,$102571,$32441,Not available,Not available,Not available,Not available,$260391,$241470,$110778,$30056,$54665,$36105
2012,6037300502,Census Tract 3005.02,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,90927.0,14371.0,80830.0,12440.0,140449.0,77244.0,,,133826.0,29345.0,,,77669.0,7459.0,68036.0,63650.0,82036.0,12153.0,52913.0,49606.0,$90927,$14371,$80830,$12440,$140449,$77244,Not available,Not available,$133826,$29345,Not available,Not available,$77669,$7459,$68036,$63650,$82036,$12153,$52913,$49606
2012,6037460600,Census Tract 4606,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,185967.0,22621.0,183559.0,25018.0,,,,,189834.0,100261.0,,,,,,,175539.0,26120.0,205147.0,117798.0,$185967,$22621,$183559,$25018,Not available,Not available,Not available,Not available,$189834,$100261,Not available,Not available,Not available,Not available,Not available,Not available,$175539,$26120,$205147,$117798
2013,6037300100,Census Tract 3001,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,161754.0,31258.0,158743.0,34509.0,,,,,189109.0,75364.0,,,,,83970.0,72572.0,158634.0,34784.0,168506.0,57766.0,$161754,$31258,$158743,$34509,Not available,Not available,Not available,Not available,$189109,$75364,Not available,Not available,Not available,Not available,$83970,$72572,$158634,$34784,$168506,$57766
2013,6037300200,Census Tract 3002,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,109178.0,20044.0,97602.0,18944.0,,,,,114014.0,22708.0,,,150501.0,82136.0,,,97993.0,22937.0,135891.0,83587.0,$109178,$20044,$97602,$18944,Not available,Not available,Not available,Not available,$114014,$22708,Not available,Not available,$150501,$82136,Not available,Not available,$97993,$22937,$135891,$83587
2013,6037300501,Census Tract 3005.01,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,120427.0,39798.0,126447.0,51730.0,,,,,131287.0,54627.0,,,,,40545.0,16745.0,144623.0,56997.0,57408.0,20963.0,$120427,$39798,$126447,$51730,Not available,Not available,Not available,Not available,$131287,$54627,Not available,Not available,Not available,Not available,$40545,$16745,$144623,$56997,$57408,$20963
2013,6037300502,Census Tract 3005.02,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,92123.0,16480.0,85168.0,17202.0,99938.0,81826.0,,,121906.0,35233.0,,,72995.0,40681.0,67843.0,120470.0,88575.0,18400.0,70066.0,43453.0,$92123,$16480,$85168,$17202,$99938,$81826,Not available,Not available,$121906,$35233,Not available,Not available,$72995,$40681,$67843,$120470,$88575,$18400,$70066,$43453
2013,6037460600,Census Tract 4606,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,191725.0,20098.0,198145.0,20903.0,,,,,187840.0,61583.0,,,,,,,198375.0,19190.0,160783.0,91578.0,$191725,$20098,$198145,$20903,Not available,Not available,Not available,Not available,$187840,$61583,Not available,Not available,Not available,Not available,Not available,Not available,$198375,$19190,$160783,$91578
2014,6037300100,Census Tract 3001,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,145177.0,19757.0,143269.0,18144.0,,,,,158222.0,96038.0,,,,,117268.0,103454.0,143220.0,18122.0,165780.0,40406.0,$145177,$19757,$143269,$18144,Not available,Not available,Not available,Not available,$158222,$96038,Not available,Not available,Not available,Not available,$117268,$103454,$143220,$18122,$165780,$40406
2014,6037300200,Census Tract 3002,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,99927.0,20022.0,96536.0,15837.0,,,,,99636.0,24061.0,,,147551.0,73903.0,162199.0,136163.0,95111.0,16371.0,147269.0,52094.0,$99927,$20022,$96536,$15837,Not available,Not available,Not available,Not available,$99636,$24061,Not available,Not available,$147551,$73903,$162199,$136163,$95111,$16371,$147269,$52094
2014,6037300501,Census Tract 3005.01,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,137337.0,24505.0,138025.0,20324.0,,,,,148873.0,56041.0,,,,,39766.0,19484.0,146517.0,47610.0,136490.0,114034.0,$137337,$24505,$138025,$20324,Not available,Not available,Not available,Not available,$148873,$56041,Not available,Not available,Not available,Not available,$39766,$19484,$146517,$47610,$136490,$114034
2014,6037300502,Census Tract 3005.02,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,93506.0,12431.0,87722.0,15552.0,104706.0,95983.0,,,135736.0,34742.0,,,41594.0,78254.0,100261.0,83455.0,90145.0,17070.0,50792.0,46580.0,$93506,$12431,$87722,$15552,$104706,$95983,Not available,Not available,$135736,$34742,Not available,Not available,$41594,$78254,$100261,$83455,$90145,$17070,$50792,$46580
2014,6037460600,Census Tract 4606,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,198049.0,13507.0,196495.0,15377.0,,,,,213574.0,59707.0,,,,,177033.0,161071.0,196581.0,15151.0,161186.0,93012.0,$198049,$13507,$196495,$15377,Not available,Not available,Not available,Not available,$213574,$59707,Not available,Not available,Not available,Not available,$177033,$161071,$196581,$15151,$161186,$93012
2015,6037300100,Census Tract 3001,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,149994.0,20393.0,145539.0,20428.0,,,,,200126.0,70841.0,,,,,118463.0,20037.0,141143.0,20804.0,208754.0,144306.0,$149994,$20393,$145539,$20428,Not available,Not available,Not available,Not available,$200126,$70841,Not available,Not available,Not available,Not available,$118463,$20037,$141143,$20804,$208754,$144306
2015,6037300200,Census Tract 3002,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,102459.0,16212.0,93171.0,18634.0,,,,,106021.0,21074.0,,,197689.0,108443.0,161619.0,115242.0,90230.0,20097.0,147642.0,75225.0,$102459,$16212,$93171,$18634,Not available,Not available,Not available,Not available,$106021,$21074,Not available,Not available,$197689,$108443,$161619,$115242,$90230,$20097,$147642,$75225
2015,6037300501,Census Tract 3005.01,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,98858.0,21101.0,96698.0,25084.0,,,,,122369.0,51144.0,,,,,,,94380.0,16602.0,137060.0,42202.0,$98858,$21101,$96698,$25084,Not available,Not available,Not available,Not available,$122369,$51144,Not available,Not available,Not available,Not available,Not available,Not available,$94380,$16602,$137060,$42202
2015,6037300502,Census Tract 3005.02,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,94679.0,15974.0,85366.0,16114.0,,,,,148957.0,24993.0,,,,,,,84418.0,16718.0,50917.0,47327.0,$94679,$15974,$85366,$16114,Not available,Not available,Not available,Not available,$148957,$24993,Not available,Not available,Not available,Not available,Not available,Not available,$84418,$16718,$50917,$47327
2015,6037460600,Census Tract 4606,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,194343.0,12297.0,194908.0,27007.0,,,,,191031.0,20495.0,,,,,255094.0,148775.0,194707.0,31216.0,203752.0,84851.0,$194343,$12297,$194908,$27007,Not available,Not available,Not available,Not available,$191031,$20495,Not available,Not available,Not available,Not available,$255094,$148775,$194707,$31216,$203752,$84851
2016,6037300100,Census Tract 3001,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,150641.0,24293.0,141999.0,23183.0,,,,,171230.0,63288.0,,,,,124877.0,42926.0,139376.0,21570.0,259115.0,137973.0,$150641,$24293,$141999,$23183,Not available,Not available,Not available,Not available,$171230,$63288,Not available,Not available,Not available,Not available,$124877,$42926,$139376,$21570,$259115,$137973
2016,6037300200,Census Tract 3002,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,105962.0,20338.0,95637.0,13752.0,,,,,111965.0,37134.0,,,148402.0,82686.0,142675.0,60379.0,94935.0,15727.0,146898.0,47914.0,$105962,$20338,$95637,$13752,Not available,Not available,Not available,Not available,$111965,$37134,Not available,Not available,$148402,$82686,$142675,$60379,$94935,$15727,$146898,$47914
2016,6037300501,Census Tract 3005.01,La Crescenta-Montrose,Los Angeles County,California,LaCrescenta-Montrose,109690.0,27792.0,104632.0,19979.0,,,,,128262.0,46286.0,,,,,,,100484.0,16184.0,135500.0,56599.0,$109690,$27792,$104632,$19979,Not available,Not available,Not available,Not available,$128262,$46286,Not available,Not available,Not available,Not available,Not available,Not available,$100484,$16184,$135500,$56599
