YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037503601,Census Tract 5036.01,La Mirada,Los Angeles County,California,LaMirada,110756.0,31622.0,119072.0,27601.0,,,,,66888.0,34883.0,,,121121.0,61874.0,84464.0,11025.0,117625.0,26803.0,130304.0,50680.0,$110756,$31622,$119072,$27601,,,,,$66888,$34883,,,$121121,$61874,$84464,$11025,$117625,$26803,$130304,$50680
2010,6037503602,Census Tract 5036.02,La Mirada,Los Angeles County,California,LaMirada,148203.0,10254.0,150724.0,11227.0,,,152054.0,293451.0,133956.0,92113.0,,,129195.0,80478.0,200121.0,150233.0,148203.0,9717.0,130160.0,31967.0,$148203,$10254,$150724,$11227,,,$152054,$293451,$133956,$92113,,,$129195,$80478,$200121,$150233,$148203,$9717,$130160,$31967
2010,6037503702,Census Tract 5037.02,La Mirada,Los Angeles County,California,LaMirada,129010.0,18509.0,127531.0,17997.0,,,,,137556.0,23579.0,,,61380.0,135673.0,,,121260.0,19053.0,130981.0,46811.0,$129010,$18509,$127531,$17997,,,,,$137556,$23579,,,$61380,$135673,,,$121260,$19053,$130981,$46811
2010,6037503703,Census Tract 5037.03,La Mirada,Los Angeles County,California,LaMirada,117322.0,16746.0,113136.0,20774.0,162422.0,435672.0,214221.0,474645.0,144197.0,47881.0,,,98524.0,113770.0,105914.0,228180.0,115758.0,22257.0,107297.0,43349.0,$117322,$16746,$113136,$20774,$162422,$435672,$214221,$474645,$144197,$47881,,,$98524,$113770,$105914,$228180,$115758,$22257,$107297,$43349
2010,6037503801,Census Tract 5038.01,La Mirada,Los Angeles County,California,LaMirada,113132.0,15146.0,113039.0,19900.0,271347.0,336974.0,,,66687.0,17498.0,,,170521.0,88507.0,,,128171.0,51325.0,94671.0,31896.0,$113132,$15146,$113039,$19900,$271347,$336974,,,$66687,$17498,,,$170521,$88507,,,$128171,$51325,$94671,$31896
2010,6037503802,Census Tract 5038.02,La Mirada,Los Angeles County,California,LaMirada,124942.0,16365.0,105952.0,20361.0,115523.0,139949.0,,,147606.0,59046.0,,,109823.0,18202.0,,,108015.0,63143.0,108672.0,9920.0,$124942,$16365,$105952,$20361,$115523,$139949,,,$147606,$59046,,,$109823,$18202,,,$108015,$63143,$108672,$9920
2010,6037503901,Census Tract 5039.01,La Mirada,Los Angeles County,California,LaMirada,124556.0,12860.0,124736.0,34828.0,,,,,145913.0,113859.0,,,121614.0,33168.0,116601.0,37524.0,121065.0,22947.0,130087.0,46369.0,$124556,$12860,$124736,$34828,,,,,$145913,$113859,,,$121614,$33168,$116601,$37524,$121065,$22947,$130087,$46369
2010,6037503902,Census Tract 5039.02,La Mirada,Los Angeles County,California,LaMirada,118911.0,16066.0,114990.0,26732.0,,,121896.0,2853.0,116740.0,51945.0,,,163703.0,44774.0,79995.0,36646.0,122094.0,27503.0,97319.0,68369.0,$118911,$16066,$114990,$26732,,,$121896,$2853,$116740,$51945,,,$163703,$44774,$79995,$36646,$122094,$27503,$97319,$68369
2010,6037504001,Census Tract 5040.01,La Mirada,Los Angeles County,California,LaMirada,108942.0,36928.0,123175.0,36014.0,75565.0,161580.0,,,122929.0,60922.0,,,94004.0,63746.0,70202.0,37456.0,112308.0,32164.0,96816.0,92500.0,$108942,$36928,$123175,$36014,$75565,$161580,,,$122929,$60922,,,$94004,$63746,$70202,$37456,$112308,$32164,$96816,$92500
2010,6037504002,Census Tract 5040.02,La Mirada,Los Angeles County,California,LaMirada,96616.0,20755.0,90905.0,19402.0,138734.0,58880.0,351265.0,594677.0,127962.0,62918.0,,,116179.0,61774.0,62944.0,131943.0,85210.0,14497.0,116601.0,42295.0,$96616,$20755,$90905,$19402,$138734,$58880,$351265,$594677,$127962,$62918,,,$116179,$61774,$62944,$131943,$85210,$14497,$116601,$42295
