YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037400204,Census Tract 4002.04,La Verne,Los Angeles County,California,LaVerne,162219.30146,24658.8998,169691.85457999998,19706.1,,,,,140679.22042,118767.35096,,,,,,,187864.82,24431.62278,113268.03532,20499.59896,$162219.30146,$24658.8998,$169691.85457999998,$19706.1,Not available,Not available,Not available,Not available,$140679.22042,$118767.35096,Not available,Not available,Not available,Not available,Not available,Not available,$187864.82,$24431.62278,$1132683532,$20499.59896,1
2013,6037400205,Census Tract 4002.05,La Verne,Los Angeles County,California,LaVerne,235196.24472,36671.73836,219164.6755,16646.39954,277368.61246,72318.75951999999,,,309624.87068,97437.46832,,,,,,,218565.61006,11296.85026,241164.56554,253195.79646,$235196.24472,$36671.73836,$219164.6755,$16646.39954,$277368.61246,$72318.75951999999,Not available,Not available,$309624.87068,$97437.46832,Not available,Not available,Not available,Not available,Not available,Not available,$218565.61006,$11296.85026,$241164.56554,$253195.79646,1
2013,6037400207,Census Tract 4002.07,La Verne,Los Angeles County,California,LaVerne,157894.46938,20207.94868,159982.00224,11304.7327,,,,,139013.3981,29011.32042,,,157813.0175,114790.65998,140610.90594,121369.8699,160213.22048,11472.89142,157813.0175,63330.15044,$157894.46938,$20207.94868,$1599820224,$11304.7327,Not available,Not available,Not available,Not available,$139013.3981,$29011.32042,Not available,Not available,$157813175,$114790.65998,$140610.90594,$121369.8699,$160213.22048,$11472.89142,$157813175,$63330.15044,1
2013,6037400302,Census Tract 4003.02,La Verne,Los Angeles County,California,LaVerne,89088.65062,31805.6454,93134.96982,35045.328239999995,15852.90058,292918.0391,,,174954.69702,148377.73682,,,40904.60864,67728.55196,113474.2925,55505.515,82812.91463999999,40084.83488,88267.56311999999,37081.62524,$89088.65062,$31805.6454,$93134.96982,$35045.328239999995,$15852.90058,$292918391,Not available,Not available,$174954.69702,$148377.73682,Not available,Not available,$40904.60864,$67728.55196,$113474.2925,$55505.515,$82812.91463999999,$40084.83488,$88267.56311999999,$37081.62524,1
2013,6037400304,Census Tract 4003.04,La Verne,Los Angeles County,California,LaVerne,96947.4433,10256.36818,96201.23898,12631.6101,101366.86466,41310.5543,,,31436.48446,107592.67852,,,105292.31978,134119.7166,,,96142.12068,12014.1523,106934.49478,47860.86194,$96947.4433,$10256.36818,$96201.23898,$12631.6101,$101366.86466,$41310.5543,Not available,Not available,$31436.48446,$107592.67852,Not available,Not available,$105292.31978,$134119.7166,Not available,Not available,$96142.12068,$12014.1523,$106934.49478,$47860.86194,1
2013,6037401304,Census Tract 4013.04,La Verne,Los Angeles County,California,LaVerne,129027.66036,29133.49824,139382.55904,26253.78016,,,,,111302.68028,65715.90228,,,,,,,122730.90454,35573.45172,140115.62595999998,68696.77833999999,$129027.66036,$29133.49824,$139382.55904,$26253.78016,Not available,Not available,Not available,Not available,$111302.68028,$65715.90228,Not available,Not available,Not available,Not available,Not available,Not available,$122730.90454,$35573.45172,$140115.62595999998,$68696.77833999999,1
2013,6037401500,Census Tract 4015,La Verne,Los Angeles County,California,LaVerne,73562.8713,12718.31694,71199.45304,10266.8781,63885.86246,52230.36118,68698.09208,50459.43966,119492.53544,17284.87718,,,77798.36906,60376.86291999999,110175.49136,102571.56424,72412.03506,15461.40606,71639.55593999999,24903.25544,$73562.8713,$12718.31694,$71199.45304,$10266.8781,$63885.86246,$52230.36118,$686989208,$50459.43966,$119492.53544,$17284.87718,Not available,Not available,$77798.36906,$60376.86291999999,$110175.49136,$102571.56424,$724123506,$15461.40606,$71639.55593999999,$24903.25544,1
2013,6037401601,Census Tract 4016.01,La Verne,Los Angeles County,California,LaVerne,86647.7217,16450.65228,74554.745,19784.9244,57612.75396,76637.0229,,,88609.13552,82384.6354,,,161278.66361999998,111196.26734,,,69538.88567999999,12840.49476,127151.63964,28663.17932,$86647.7217,$16450.65228,$74554.745,$19784.9244,$57612.75396,$76637229,Not available,Not available,$88609.13552,$82384.6354,Not available,Not available,$161278.66361999998,$111196.26734,Not available,Not available,$69538.88567999999,$12840.49476,$127151.63964,$28663.17932,1
2013,6037401602,Census Tract 4016.02,La Verne,Los Angeles County,California,LaVerne,82297.92856,9351.20132,82724.89405999999,11303.41896,84818.99561999999,36826.75968,,,48239.21906,92785.51498,,,67511.78486,52422.16722,,,87719.73354,21597.8856,75965.70176,15856.841799999998,$82297.92856,$9351.20132,$82724.89405999999,$11303.41896,$84818.99561999999,$36826.75968,Not available,Not available,$48239.21906,$92785.51498,Not available,Not available,$67511.78486,$52422.16722,Not available,Not available,$87719.73354,$21597.8856,$75965.70176,$15856.841799999998,1
2013,6037401603,Census Tract 4016.03,La Verne,Los Angeles County,California,LaVerne,76556.88476,15988.215799999998,75618.8744,17185.032939999997,,,,,99023.1525,40390.9363,,,,,,,72739.15632,17354.5054,77886.38964,40439.54468,$76556.88476,$15988.215799999998,$75618.8744,$1718532939999997,Not available,Not available,Not available,Not available,$99023.1525,$40390.9363,Not available,Not available,Not available,Not available,Not available,Not available,$72739.15632,$17354.5054,$77886.38964,$40439.54468,1
