YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037236000,Census Tract 2360,Ladera Heights,Los Angeles County,California,LaderaHeights,95465.0,10184.0,102709.0,21930.0,94644.0,15022.0,,,97898.0,47153.0,,,64157.0,108365.0,81350.0,42329.0,101905.0,22390.0,112685.0,108819.0,$95465,$10184,$102709,$21930,$94644,$15022,,,$97898,$47153,,,$64157,$108365,$81350,$42329,$101905,$22390,$112685,$108819
2010,6037702502,Census Tract 7025.02,Ladera Heights,Los Angeles County,California,LaderaHeights,106511.0,9494.0,103593.0,7144.0,86357.0,63158.0,,,135115.0,58795.0,,,113131.0,52546.0,240113.0,1050.0,103730.0,13350.0,106006.0,40052.0,$106511,$9494,$103593,$7144,$86357,$63158,,,$135115,$58795,,,$113131,$52546,$240113,$1050,$103730,$13350,$106006,$40052
2010,6037703001,Census Tract 7030.01,Ladera Heights,Los Angeles County,California,LaderaHeights,102929.0,12880.0,103781.0,13965.0,89872.0,42963.0,,,95116.0,46490.0,,,107443.0,23504.0,60639.0,111143.0,109644.0,22778.0,101652.0,37845.0,$102929,$12880,$103781,$13965,$89872,$42963,,,$95116,$46490,,,$107443,$23504,$60639,$111143,$109644,$22778,$101652,$37845
2010,6037703002,Census Tract 7030.02,Ladera Heights,Los Angeles County,California,LaderaHeights,137576.0,17410.0,185350.0,68807.0,132832.0,20137.0,125701.0,40193.0,80058.0,100052.0,,,,,253482.0,221238.0,168349.0,65214.0,,,$137576,$17410,$185350,$68807,$132832,$20137,$125701,$40193,$80058,$100052,,,,,$253482,$221238,$168349,$65214,,
2011,6037236000,Census Tract 2360,Ladera Heights,Los Angeles County,California,LaderaHeights,89599.0,8900.0,108831.0,37056.0,84967.0,13986.0,,,88762.0,45964.0,,,123960.0,32978.0,69825.0,55078.0,100109.0,41917.0,123058.0,23600.0,$89599,$8900,$108831,$37056,$84967,$13986,,,$88762,$45964,,,$123960,$32978,$69825,$55078,$100109,$41917,$123058,$23600
2011,6037702502,Census Tract 7025.02,Ladera Heights,Los Angeles County,California,LaderaHeights,110672.0,16996.0,114749.0,22353.0,134196.0,61532.0,,,87357.0,81538.0,,,93529.0,22365.0,90048.0,39327.0,122004.0,20394.0,93952.0,28527.0,$110672,$16996,$114749,$22353,$134196,$61532,,,$87357,$81538,,,$93529,$22365,$90048,$39327,$122004,$20394,$93952,$28527
2011,6037703001,Census Tract 7030.01,Ladera Heights,Los Angeles County,California,LaderaHeights,100399.0,12339.0,110273.0,20918.0,72963.0,50074.0,,,84870.0,33943.0,,,108047.0,30773.0,91589.0,48581.0,118525.0,26162.0,104318.0,6279.0,$100399,$12339,$110273,$20918,$72963,$50074,,,$84870,$33943,,,$108047,$30773,$91589,$48581,$118525,$26162,$104318,$6279
2011,6037703002,Census Tract 7030.02,Ladera Heights,Los Angeles County,California,LaderaHeights,143901.0,17306.0,150274.0,67748.0,139506.0,20211.0,,,48368.0,120605.0,,,,,130517.0,124278.0,147939.0,62064.0,,,$143901,$17306,$150274,$67748,$139506,$20211,,,$48368,$120605,,,,,$130517,$124278,$147939,$62064,,
2012,6037236000,Census Tract 2360,Ladera Heights,Los Angeles County,California,LaderaHeights,88155.0,9581.0,109947.0,15524.0,84466.0,9628.0,,,89439.0,67365.0,,,98499.0,57423.0,71529.0,22742.0,109292.0,24793.0,108323.0,19925.0,$88155,$9581,$109947,$15524,$84466,$9628,,,$89439,$67365,,,$98499,$57423,$71529,$22742,$109292,$24793,$108323,$19925
2012,6037702502,Census Tract 7025.02,Ladera Heights,Los Angeles County,California,LaderaHeights,109605.0,10932.0,108592.0,17915.0,139401.0,56591.0,,,107373.0,119524.0,,,110945.0,84970.0,88258.0,46740.0,117703.0,20629.0,107536.0,56870.0,$109605,$10932,$108592,$17915,$139401,$56591,,,$107373,$119524,,,$110945,$84970,$88258,$46740,$117703,$20629,$107536,$56870
