YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037900102,Census Tract 9001.02,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,44338.725,25885.93296,49721.11777999999,24779.76388,,,,,,,,,9305.22042,10462.62536,,,48772.5975,25093.74774,26686.00062,49034.03176,$44338.725,$25885.93296,$49721.11777999999,$24779.76388,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$9305.22042,$10462.62536,Not available,Not available,$48772.5975,$25093.74774,$266860062,$490343176,1
2013,6037900103,Census Tract 9001.03,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,57314.53498,9931.8744,58989.55348,10808.13898,69909.36035999999,86236.52107999999,,,47429.95522,65086.62082,,,52632.36562,16708.14532,,,60709.23914,23364.8659,56078.30564,8812.56792,$57314.53498,$9931.8744,$58989.55348,$10808.13898,$69909.36035999999,$86236.52107999999,Not available,Not available,$47429.95522,$65086.62082,Not available,Not available,$52632.36562,$16708.14532,Not available,Not available,$60709.23914,$23364.8659,$56078.30564,$8812.56792,1
2013,6037900104,Census Tract 9001.04,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,56276.68038,7460.72946,55424.06312,8385.60242,138147.64344,84656.09186,,,,,,,52569.3061,14811.104759999998,115116.4675,121800.77662,59055.24047999999,16131.41346,53731.96599999999,3628.54988,$56276.68038,$7460.72946,$554246312,$8385.60242,$138147.64344,$846569186,Not available,Not available,Not available,Not available,Not available,Not available,$52569.3061,$14811.104759999998,$115116.4675,$121800.77662,$59055.24047999999,$16131.41346,$53731.96599999999,$3628.54988,1
2011,6037900102,Census Tract 9001.02,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,80159.49,29278.12608,86196.46968000001,26086.7232,16678.62,34574.43888,,,,,,,,,3402.4384800000003,,78075.00288,53347.07664,87097.79592,26816.49792,$80159.49,$29278.12608,$86196.46968000001,$26086.7232,$16678.62,$34574.43888,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$3402.4384800000003,Not available,$780750288,$533477664,$87097.79592,$26816.49792,1
2011,6037900103,Census Tract 9001.03,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,63597.96072,14643.1476,76047.6996,22583.53224,53006.69664,10750.56192,,,43948.50408,10113.37056,,,47440.80288,15466.8672,,,96522.23736,41375.23128,60511.39488,12972.56256,$63597.96072,$14643.1476,$76047.6996,$22583.53224,$53006.69664,$10750.56192,Not available,Not available,$43948.50408,$10113.37056,Not available,Not available,$47440.80288,$15466.8672,Not available,Not available,$96522.23736,$41375.23128,$60511.39488,$12972.56256,1
2011,6037900104,Census Tract 9001.04,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,59785.70472,6043.7872800000005,61791.22368,16475.753520000002,84122.87472,118525.76208,,,,,,,54765.78048,11458.55232,60574.0248,111911.49792,63617.022,27162.324,56162.7,9762.0984,$59785.70472,$6043.7872800000005,$61791.22368,$16475.753520000002,$84122.87472,$118525.76208,Not available,Not available,Not available,Not available,Not available,Not available,$54765.78048,$11458.55232,$60574248,$111911.49792,$6361722,$27162.324,$56162.7,$9762984,1
2022,6037900102,Census Tract 9001.02,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,47878.7575,8908.935,57558.2175,33760.44875,,,,,,,,,43521.12625,29012.34875,48110.95625,809.05125,57847.685,47453.9275,47274.8325,6762.91875,$47878.7575,$8908.935,$57558.2175,$33760.44875,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$43521.12625,$29012.34875,$48110.95625,$8095125,$57847.685,$47453.9275,$47274.8325,$6762.91875,1
2022,6037900103,Census Tract 9001.03,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,61885.6525,7600.08375,60609.08,15760.36,55995.30125,36770.7025,,,,,,,71625.505,10423.95375,65534.1925,8008.25375,61297.34625,25642.86375,64883.41125,14679.5425,$61885.6525,$76008375,$606098,$15760.36,$55995.30125,$36770.7025,Not available,Not available,Not available,Not available,Not available,Not available,$71625.505,$10423.95375,$65534.1925,$8008.25375,$61297.34625,$25642.86375,$64883.41125,$14679.5425,1
2022,6037900104,Census Tract 9001.04,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,60361.2625,3312.21625,57998.66625,4817.86375,,,,,112706.9825,21403.935,,,76044.57,36433.3375,81629.835,24743.22375,60617.41,1749.3,59128.4225,14237.01125,$60361.2625,$3312.21625,$57998.66625,$4817.86375,Not available,Not available,Not available,Not available,$112706.9825,$21403.935,Not available,Not available,$76044.57,$36433.3375,$81629.835,$24743.22375,$60617.41,$1749.3,$59128.4225,$142371125,1
2012,6037900102,Census Tract 9001.02,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,52095.58869,32097.80684,68943.33648,37532.34909,16336.9675,38177.82601,,,,,,,8841.966900000001,824.18334,3332.74137,,53762.62619,34491.67269,51863.537070000006,90910.88984,$52095.58869,$32097.80684,$68943.33648,$37532.34909,$16336.9675,$38177.82601,Not available,Not available,Not available,Not available,Not available,Not available,$8841.966900000001,$824.18334,$3332.74137,Not available,$53762.62619,$34491.67269,$51863.537070000006,$90910.88984,1
