YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037900201,Census Tract 9002.01,Lancaster,Los Angeles County,California,Lancaster,53504.0,6687.0,59019.0,13023.0,,,,,3614.0,,,,52232.0,3364.0,,,67268.0,27451.0,50997.0,14834.0,$53504,$6687,$59019,$13023,,,,,$3614,,,,$52232,$3364,,,$67268,$27451,$50997,$14834
2010,6037900300,Census Tract 9003,Lancaster,Los Angeles County,California,Lancaster,62756.0,19015.0,54384.0,20069.0,144772.0,144463.0,,,49381.0,12586.0,,,120009.0,10502.0,,,53792.0,23796.0,78864.0,80012.0,$62756,$19015,$54384,$20069,$144772,$144463,,,$49381,$12586,,,$120009,$10502,,,$53792,$23796,$78864,$80012
2010,6037900501,Census Tract 9005.01,Lancaster,Los Angeles County,California,Lancaster,67575.0,8546.0,66559.0,14691.0,65803.0,38780.0,,,78048.0,63282.0,,,61148.0,13988.0,,,79377.0,17533.0,59159.0,17352.0,$67575,$8546,$66559,$14691,$65803,$38780,,,$78048,$63282,,,$61148,$13988,,,$79377,$17533,$59159,$17352
2010,6037900504,Census Tract 9005.04,Lancaster,Los Angeles County,California,Lancaster,85120.0,2467.0,85723.0,15107.0,80215.0,25429.0,,,87032.0,16692.0,,,85473.0,6076.0,109913.0,121043.0,89666.0,27928.0,84598.0,2778.0,$85120,$2467,$85723,$15107,$80215,$25429,,,$87032,$16692,,,$85473,$6076,$109913,$121043,$89666,$27928,$84598,$2778
2010,6037900505,Census Tract 9005.05,Lancaster,Los Angeles County,California,Lancaster,88305.0,16316.0,79935.0,33885.0,89737.0,12919.0,,,114149.0,121166.0,,,3614.0,,10421.0,266210.0,97879.0,38043.0,32690.0,68212.0,$88305,$16316,$79935,$33885,$89737,$12919,,,$114149,$121166,,,$3614,,$10421,$266210,$97879,$38043,$32690,$68212
2010,6037900506,Census Tract 9005.06,Lancaster,Los Angeles County,California,Lancaster,74797.0,8460.0,75216.0,13370.0,68059.0,68458.0,,,39661.0,178446.0,,,60109.0,161870.0,74420.0,47935.0,117129.0,59511.0,72855.0,24874.0,$74797,$8460,$75216,$13370,$68059,$68458,,,$39661,$178446,,,$60109,$161870,$74420,$47935,$117129,$59511,$72855,$24874
2010,6037900507,Census Tract 9005.07,Lancaster,Los Angeles County,California,Lancaster,56126.0,5457.0,56194.0,4875.0,52997.0,11176.0,,,79863.0,74528.0,,,54635.0,114282.0,59309.0,14297.0,54378.0,16169.0,65582.0,17057.0,$56126,$5457,$56194,$4875,$52997,$11176,,,$79863,$74528,,,$54635,$114282,$59309,$14297,$54378,$16169,$65582,$17057
2010,6037900508,Census Tract 9005.08,Lancaster,Los Angeles County,California,Lancaster,106208.0,37716.0,96535.0,33831.0,141187.0,235557.0,,,132686.0,34354.0,,,67891.0,59285.0,,,146599.0,71310.0,84028.0,31678.0,$106208,$37716,$96535,$33831,$141187,$235557,,,$132686,$34354,,,$67891,$59285,,,$146599,$71310,$84028,$31678
2010,6037900602,Census Tract 9006.02,Lancaster,Los Angeles County,California,Lancaster,45248.0,12863.0,38676.0,11805.0,59255.0,40436.0,,,23903.0,417096.0,,,38950.0,22010.0,,,45194.0,16318.0,37774.0,12108.0,$45248,$12863,$38676,$11805,$59255,$40436,,,$23903,$417096,,,$38950,$22010,,,$45194,$16318,$37774,$12108
2010,6037900605,Census Tract 9006.05,Lancaster,Los Angeles County,California,Lancaster,55478.0,11134.0,48924.0,10028.0,74764.0,29483.0,,,81784.0,53208.0,,,58552.0,25419.0,94305.0,161948.0,46518.0,13071.0,60861.0,20976.0,$55478,$11134,$48924,$10028,$74764,$29483,,,$81784,$53208,,,$58552,$25419,$94305,$161948,$46518,$13071,$60861,$20976
2010,6037900606,Census Tract 9006.06,Lancaster,Los Angeles County,California,Lancaster,54670.0,12192.0,60611.0,21760.0,39891.0,19304.0,13446.0,12636.0,,,,,35334.0,83385.0,,,60971.0,27542.0,53782.0,37339.0,$54670,$12192,$60611,$21760,$39891,$19304,$13446,$12636,,,,,$35334,$83385,,,$60971,$27542,$53782,$37339
2010,6037900607,Census Tract 9006.07,Lancaster,Los Angeles County,California,Lancaster,52425.0,3942.0,51498.0,6161.0,53208.0,89356.0,,,163514.0,89113.0,,,25102.0,36158.0,,,56157.0,7700.0,38848.0,17729.0,$52425,$3942,$51498,$6161,$53208,$89356,,,$163514,$89113,,,$25102,$36158,,,$56157,$7700,$38848,$17729
2010,6037900608,Census Tract 9006.08,Lancaster,Los Angeles County,California,Lancaster,79814.0,31778.0,101597.0,22220.0,25401.0,11214.0,,,,,,,27313.0,2629.0,,,123652.0,25458.0,65248.0,25507.0,$79814,$31778,$101597,$22220,$25401,$11214,,,,,,,$27313,$2629,,,$123652,$25458,$65248,$25507
2010,6037900609,Census Tract 9006.09,Lancaster,Los Angeles County,California,Lancaster,61164.0,20123.0,80579.0,11213.0,29640.0,5750.0,20695.0,103032.0,162985.0,172199.0,,,64422.0,32204.0,,,92197.0,18311.0,59487.0,6582.0,$61164,$20123,$80579,$11213,$29640,$5750,$20695,$103032,$162985,$172199,,,$64422,$32204,,,$92197,$18311,$59487,$6582
