YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037601501,Census Tract 6015.01,Lennox,Los Angeles County,California,Lennox,40766.0,12558.0,55409.0,26192.0,24687.0,17598.0,,,,,,,50417.0,27164.0,,,,,52606.0,16127.0,$40766,$12558,$55409,$26192,$24687,$17598,,,,,,,$50417,$27164,,,,,$52606,$16127
2010,6037601502,Census Tract 6015.02,Lennox,Los Angeles County,California,Lennox,51679.0,15839.0,40328.0,20169.0,62461.0,33279.0,,,3614.0,,,,52858.0,12348.0,,,30732.0,10176.0,53211.0,9522.0,$51679,$15839,$40328,$20169,$62461,$33279,,,$3614,,,,$52858,$12348,,,$30732,$10176,$53211,$9522
2010,6037601600,Census Tract 6016,Lennox,Los Angeles County,California,Lennox,49234.0,5298.0,51134.0,5412.0,30732.0,63399.0,,,,,,,48262.0,10014.0,,,48262.0,16782.0,50061.0,7769.0,$49234,$5298,$51134,$5412,$30732,$63399,,,,,,,$48262,$10014,,,$48262,$16782,$50061,$7769
2010,6037601700,Census Tract 6017,Lennox,Los Angeles County,California,Lennox,44743.0,8076.0,58116.0,9466.0,18635.0,30697.0,,,10569.0,22354.0,,,43959.0,14681.0,46837.0,153602.0,149141.0,151769.0,48363.0,5313.0,$44743,$8076,$58116,$9466,$18635,$30697,,,$10569,$22354,,,$43959,$14681,$46837,$153602,$149141,$151769,$48363,$5313
2010,6037601801,Census Tract 6018.01,Lennox,Los Angeles County,California,Lennox,64296.0,16545.0,92622.0,45718.0,74355.0,55808.0,,,,,,,51799.0,23818.0,14312.0,122637.0,42483.0,161047.0,62971.0,17768.0,$64296,$16545,$92622,$45718,$74355,$55808,,,,,,,$51799,$23818,$14312,$122637,$42483,$161047,$62971,$17768
2010,6037601802,Census Tract 6018.02,Lennox,Los Angeles County,California,Lennox,62315.0,10659.0,62756.0,24009.0,65901.0,98240.0,,,,,,,62310.0,15318.0,20859.0,30750.0,96391.0,22816.0,61571.0,15383.0,$62315,$10659,$62756,$24009,$65901,$98240,,,,,,,$62310,$15318,$20859,$30750,$96391,$22816,$61571,$15383
2011,6037601501,Census Tract 6015.01,Lennox,Los Angeles County,California,Lennox,45157.0,10161.0,57317.0,9240.0,37910.0,8895.0,,,,,,,38441.0,29526.0,,,22580.0,39419.0,54212.0,12398.0,$45157,$10161,$57317,$9240,$37910,$8895,,,,,,,$38441,$29526,,,$22580,$39419,$54212,$12398
2011,6037601502,Census Tract 6015.02,Lennox,Los Angeles County,California,Lennox,53638.0,11441.0,46992.0,14160.0,40585.0,26300.0,74694.0,50867.0,3502.0,,,,62310.0,12827.0,,,36205.0,247653.0,55576.0,12300.0,$53638,$11441,$46992,$14160,$40585,$26300,$74694,$50867,$3502,,,,$62310,$12827,,,$36205,$247653,$55576,$12300
2011,6037601600,Census Tract 6016,Lennox,Los Angeles County,California,Lennox,46770.0,7219.0,49412.0,16004.0,22878.0,11890.0,,,,,,,47924.0,8401.0,,,51283.0,78258.0,47083.0,7277.0,$46770,$7219,$49412,$16004,$22878,$11890,,,,,,,$47924,$8401,,,$51283,$78258,$47083,$7277
2011,6037601700,Census Tract 6017,Lennox,Los Angeles County,California,Lennox,45270.0,6772.0,55403.0,14796.0,60003.0,96256.0,29094.0,14558.0,,,,,42388.0,18335.0,45049.0,144093.0,,,46238.0,5847.0,$45270,$6772,$55403,$14796,$60003,$96256,$29094,$14558,,,,,$42388,$18335,$45049,$144093,,,$46238,$5847
