YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037901213,Census Tract 9012.13,Leona Valley,Los Angeles County,California,LeonaValley,152495.0,45288.0,159520.0,38840.0,78389.0,26494.0,,,224205.0,196412.0,,,,,17251.0,170960.0,153490.0,46099.0,218449.0,93694.0,$152495,$45288,$159520,$38840,$78389,$26494,Not available,Not available,$224205,$196412,Not available,Not available,Not available,Not available,$17251,$170960,$153490,$46099,$218449,$93694
2010,6037910206,Census Tract 9102.06,Leona Valley,Los Angeles County,California,LeonaValley,107455.0,18048.0,112395.0,28106.0,96590.0,58667.0,,,130074.0,53489.0,,,89565.0,59089.0,,,118781.0,60575.0,77947.0,19605.0,$107455,$18048,$112395,$28106,$96590,$58667,Not available,Not available,$130074,$53489,Not available,Not available,$89565,$59089,Not available,Not available,$118781,$60575,$77947,$19605
2010,6037910302,Census Tract 9103.02,Leona Valley,Los Angeles County,California,LeonaValley,135942.0,9745.0,133688.0,13950.0,157158.0,57080.0,,,179311.0,207482.0,,,116287.0,6003.0,51932.0,148655.0,133688.0,19624.0,117901.0,23448.0,$135942,$9745,$133688,$13950,$157158,$57080,Not available,Not available,$179311,$207482,Not available,Not available,$116287,$6003,$51932,$148655,$133688,$19624,$117901,$23448
2010,6037920012,Census Tract 9200.12,Leona Valley,Los Angeles County,California,LeonaValley,133520.0,52237.0,121468.0,39812.0,,,,,,,,,,,232214.0,159237.0,121468.0,39812.0,79223.0,29987.0,$133520,$52237,$121468,$39812,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$232214,$159237,$121468,$39812,$79223,$29987
2011,6037901213,Census Tract 9012.13,Leona Valley,Los Angeles County,California,LeonaValley,145229.0,29798.0,153570.0,23172.0,78791.0,46474.0,,,194868.0,99572.0,,,5673.0,101169.0,15924.0,111014.0,147214.0,29571.0,156386.0,93129.0,$145229,$29798,$153570,$23172,$78791,$46474,Not available,Not available,$194868,$99572,Not available,Not available,$5673,$101169,$15924,$111014,$147214,$29571,$156386,$93129
2011,6037910206,Census Tract 9102.06,Leona Valley,Los Angeles County,California,LeonaValley,110504.0,7859.0,110867.0,13216.0,106901.0,45853.0,,,104242.0,23366.0,,,114271.0,57304.0,,,113046.0,32487.0,109240.0,66065.0,$110504,$7859,$110867,$13216,$106901,$45853,Not available,Not available,$104242,$23366,Not available,Not available,$114271,$57304,Not available,Not available,$113046,$32487,$109240,$66065
2011,6037910302,Census Tract 9103.02,Leona Valley,Los Angeles County,California,LeonaValley,110624.0,17151.0,104321.0,17221.0,142332.0,57840.0,,,141768.0,268817.0,,,115191.0,14551.0,175296.0,160425.0,102114.0,16523.0,120143.0,25447.0,$110624,$17151,$104321,$17221,$142332,$57840,Not available,Not available,$141768,$268817,Not available,Not available,$115191,$14551,$175296,$160425,$102114,$16523,$120143,$25447
2011,6037920012,Census Tract 9200.12,Leona Valley,Los Angeles County,California,LeonaValley,132805.0,34028.0,133259.0,44131.0,,,,,,,,,,,121620.0,135542.0,133486.0,41842.0,76075.0,35489.0,$132805,$34028,$133259,$44131,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$121620,$135542,$133486,$41842,$76075,$35489
2012,6037901213,Census Tract 9012.13,Leona Valley,Los Angeles County,California,LeonaValley,141698.0,26853.0,149641.0,25599.0,81395.0,34446.0,,,198192.0,31463.0,,,9526.0,164565.0,15537.0,117694.0,143199.0,28694.0,132321.0,66635.0,$141698,$26853,$149641,$25599,$81395,$34446,Not available,Not available,$198192,$31463,Not available,Not available,$9526,$164565,$15537,$117694,$143199,$28694,$132321,$66635
2012,6037910206,Census Tract 9102.06,Leona Valley,Los Angeles County,California,LeonaValley,115767.0,20422.0,112630.0,30866.0,116051.0,40700.0,,,120027.0,53819.0,,,129594.0,23108.0,108357.0,127214.0,118065.0,64082.0,113692.0,31172.0,$115767,$20422,$112630,$30866,$116051,$40700,Not available,Not available,$120027,$53819,Not available,Not available,$129594,$23108,$108357,$127214,$118065,$64082,$113692,$31172
