YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,66473.0,11179.0,59989.0,8324.0,71795.0,42170.0,,,,,,,74263.0,14657.0,70226.0,169104.0,62519.0,15590.0,66493.0,15757.0,$66473,$11179,$59989,$8324,$71795,$42170,,,,,,,$74263,$14657,$70226,$169104,$62519,$15590,$66493,$15757
2010,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,88468.0,22911.0,78781.0,15298.0,106017.0,96647.0,,,159521.0,113846.0,,,100300.0,21654.0,39710.0,42697.0,61464.0,33160.0,97756.0,24542.0,$88468,$22911,$78781,$15298,$106017,$96647,,,$159521,$113846,,,$100300,$21654,$39710,$42697,$61464,$33160,$97756,$24542
2010,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,77034.0,22807.0,87359.0,22495.0,91462.0,87686.0,,,3614.0,,,,44866.0,10429.0,72804.0,163048.0,94117.0,21981.0,50236.0,26048.0,$77034,$22807,$87359,$22495,$91462,$87686,,,$3614,,,,$44866,$10429,$72804,$163048,$94117,$21981,$50236,$26048
2011,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,71347.0,15310.0,66254.0,42125.0,45308.0,46294.0,,,,,,,73058.0,17564.0,68324.0,195222.0,95917.0,42036.0,64439.0,14556.0,$71347,$15310,$66254,$42125,$45308,$46294,,,,,,,$73058,$17564,$68324,$195222,$95917,$42036,$64439,$14556
2011,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,78943.0,10338.0,77522.0,10146.0,88471.0,158945.0,,,99724.0,47423.0,,,86865.0,28285.0,56177.0,176287.0,77412.0,29869.0,82121.0,17890.0,$78943,$10338,$77522,$10146,$88471,$158945,,,$99724,$47423,,,$86865,$28285,$56177,$176287,$77412,$29869,$82121,$17890
2011,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,74018.0,12629.0,79400.0,19152.0,92799.0,71280.0,,,58769.0,253777.0,,,37576.0,9574.0,75650.0,171466.0,83040.0,22794.0,48341.0,27502.0,$74018,$12629,$79400,$19152,$92799,$71280,,,$58769,$253777,,,$37576,$9574,$75650,$171466,$83040,$22794,$48341,$27502
2012,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,68702.0,17588.0,65604.0,36719.0,77258.0,70978.0,,,70847.0,265975.0,,,63256.0,23540.0,59080.0,112171.0,90854.0,34614.0,56358.0,8782.0,$68702,$17588,$65604,$36719,$77258,$70978,,,$70847,$265975,,,$63256,$23540,$59080,$112171,$90854,$34614,$56358,$8782
2012,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,72808.0,7478.0,75248.0,12373.0,51137.0,36364.0,,,71644.0,148211.0,,,79852.0,20915.0,42900.0,118940.0,79771.0,12723.0,74818.0,11875.0,$72808,$7478,$75248,$12373,$51137,$36364,,,$71644,$148211,,,$79852,$20915,$42900,$118940,$79771,$12723,$74818,$11875
2012,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,70425.0,9396.0,73830.0,11608.0,91281.0,25967.0,,,60382.0,72723.0,,,30513.0,18298.0,74475.0,216036.0,74932.0,14332.0,39579.0,6651.0,$70425,$9396,$73830,$11608,$91281,$25967,,,$60382,$72723,,,$30513,$18298,$74475,$216036,$74932,$14332,$39579,$6651
2013,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,70407.0,16023.0,75881.0,32256.0,76776.0,86651.0,,,69567.0,206577.0,,,55715.0,21421.0,67877.0,159906.0,79052.0,34363.0,55006.0,12677.0,$70407,$16023,$75881,$32256,$76776,$86651,,,$69567,$206577,,,$55715,$21421,$67877,$159906,$79052,$34363,$55006,$12677
2013,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,71843.0,8420.0,80175.0,9952.0,44719.0,32625.0,,,,,,,76020.0,10174.0,25236.0,163621.0,80851.0,31556.0,74427.0,9899.0,$71843,$8420,$80175,$9952,$44719,$32625,,,,,,,$76020,$10174,$25236,$163621,$80851,$31556,$74427,$9899
