YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,87739.0,12718.0,91396.0,16148.0,,,,,89435.0,40845.0,,,3283.0,,78876.0,51382.0,92619.0,15838.0,79029.0,15066.0
2013,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,79077.0,15113.0,88419.0,20919.0,,,104551.0,25956.0,79720.0,46915.0,,,68314.0,18036.0,28465.0,25933.0,79762.0,21267.0,79645.0,32704.0
2013,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,69220.0,10531.0,74842.0,15861.0,,,,,55088.0,28478.0,,,35731.0,50813.0,89910.0,32912.0,84470.0,14094.0,51677.0,12206.0
2013,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,84772.0,13298.0,94195.0,18959.0,70113.0,58752.0,,,76772.0,63186.0,,,84162.0,31145.0,89036.0,114958.0,93604.0,23014.0,85158.0,31802.0
2013,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,138673.0,32895.0,131857.0,34123.0,12827.0,183557.0,,,194352.0,54612.0,,,,,,,138501.0,34275.0,77308.0,43820.0
2013,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,47418.0,37572.0,26548.0,35535.0,67843.0,22901.0,,,,,,,,,,,,,,
2011,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,99440.0,20913.0,98923.0,24043.0,,,,,113541.0,35993.0,,,71858.0,29481.0,3402.0,,89886.0,21545.0,101444.0,63304.0
2011,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,90981.0,12875.0,88103.0,15151.0,,,112718.0,89968.0,104446.0,10395.0,,,,,39185.0,28668.0,80415.0,18277.0,95899.0,21825.0
2011,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,74350.0,11646.0,72092.0,9825.0,,,,,84333.0,29375.0,,,69778.0,45878.0,88688.0,118637.0,84609.0,8966.0,59411.0,19138.0
2011,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,86764.0,14100.0,86229.0,20668.0,73695.0,266994.0,,,105639.0,34911.0,,,92164.0,126255.0,55191.0,32998.0,96386.0,12480.0,80368.0,18563.0
2011,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,135497.0,27234.0,140098.0,25974.0,,,,,195618.0,87351.0,,,20368.0,24637.0,201080.0,364563.0,145010.0,33197.0,55241.0,73577.0
2011,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,29201.0,20755.0,27454.0,19259.0,,,,,,,,,,,,,45951.0,78091.0,27454.0,21041.0
2022,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,108680.0,18419.0,100943.0,26430.0,260314.0,,,,117041.0,77171.0,,,84010.0,66535.0,260314.0,,105643.0,25789.0,84358.0,43237.0
2022,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,78065.0,26301.0,76070.0,27268.0,138508.0,137262.0,,,136664.0,31413.0,,,66805.0,14214.0,,,67274.0,24517.0,66991.0,42363.0
2022,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,94580.0,22241.0,120417.0,21831.0,,,,,55889.0,25625.0,,,,,77180.0,61019.0,121036.0,24932.0,76581.0,46259.0
2022,6037670101,Census Tract 6701.01,Lomita,Los Angeles County,California,Lomita,82649.0,27455.0,79103.0,51546.0,18758.0,6423.0,,,170505.0,48563.0,,,,,,,149342.0,42190.0,27434.0,19152.0
2022,6037670102,Census Tract 6701.02,Lomita,Los Angeles County,California,Lomita,72225.0,23612.0,68376.0,27057.0,124813.0,35437.0,,,74532.0,68244.0,,,,,,,70031.0,11852.0,,
2012,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,90020.0,15049.0,91938.0,15170.0,,,,,89687.0,46837.0,,,3333.0,,3333.0,,89305.0,15707.0,98213.0,53848.0
2012,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,84603.0,19208.0,89086.0,16905.0,,,113803.0,72309.0,97175.0,38895.0,,,82102.0,194173.0,38047.0,21622.0,84436.0,22118.0,91943.0,40269.0
2012,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,75387.0,10716.0,73278.0,16812.0,,,,,62450.0,41212.0,,,48205.0,54109.0,121694.0,51888.0,85311.0,9063.0,54409.0,17745.0
2012,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,88913.0,11967.0,86353.0,16285.0,72117.0,185709.0,,,119899.0,35273.0,,,89504.0,167693.0,54968.0,57451.0,94161.0,23419.0,85366.0,12372.0
2012,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,131848.0,30960.0,132151.0,33595.0,110060.0,180632.0,,,213485.0,37662.0,,,33682.0,27378.0,200357.0,349299.0,144476.0,49419.0,78240.0,40394.0
2012,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,19971.0,62179.0,19252.0,11308.0,70905.0,2447.0,,,,,,,,,,,45010.0,78275.0,18968.0,12091.0
2019,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,83411.0,11967.0,74547.0,24864.0,,,,,95314.0,35329.0,,,,,298896.0,,76218.0,30229.0,70096.0,21211.0
2019,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,90460.0,10146.0,97696.0,5146.0,35369.0,34837.0,,,58285.0,56032.0,,,,,90076.0,17958.0,99631.0,19933.0,95945.0,5454.0
2019,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,91662.0,15068.0,100877.0,35114.0,,,,,84600.0,24709.0,,,95186.0,78999.0,,,114938.0,38369.0,93519.0,50290.0
2019,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,74418.0,20356.0,89193.0,22580.0,29383.0,16578.0,,,87024.0,39671.0,,,62442.0,21842.0,95792.0,93399.0,91761.0,29453.0,73514.0,34264.0
2019,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,158447.0,26791.0,168128.0,36053.0,,,,,188902.0,89989.0,,,79693.0,35671.0,296964.0,66052.0,181032.0,35325.0,80168.0,14274.0
2019,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,78908.0,38351.0,63366.0,21986.0,58964.0,32840.0,,,108752.0,16012.0,,,110805.0,99210.0,171175.0,103069.0,65458.0,28370.0,80304.0,56335.0
2010,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,90804.0,19036.0,91167.0,17639.0,,,,,99850.0,55481.0,,,62219.0,29729.0,263718.0,281664.0,90185.0,15700.0,76519.0,54892.0
2010,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,88889.0,16429.0,86900.0,15165.0,,,113127.0,103718.0,101326.0,18881.0,,,256951.0,401027.0,38543.0,93563.0,85058.0,22018.0,98503.0,38892.0
2010,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,86591.0,8598.0,83028.0,12164.0,,,,,100102.0,35146.0,,,50161.0,27839.0,134444.0,156971.0,90766.0,15223.0,48327.0,18800.0
2010,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,90251.0,14388.0,95335.0,20183.0,72349.0,149304.0,,,123916.0,30872.0,,,86150.0,42533.0,52737.0,21427.0,106688.0,17784.0,78247.0,20263.0
2010,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,135372.0,30711.0,138913.0,25233.0,113859.0,214513.0,,,212010.0,91870.0,,,26694.0,16710.0,200683.0,302312.0,146416.0,23228.0,80667.0,62294.0
