YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037542402,Census Tract 5424.02,Long Beach,Los Angeles County,California,LongBeach,65668.0,14534.0,56323.0,28054.0,91823.0,36776.0,,,,,54441.0,166456.0,63368.0,55537.0,,,,,57577.0,26812.0,$65668,$14534,$56323,$28054,$91823,$36776,Not available,Not available,Not available,Not available,$54441,$166456,$63368,$55537,Not available,Not available,Not available,Not available,$57577,$26812
2010,6037543305,Census Tract 5433.05,Long Beach,Los Angeles County,California,LongBeach,79327.0,17152.0,62549.0,24446.0,104019.0,60483.0,,,131567.0,119913.0,,,62960.0,79649.0,,,58540.0,18656.0,87223.0,35990.0,$79327,$17152,$62549,$24446,$104019,$60483,Not available,Not available,$131567,$119913,Not available,Not available,$62960,$79649,Not available,Not available,$58540,$18656,$87223,$35990
2010,6037544001,Census Tract 5440.01,Long Beach,Los Angeles County,California,LongBeach,73165.0,9960.0,69996.0,17843.0,86706.0,7696.0,,,89073.0,30494.0,,,62100.0,19543.0,13940.0,31660.0,92673.0,114704.0,67655.0,12236.0,$73165,$9960,$69996,$17843,$86706,$7696,Not available,Not available,$89073,$30494,Not available,Not available,$62100,$19543,$13940,$31660,$92673,$114704,$67655,$12236
2010,6037544002,Census Tract 5440.02,Long Beach,Los Angeles County,California,LongBeach,104265.0,35334.0,82991.0,63057.0,103810.0,240578.0,,,116786.0,59340.0,,,99370.0,97608.0,,,66003.0,62249.0,117824.0,68343.0,$104265,$35334,$82991,$63057,$103810,$240578,Not available,Not available,$116786,$59340,Not available,Not available,$99370,$97608,Not available,Not available,$66003,$62249,$117824,$68343
2010,6037555202,Census Tract 5552.02,Long Beach,Los Angeles County,California,LongBeach,137940.0,23582.0,149140.0,18965.0,129646.0,344941.0,,,131172.0,23506.0,,,120884.0,172340.0,,,149726.0,18795.0,120267.0,62089.0,$137940,$23582,$149140,$18965,$129646,$344941,Not available,Not available,$131172,$23506,Not available,Not available,$120884,$172340,Not available,Not available,$149726,$18795,$120267,$62089
2010,6037555211,Census Tract 5552.11,Long Beach,Los Angeles County,California,LongBeach,70876.0,19165.0,56911.0,16924.0,92258.0,74910.0,,,71218.0,23021.0,,,71663.0,26736.0,96590.0,37124.0,48441.0,26701.0,71104.0,24526.0,$70876,$19165,$56911,$16924,$92258,$74910,Not available,Not available,$71218,$23021,Not available,Not available,$71663,$26736,$96590,$37124,$48441,$26701,$71104,$24526
2010,6037570100,Census Tract 5701,Long Beach,Los Angeles County,California,LongBeach,106190.0,31702.0,108707.0,48965.0,71538.0,49115.0,,,104785.0,251902.0,135672.0,34765.0,74753.0,77470.0,,,80198.0,40413.0,107322.0,81019.0,$106190,$31702,$108707,$48965,$71538,$49115,Not available,Not available,$104785,$251902,$135672,$34765,$74753,$77470,Not available,Not available,$80198,$40413,$107322,$81019
2010,6037570202,Census Tract 5702.02,Long Beach,Los Angeles County,California,LongBeach,79551.0,12604.0,82859.0,19016.0,70806.0,67427.0,,,87341.0,36590.0,,,84979.0,20887.0,46831.0,32568.0,83418.0,26022.0,73041.0,21369.0,$79551,$12604,$82859,$19016,$70806,$67427,Not available,Not available,$87341,$36590,Not available,Not available,$84979,$20887,$46831,$32568,$83418,$26022,$73041,$21369
2010,6037570203,Census Tract 5702.03,Long Beach,Los Angeles County,California,LongBeach,48529.0,11287.0,55643.0,10756.0,27579.0,16705.0,,,63125.0,86541.0,141043.0,178468.0,71020.0,19072.0,30147.0,129062.0,59987.0,26923.0,63423.0,10871.0,$48529,$11287,$55643,$10756,$27579,$16705,Not available,Not available,$63125,$86541,$141043,$178468,$71020,$19072,$30147,$129062,$59987,$26923,$63423,$10871
2010,6037570204,Census Tract 5702.04,Long Beach,Los Angeles County,California,LongBeach,57355.0,4493.0,62403.0,29296.0,56996.0,21407.0,,,64419.0,51977.0,,,47330.0,27520.0,37997.0,36173.0,69018.0,53957.0,60529.0,14177.0,$57355,$4493,$62403,$29296,$56996,$21407,Not available,Not available,$64419,$51977,Not available,Not available,$47330,$27520,$37997,$36173,$69018,$53957,$60529,$14177
2010,6037570301,Census Tract 5703.01,Long Beach,Los Angeles County,California,LongBeach,54971.0,6959.0,68776.0,18587.0,57834.0,14769.0,,,36816.0,28255.0,168154.0,51105.0,51405.0,5215.0,21260.0,6714.0,82072.0,61612.0,53024.0,7567.0,$54971,$6959,$68776,$18587,$57834,$14769,Not available,Not available,$36816,$28255,$168154,$51105,$51405,$5215,$21260,$6714,$82072,$61612,$53024,$7567
2010,6037570303,Census Tract 5703.03,Long Beach,Los Angeles County,California,LongBeach,70128.0,7956.0,65732.0,29113.0,69597.0,16313.0,,,148006.0,218862.0,,,72756.0,26909.0,71507.0,1470.0,80923.0,34677.0,62832.0,17275.0,$70128,$7956,$65732,$29113,$69597,$16313,Not available,Not available,$148006,$218862,Not available,Not available,$72756,$26909,$71507,$1470,$80923,$34677,$62832,$17275
2010,6037570304,Census Tract 5703.04,Long Beach,Los Angeles County,California,LongBeach,51785.0,12252.0,41270.0,16609.0,45395.0,17729.0,,,51710.0,69105.0,,,61247.0,14412.0,27280.0,195660.0,34685.0,15700.0,61576.0,17045.0,$51785,$12252,$41270,$16609,$45395,$17729,Not available,Not available,$51710,$69105,Not available,Not available,$61247,$14412,$27280,$195660,$34685,$15700,$61576,$17045
