YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037540000,Census Tract 5400,Lynwood,Los Angeles County,California,Lynwood,52891.0,10749.0,47907.0,22280.0,56303.0,4783.0,,,,,,,50714.0,17787.0,,,28486.0,35989.0,51970.0,17263.0
2013,6037540101,Census Tract 5401.01,Lynwood,Los Angeles County,California,Lynwood,63703.0,10111.0,73442.0,14887.0,67694.0,27841.0,,,47823.0,145734.0,,,56484.0,9360.0,,,30065.0,62123.0,63561.0,11398.0
2013,6037540102,Census Tract 5401.02,Lynwood,Los Angeles County,California,Lynwood,63836.0,8262.0,64493.0,30789.0,66544.0,27026.0,,,,,,,63547.0,11448.0,55013.0,62664.0,,,64045.0,9906.0
2013,6037540201,Census Tract 5402.01,Lynwood,Los Angeles County,California,Lynwood,27778.0,5876.0,35690.0,44419.0,,,,,,,,,24961.0,7919.0,,,,,29279.0,6998.0
2013,6037540202,Census Tract 5402.02,Lynwood,Los Angeles County,California,Lynwood,37042.0,5389.0,39834.0,4359.0,16148.0,35316.0,,,,,,,35437.0,10951.0,37849.0,2246.0,,,39124.0,5872.0
2013,6037540203,Census Tract 5402.03,Lynwood,Los Angeles County,California,Lynwood,42521.0,7787.0,51064.0,8694.0,16181.0,53752.0,,,,,,,41937.0,7818.0,41875.0,10652.0,,,46652.0,7153.0
2013,6037540300,Census Tract 5403,Lynwood,Los Angeles County,California,Lynwood,55203.0,5544.0,61257.0,3981.0,,,,,,,,,52844.0,7424.0,123909.0,143476.0,106522.0,62614.0,55280.0,5786.0
2013,6037540400,Census Tract 5404,Lynwood,Los Angeles County,California,Lynwood,52213.0,4598.0,58740.0,7335.0,61229.0,33274.0,,,,,,,39998.0,16518.0,,,,,52423.0,3979.0
2013,6037540501,Census Tract 5405.01,Lynwood,Los Angeles County,California,Lynwood,59307.0,10338.0,84907.0,24072.0,108577.0,51550.0,,,,,,,41904.0,20443.0,,,,,55328.0,11257.0
2013,6037540502,Census Tract 5405.02,Lynwood,Los Angeles County,California,Lynwood,45151.0,5732.0,49309.0,12058.0,33870.0,28615.0,,,,,,,44775.0,6452.0,,,,,45698.0,7988.0
2013,6037541700,Census Tract 5417,Lynwood,Los Angeles County,California,Lynwood,66972.0,17004.0,69300.0,34229.0,67972.0,31624.0,,,,,,,75890.0,21432.0,17891.0,1990.0,48327.0,81083.0,70774.0,18698.0
2013,6037541801,Census Tract 5418.01,Lynwood,Los Angeles County,California,Lynwood,66534.0,9209.0,66356.0,19181.0,61974.0,28946.0,,,,,,,58662.0,42511.0,114802.0,44358.0,,,67877.0,15589.0
2013,6037541802,Census Tract 5418.02,Lynwood,Los Angeles County,California,Lynwood,67274.0,6623.0,59071.0,34882.0,69245.0,29132.0,,,,,,,66892.0,5621.0,,,,,66727.0,6234.0
2013,6037542000,Census Tract 5420,Lynwood,Los Angeles County,California,Lynwood,58724.0,5993.0,44199.0,13909.0,61867.0,23085.0,,,,,,,58447.0,11872.0,,,,,56245.0,18911.0
2011,6037540000,Census Tract 5400,Lynwood,Los Angeles County,California,Lynwood,56259.0,7015.0,54461.0,10098.0,52348.0,26596.0,,,,,,,60333.0,28708.0,,,55246.0,47473.0,59865.0,8523.0
2011,6037540101,Census Tract 5401.01,Lynwood,Los Angeles County,California,Lynwood,63003.0,11892.0,83269.0,30058.0,64213.0,46618.0,,,53610.0,225242.0,,,56920.0,18589.0,50206.0,22002.0,48186.0,55208.0,64411.0,16688.0
2011,6037540102,Census Tract 5401.02,Lynwood,Los Angeles County,California,Lynwood,74575.0,7181.0,73574.0,14955.0,59876.0,29269.0,,,,,,,76444.0,14999.0,53468.0,68448.0,65183.0,92458.0,75850.0,9531.0
2011,6037540201,Census Tract 5402.01,Lynwood,Los Angeles County,California,Lynwood,40056.0,7299.0,42316.0,23445.0,,,,,,,,,38671.0,13701.0,72696.0,34979.0,,,41967.0,8948.0
2011,6037540202,Census Tract 5402.02,Lynwood,Los Angeles County,California,Lynwood,42641.0,8143.0,59526.0,8092.0,31606.0,38407.0,,,,,,,36730.0,9011.0,40207.0,21816.0,63239.0,35770.0,45573.0,10407.0
2011,6037540203,Census Tract 5402.03,Lynwood,Los Angeles County,California,Lynwood,55222.0,14299.0,70204.0,22684.0,140237.0,184519.0,,,3402.0,,,,48504.0,17784.0,63071.0,113274.0,,,56297.0,12791.0
2011,6037540300,Census Tract 5403,Lynwood,Los Angeles County,California,Lynwood,65311.0,11309.0,98773.0,49988.0,130529.0,73868.0,39570.0,50798.0,,,,,50175.0,16847.0,111474.0,26548.0,101484.0,8597.0,62275.0,6760.0
2011,6037540400,Census Tract 5404,Lynwood,Los Angeles County,California,Lynwood,58270.0,22810.0,60174.0,14326.0,58108.0,44594.0,,,,,,,50632.0,35139.0,,,,,60296.0,21347.0
2011,6037540501,Census Tract 5405.01,Lynwood,Los Angeles County,California,Lynwood,55873.0,14203.0,83808.0,17806.0,45271.0,12436.0,,,,,,,41272.0,19656.0,19572.0,164303.0,,,61203.0,21320.0
