YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,189025.0,35631.0,175354.0,56925.0,,,,,,,,,,,189769.0,1312.0,176258.0,60114.0,165562.0,92361.0,$189025,$35631,$175354,$56925,,,,,,,,,,,$189769,$1312,$176258,$60114,$165562,$92361
2010,6037800408,Census Tract 8004.08,Malibu,Los Angeles County,California,Malibu,189652.0,41405.0,199759.0,44340.0,,,,,147258.0,368970.0,,,,,158351.0,16708.0,203736.0,44802.0,164373.0,13366.0,$189652,$41405,$199759,$44340,,,,,$147258,$368970,,,,,$158351,$16708,$203736,$44802,$164373,$13366
2010,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,190849.0,72751.0,190461.0,65776.0,,,283194.0,310836.0,,,,,,,,,190461.0,65776.0,,,$190849,$72751,$190461,$65776,,,$283194,$310836,,,,,,,,,$190461,$65776,,
2010,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,151966.0,36416.0,151451.0,41747.0,,,,,129350.0,147231.0,,,,,,,139199.0,48385.0,280658.0,157917.0,$151966,$36416,$151451,$41747,,,,,$129350,$147231,,,,,,,$139199,$48385,$280658,$157917
2010,6037800506,Census Tract 8005.06,Malibu,Los Angeles County,California,Malibu,182472.0,49942.0,169517.0,47226.0,,,,,17716.0,743052.0,,,,,147514.0,462096.0,169517.0,47226.0,,,$182472,$49942,$169517,$47226,,,,,$17716,$743052,,,,,$147514,$462096,$169517,$47226,,
2011,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,185874.0,38651.0,175540.0,46752.0,,,,,,,,,,,186918.0,123559.0,186286.0,48763.0,161992.0,223399.0,$185874,$38651,$175540,$46752,,,,,,,,,,,$186918,$123559,$186286,$48763,$161992,$223399
2011,6037800408,Census Tract 8004.08,Malibu,Los Angeles County,California,Malibu,190615.0,41848.0,190402.0,43315.0,,,,,146748.0,452739.0,,,,,198256.0,345549.0,191341.0,44442.0,155815.0,51383.0,$190615,$41848,$190402,$43315,,,,,$146748,$452739,,,,,$198256,$345549,$191341,$44442,$155815,$51383
2011,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,215572.0,62550.0,199425.0,52303.0,170435.0,230993.0,,,,,,,,,258530.0,274835.0,198622.0,43537.0,,,$215572,$62550,$199425,$52303,$170435,$230993,,,,,,,,,$258530,$274835,$198622,$43537,,
2011,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,156188.0,27494.0,155740.0,27796.0,,,,,129265.0,208528.0,,,,,,,154459.0,41279.0,273137.0,59217.0,$156188,$27494,$155740,$27796,,,,,$129265,$208528,,,,,,,$154459,$41279,$273137,$59217
2011,6037800506,Census Tract 8005.06,Malibu,Los Angeles County,California,Malibu,184300.0,62438.0,185001.0,62435.0,,,,,244442.0,215515.0,,,,,149146.0,285574.0,174533.0,60854.0,58827.0,521883.0,$184300,$62438,$185001,$62435,,,,,$244442,$215515,,,,,$149146,$285574,$174533,$60854,$58827,$521883
2012,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,189691.0,14263.0,198006.0,17987.0,,,,,,,,,,,186270.0,75635.0,198504.0,18305.0,35504.0,23862.0,$189691,$14263,$198006,$17987,,,,,,,,,,,$186270,$75635,$198504,$18305,$35504,$23862
2012,6037800408,Census Tract 8004.08,Malibu,Los Angeles County,California,Malibu,179473.0,46703.0,180255.0,51550.0,,,,,161305.0,183670.0,,,,,,,181152.0,57448.0,157336.0,70551.0,$179473,$46703,$180255,$51550,,,,,$161305,$183670,,,,,,,$181152,$57448,$157336,$70551
2012,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,197416.0,48201.0,188429.0,38086.0,171029.0,410373.0,,,,,,,,,259881.0,149023.0,188042.0,36320.0,,,$197416,$48201,$188429,$38086,$171029,$410373,,,,,,,,,$259881,$149023,$188042,$36320,,
2012,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,154441.0,29771.0,153440.0,27077.0,,,,,227801.0,178321.0,,,,,,,151439.0,29769.0,278947.0,65077.0,$154441,$29771,$153440,$27077,,,,,$227801,$178321,,,,,,,$151439,$29769,$278947,$65077
